run_name,model,llm_backend,max_papers,recommendation,gate1_pass,gate2_grounded_pass,gate2_llm_pass,n_attempted,n_failures,schema_valid_rate,citation_valid_rate,evidence_present_rate,evidence_anchored_rate,strict_grounded_n,strict_grounded_rate,grounded_any_evidence_rate,grounded_quote_anchor_rate,llm_ok_rate,llm_refusal_rate,llm_pmid_violation_rate,llm_quote_violation_rate,report_path
generalization_motor_qwen25_7b,qwen2.5-7b-instruct,vllm,306,GO_TO_GPU_SCALE_UP,True,True,True,306,0,1.000000,1.000000,0.879085,0.921933,248,0.810458,1.000000,1.000000,0.333333,0.666667,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/generalization_motor_qwen25_7b/feasibility_report.json
retrieval_narrow_nonplanning_llama31_8b,llama-3.1-8b-instruct,vllm,62,GO_TO_GPU_SCALE_UP,True,True,False,62,0,1.000000,1.000000,1.000000,0.903226,56,0.903226,1.000000,1.000000,0.800000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/retrieval_narrow_nonplanning_llama31_8b/feasibility_report.json
retrieval_narrow_nonplanning_mistral7b,mistral-7b-instruct-v0.3,vllm,62,GO_TO_GPU_SCALE_UP,True,True,False,62,0,1.000000,1.000000,0.983871,0.573770,35,0.564516,1.000000,1.000000,0.200000,0.000000,0.000000,0.600000,/home/qwe123/neuroxpert_rag/data/pilot/retrieval_narrow_nonplanning_mistral7b/feasibility_report.json
retrieval_narrow_nonplanning_qwen25_7b,qwen2.5-7b-instruct,vllm,62,GO_TO_GPU_SCALE_UP,True,True,True,62,0,1.000000,1.000000,0.919355,0.824561,47,0.758065,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/retrieval_narrow_nonplanning_qwen25_7b/feasibility_report.json
selection_llama31_8b_100,llama-3.1-8b-instruct,vllm,100,GO_TO_GPU_SCALE_UP,True,True,True,100,0,1.000000,1.000000,1.000000,0.900000,90,0.900000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/selection_llama31_8b_100/feasibility_report.json
selection_mistral7b_100,mistral-7b-instruct-v0.3,vllm,100,GO_TO_GPU_SCALE_UP,True,True,False,100,0,1.000000,1.000000,1.000000,0.640000,64,0.640000,1.000000,1.000000,0.600000,0.000000,0.000000,0.400000,/home/qwe123/neuroxpert_rag/data/pilot/selection_mistral7b_100/feasibility_report.json
selection_phi35mini_100,phi-3.5-mini-instruct,vllm,100,NO_GO_UNTIL_EXTRACTION_IMPROVES,False,False,False,100,100,1.000000,1.000000,0.000000,,0,0.000000,0.000000,,0.000000,1.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/selection_phi35mini_100/feasibility_report.json
selection_qwen14b_100,qwen2.5-14b-instruct,vllm,100,GO_TO_GPU_SCALE_UP,True,True,True,100,40,1.000000,1.000000,0.580000,0.844828,49,0.490000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/selection_qwen14b_100/feasibility_report.json
selection_qwen14b_100_rerun,qwen2.5-14b-instruct,vllm,100,GO_TO_GPU_SCALE_UP,True,True,True,100,18,1.000000,1.000000,0.800000,0.837500,67,0.670000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/selection_qwen14b_100_rerun/feasibility_report.json
selection_qwen32b_awq_100,qwen2.5-32b-instruct-awq,vllm,100,GO_TO_GPU_SCALE_UP,True,True,True,100,44,1.000000,1.000000,0.560000,0.982143,55,0.550000,1.000000,1.000000,0.200000,0.800000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/selection_qwen32b_awq_100/feasibility_report.json
selection_qwen32b_awq_100_rerun,qwen2.5-32b-instruct-awq,vllm,100,NO_GO_UNTIL_EXTRACTION_IMPROVES,False,False,False,100,100,1.000000,1.000000,0.000000,,0,0.000000,0.000000,,0.000000,1.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/selection_qwen32b_awq_100_rerun/feasibility_report.json
