record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes
11,22645253,Impulsivity and the modular organization of resting-state neural networks.,2013,"Cerebral cortex (New York, N.Y. : 1991)",Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,unclear,0.7,"Impulsivity is a complex trait associated with a range of maladaptive behaviors, including many forms of psychopathology.",yes,,yes,yes,yes,,,,,,,,,
12,23555827,Altered default network resting-state functional connectivity in adolescents with Internet gaming addiction.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Internet gaming addiction,associated_with,unclear,,unclear,0.7,Subjects with IGA exhibited increased functional connectivity in the bilateral cerebellum posterior lobe and middle temporal gyrus. The bilateral inferior parietal lobule and right inferior temporal gyrus exhibited decreased connectivity.,yes,,yes,yes,no,,,,,,,,,
13,39577688,Resting-state voxel-wise dynamic effective connectivity predicts risky decision-making in patients with bipolar disorder type I.,2025,Neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,dynamic connectivity,impulsivity (general),bipolar disorder type I,predicts,unclear,,direct,0.8,This study aimed to predict risky behavior in patients with BD-I using resting-state functional magnetic resonance imaging (rs-fMRI).,yes,,yes,yes,yes,,,,,,,,,
14,30178423,Sex differences in resting-state cerebral activity alterations in internet gaming disorder.,2019,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,Internet gaming disorder,associated_with,lower,unclear,direct,0.8,"IGDm also demonstrated lower connectivity between the orbital part of the left SFG and the posterior cingulate cortex (PCC), the right angular gyrus, and the right dorsolateral prefrontal cortex than HCm.",yes,,yes,yes,yes,,,,,,,,,
15,26040546,Model-free functional connectivity and impulsivity correlates of alcohol dependence: a resting-state study.,2017,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol dependence,correlates_with,unclear,,unclear,0.7,"Compared with HC, AD exhibited increased within-network FC in salience (SN), default mode (DMN), orbitofrontal cortex (OFCN), left executive control (LECN) and amygdala-striatum (ASN) networks.",yes,,yes,yes,yes,,,,,,,,,
16,33519558,Impulsivity and Response Inhibition Related Brain Networks in Adolescents With Internet Gaming Disorder: A Preliminary Study Utilizing Resting-State fMRI.,2020,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Internet Gaming Disorder,associated_with,higher,unclear,unclear,0.7,"We found significant differences in impulsivity between the IGD group and RGU group, with members of the IGD group exhibiting higher impulsivity.",yes,,yes,yes,yes,,,,,,,,,
17,31264888,Striatal functional connectivity in chronic ketamine users: a pilot study.,2020,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.7,"Compared to controls, ketamine users showed higher connectivity between caudate and dorsal anterior cingulate cortex and between pallidum and bilateral cerebellum.",yes,,yes,yes,yes,,,,,,,,,
18,33528803,Impulsivity in heroin-dependent individuals: structural and functional abnormalities within frontostriatal circuits.,2021,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,motor impulsivity,heroin-dependent individuals,associated_with,higher,,direct,0.8,Higher motor impulsivity was observed in HDI.,yes,,yes,yes,yes,,,,,,,,,
19,32651411,Increased large-scale inter-network connectivity in relation to impulsivity in Parkinson's disease.,2020,Scientific reports,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,higher,unclear,direct,0.8,FC between the right frontoparietal network (FPN) and medial visual network (MVN) was significantly higher in PD-HI patients than PD-LI patients (false discovery rate [FDR]-adjusted p = 0.0315).,yes,,yes,yes,yes,,,,,,,,,
20,35385563,A single-arm open-label pilot study of brief mindfulness meditation to control impulsivity in Parkinson's disease.,2022,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,unclear,unknown,direct,0.7,"After the intervention, the BIS-11 score was decreased from 59.5 [55.6, 63.3] to 55.2 [50.3, 60.1] (ΔBIS-11: -4.2, [-7.5, -0.9]).",yes,,yes,yes,no,,,,,,,,,
21,34012386,Association of Disinhibited Eating and Trait of Impulsivity With Insula and Amygdala Responses to Palatable Liquid Consumption.,2021,Frontiers in systems neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,strengthened intrinsic functional connectivity,direct,0.8,Increased disinhibited eating was positively correlated with strengthened intrinsic functional connectivity between the insula and the amygdala.,yes,,yes,yes,no,,,,,,,,,
22,38914808,Association between sleep problems and impulsivity mediated through regional homogeneity abnormalities in male methamphetamine abstainers.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),methamphetamine abstainers,associated_with,unclear,reduced ReHo values,direct,0.8,Results unveiled correlations between different dimensions of impulsivity and ReHo values in specific brain regions.,yes,,yes,yes,yes,,,,,,,,,
23,37086305,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Borderline Personality Disorder,associated_with,unclear,,indirect,0.7,"Reduced functional connectivity was found in BPD between amygdala and frontal pole, precuneus and temporal pole.",yes,,yes,yes,yes,,,,,,,,,
24,29101492,Intrinsic Network Connectivity Patterns Underlying Specific Dimensions of Impulsiveness in Healthy Young Adults.,2018,Brain topography,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,unknown,associated_with,unclear,,unclear,0.7,There were significant relationships between right frontoparietal network function and all three BIS domains.,yes,,yes,yes,yes,,,,,,,,,
25,26364127,Neurobiological underpinnings of sensation seeking trait in heroin abusers.,2015,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Heroin abusers,associated_with,unclear,unknown,direct,0.8,There was stronger coupling between the midbrain and ventromedial prefrontal cortex and weaker coupling between the midbrain and dorsolateral prefrontal cortex in heroin users.,yes,,yes,yes,no,,,,,,,,,
26,33158664,Delta resting-state functional connectivity in the cognitive control network as a prognostic factor for maintaining abstinence: An eLORETA preliminary study.,2021,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol-dependent,predicts,higher,unclear,direct,0.7,"Alcohol-dependent individuals, who maintained abstinence (N = 18), showed significantly increased lagged phase synchronization between the left dorsolateral prefrontal cortex (DLPFC) and the left posterior parietal cortex (IPL) as well as between the right anterior insula cortex/frontal operculum (IA/FO) and the right inferior frontal junction (IFJ) in the delta band compared to those who later relapsed (N = 16).",yes,,yes,yes,yes,,,,,,,,,
27,28185093,Altered spontaneous brain activity in adolescent boys with pure conduct disorder revealed by regional homogeneity analysis.,2017,European child & adolescent psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),conduct disorder,associated_with,unclear,,indirect,0.7,"Compared to HCs, the CD group showed increased ReHo bilaterally in the insula as well as decreased ReHo in the right inferior parietal lobule, right middle temporal gyrus and right fusiform gyrus, left anterior cerebellum anterior, and right posterior cerebellum.",yes,,yes,yes,yes,,,,,,,,,
28,25944613,Nature of functional links in valuation networks differentiates impulsive behaviors between abstinent heroin-dependent subjects and nondrug-using subjects.,2015,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,influence,direct,0.8,"Through functional connectivity with the ventral medial prefrontal cortex, the δ-network (regions of the executive control system, such as the dorsolateral prefrontal cortex) and the β-network (regions of the reward system involved in the mesocorticolimbic pathway), jointly influence impulsivity measured by the Barratt impulsiveness scale scores.",yes,,yes,yes,no,,,,,,,,,
29,23937918,Voxel-level comparison of arterial spin-labeled perfusion magnetic resonance imaging in adolescents with internet gaming addiction.,2013,Behavioral and brain functions : BBF,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),internet gaming addiction,associated_with,unclear,,unclear,0.6,"In this study, we used ASL perfusion fMRI and noninvasively quantified resting CBF to demonstrate that IGA alters the CBF distribution in the adolescent brain.",yes,,yes,yes,yes,,,,,,,,,
30,24971323,A functional polymorphism of the MAOA gene modulates spontaneous brain activity in pons.,2014,BioMed research international,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),unknown,associated_with,unclear,,direct,0.8,"Compared with the MAOA-H group, the MAOA-L group showed significantly lower ALFFs in the pons.",yes,,yes,yes,yes,,,,,,,,,
31,26830141,Midbrain functional connectivity and ventral striatal dopamine D2-type receptors: link to impulsivity in methamphetamine users.,2016,Molecular psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),methamphetamine-dependent,associated_with,unclear,unknown,unclear,0.8,"Impulsivity is correlated negatively with striatal D2-type receptor availability, and mesocorticolimbic RSFC is stronger than that in controls.",yes,,yes,yes,no,,,,,,,,,
32,24200212,Striatal-insula circuits in cocaine addiction: implications for impulsivity and relapse risk.,2013,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine addiction,associated_with,unclear,reduced connectivity,direct,0.8,Cocaine-addicted individuals exhibited reduced positive connectivity between the bilateral putamen and posterior insula and right postcentral gyrus.,yes,,yes,yes,yes,,,,,,,,,
33,32093319,"Random Forest Classification of Alcohol Use Disorder Using fMRI Functional Connectivity, Neuropsychological Functioning, and Impulsivity Measures.",2020,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol use disorder,associated_with,higher,,direct,1.0,"The RF model, with a classification accuracy of 76.67%, identified all impulsivity factors as significantly important for classifying participants into either the AUD or CTL group.",yes,,yes,yes,no,,,,,,,,,
34,27688124,Association between abnormal default mode network activity and suicidality in depressed adolescents.,2016,BMC psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),depression,associated_with,unclear,,direct,0.8,Previous brain imaging studies have shown that depression and suicide may be associated with abnormal activity in default mode network (DMN) regions.,yes,,yes,yes,yes,,,,,,,,,
35,28602816,Neurobiological correlates of impulsivity in healthy adults: Lower prefrontal gray matter volume and spontaneous eye-blink rate but greater resting-state functional connectivity in basal ganglia-thalamo-cortical circuitry.,2017,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"Greater correlated resting-state functional connectivity between the basal ganglia and thalamus, motor cortices, and prefrontal cortex was associated with worse no-go trial accuracy on the task and with higher BIS-11 motor impulsivity scores.",yes,,yes,yes,no,,,,,,,,,
36,20851718,Identification of hyperactive intrinsic amygdala network connectivity associated with impulsivity in abstinent heroin addicts.,2011,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin addicts,associated_with,higher,unclear,direct,0.8,"In the HD group, higher impulsivity scores and significantly enhanced iAFC network activity were found, especially in bilateral thalamus, right insula, and inferior frontal gyrus.",yes,,yes,yes,yes,,,,,,,,,
37,39756804,Altered Functional Connectivity of Prefrontal Cortex-Related Circuitry and Trait Impulsivity in Patients With Bipolar Disorder and History of Suicide Attempts.,2025,Acta psychiatrica Scandinavica,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Bipolar Disorder,associated_with,unclear,,unclear,0.8,BDSA had higher trait impulsivity than BDNS and the controls. BDSA exhibited reduced FC between the PFC and sensorimotor (postcentral and precentral gyri) and thalamic regions compared to BDNS.,yes,,yes,yes,yes,,,,,,,,,
38,29988765,Abnormal degree centrality in chronic users of codeine-containing cough syrups: A resting-state functional magnetic resonance imaging study.,2018,NeuroImage. Clinical,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,attentional impulsivity,unknown,associated_with,unclear,,indirect,0.7,Significant correlations were established between average DC value in the left inferior parietal lobule and attentional impulsivity scores and the age at first CCS use.,yes,,yes,yes,no,,,,,,,,,
39,41207270,Sex-specific alterations in brain network topology in methamphetamine use disorder: A graph theory-based fMRI study.,2025,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),methamphetamine use disorder,associated_with,unclear,,unclear,0.7,"Patients with MUD exhibited disrupted nodal metrics across multiple brain regions, including bilateral anterior-inferior triangular regions, right gyrus rectus, left cuneus, bilateral supplementary motor areas, bilateral parietal regions, and occipital lobes.",yes,,yes,yes,no,,,,,,,,,
40,24223847,Reduced regional homogeneity in bilateral frontostriatal system relates to higher impulsivity behavior in codeine-containing cough syrups dependent individuals.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,attentional impulsivity,unknown,associated_with,lower,unclear,direct,0.8,ReHo was diminished in the bilateral medial orbitofrontal cortex (mOFC) and left dorsal striatum in CCS-dependent individuals.,yes,,yes,yes,yes,,,,,,,,,
41,26908392,Association of ventral striatum monoamine oxidase-A binding and functional connectivity in antisocial personality disorder with high impulsivity: A positron emission tomography and functional magnetic resonance imaging study.,2016,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),antisocial personality disorder,associated_with,unclear,,direct,0.7,"Results revealed functional coupling of the VSs with bilateral dorsomedial prefrontal cortex (DMPFC) that was correlated with VS MAO-A VT, and functional coupling of the VSi with right hippocampus that was anti-correlated with VS MAO-A VT.",yes,,yes,yes,no,,,,,,,,,
42,25008351,Altered intrinsic hippocmapus declarative memory network and its association with impulsivity in abstinent heroin dependent subjects.,2014,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin dependent subjects,associated_with,unclear,altered intrinsic functional link,direct,0.8,"Our results demonstrated that HD group showed enhanced coherence between hippocampus which represents declarative memory system and non-declarative reward-guided learning memory system, and also showed attenuated intrinsic functional link between hippocampus and top-down control system, compared to the CN group.",yes,,yes,yes,yes,,,,,,,,,
43,25496980,Abnormal regional homogeneity in young adult suicide attempters with no diagnosable psychiatric disorder: a resting state functional magnetic imaging study.,2015,Psychiatry research,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),unknown,associated_with,unclear,,unclear,0.7,The SA group also had significantly higher total Barratt Impulsiveness Scale scores compared with the HC group.,yes,,yes,yes,yes,,,,,,,,,
44,41104323,Effect of Precision-based HD-tDCS Over Conventional HD-tDCS in Young-onset Mania: Protocol for an Active Comparison fMRI and TMS Study.,2026,Indian journal of psychological medicine,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),young-onset mania,associated_with,unclear,,background,0.3,"By correlating perturbation-induced changes in cortical inhibition paradigms and functional connectivity of cerebral circuits, we aim to introduce a more objective measure of therapeutic efficacy and response, as opposed to relying solely on subjective clinical scales.",yes,,yes,yes,yes,,,,,,,,,
45,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.32,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)",yes,,yes,yes,yes,,,,,,,,,
46,37137256,Transdiagnostic brain correlates of self-reported trait impulsivity: A dimensional structure-symptom investigation.,2023,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,associated_with,unclear,,unclear,0.6,"Volume of the left opercular part of the inferior frontal gyrus (IFG) was negatively related to global impulsivity across the entire sample, and specifically to motor impulsivity in the subsample of HCs, OUD and BPD patients.",yes,,yes,yes,no,,,,,,,,,
47,37004979,Chronic cannabis use alters dACC-striatal glutamatergic balance.,2023,"Pharmacology, biochemistry, and behavior",Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),cannabis use disorder,associated_with,lower,imbalance in regional glutamate,direct,0.8,We found that the difference in glutamate concentrations between the dACC and striatum of the controls was significantly higher than that of cannabis users across the study timeline.,yes,,yes,yes,no,,,,,,,,,
48,37556131,Alcohol Cue Processing in Co-Occurring Bipolar Disorder and Alcohol Use Disorder.,2023,JAMA psychiatry,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),co-occurring bipolar disorder and alcohol use disorder,associated_with,unclear,blunted reward responsivity and deficient inhibitory control,unclear,0.7,The findings of this study suggest conceptualizing reward dysfunction in BD + AUD by the potential interaction between blunted reward responsivity and deficient inhibitory control may help guide treatment development strategies.,yes,,yes,yes,yes,,,,,,,,,
49,34175744,Brain morphometry in adults with gambling disorder.,2021,Journal of psychiatric research,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),Gambling Disorder,associated_with,unclear,,unclear,0.6,"Patients displayed thinner prefrontal and parietal cortices, greater volume and thickness of the occipital and the entorhinal cortices, and greater volume of subcortical regions as compared to the norms of healthy individuals.",yes,,yes,yes,yes,,,,,,,,,
50,40630648,Identifying a Biological Signature of Trauma-Related Neurodegeneration Following Repeated Traumatic Brain Injuries Compared with Healthy Controls.,2025,Neurotrauma reports,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,associated_with,unclear,,background,0.5,The Barratt Impulsivity Scale (BIS) was among the surveys included in the study.,yes,,yes,yes,no,,,,,,,,,
51,37080490,Brain structural abnormalities and trait impulsivity in suicidal and non-suicidal patients with bipolar disorder.,2023,Journal of affective disorders,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),bipolar disorder,associated_with,unclear,,background,0.7,"BD patients with SA history scored higher in BIS total score and subscores in attention, motor, cognitive complexity and cognitive instability than those without SA history and controls (all p < 0.01).",yes,,yes,yes,yes,,,,,,,,,
52,15309395,Negative correlation between right prefrontal activity during response inhibition and impulsiveness: a fMRI study.,2004,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,motor impulsivity,unknown,associated_with,lower,unknown,direct,0.8,A negative correlation was observed between the motor impulsiveness of BIS-11 and No-Go-related activation in the right dorsolateral prefrontal cortex (RDLPFC).,yes,,yes,yes,yes,,,,,,,,,
53,33360853,Novel circuit biomarker of impulsivity and craving in male heroin-dependent individuals.,2021,Drug and alcohol dependence,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),heroin-dependent individuals,associated_with,lower,,direct,0.8,HDIs showed significantly weaker tract strength of the left striatum-medial orbitofrontal cortex (mOFC) than controls.,yes,,yes,yes,no,,,,,,,,,
54,38627081,Neural Correlates of Trait Impulsivity among Adult Healthy Individuals.,2024,Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,unclear,0.7,Our study showed that trait impulsivity might be associated with the lateral OC and IFG in healthy individuals.,yes,,yes,yes,yes,,,,,,,,,
55,35181384,"Rethinking ""aggression"" and impulsivity in bipolar disorder: Risk, clinical and brain circuitry features.",2022,Journal of affective disorders,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),Bipolar Disorder,associated_with,unclear,,unclear,0.7,"In BD, BGA and BIS total scores were both elevated and associated with childhood maltreatment (CM), particularly emotional CM, depression, substance use disorders (SUDs) and suicide attempts (SAs).",yes,,yes,yes,yes,,,,,,,,,
56,35247193,Cerebellar Grey Matter Volumes in Reactive Aggression and Impulsivity in Healthy Volunteers.,2023,"Cerebellum (London, England)",Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,associated_with,higher,,unclear,0.7,Impulsivity was positively associated with grey matter volumes of the cerebellar vermis.,yes,,yes,yes,no,,,,,,,,,
57,26911382,Impulsivity in abstinent alcohol and polydrug dependence: a multidimensional approach.,2016,Psychopharmacology,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),abstinent substance-dependent individuals,associated_with,unclear,,unclear,0.5,"Dependence on drugs and alcohol is associated with impaired impulse control, but deficits are rarely compared across individuals dependent on different substances using several measures within a single study.",yes,,yes,yes,yes,,,,,,,,,
58,21827861,Cortical thickness correlates with impulsiveness in healthy adults.,2012,NeuroImage,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,correlates_with,lower,,direct,1.0,"We observed a significant negative correlation between left middle frontal gyrus (MFG) CT and the attention BIS score (FDR p<.05), motor, nonplanning and total BIS score (each p<0.001 uncorrected).",yes,,yes,yes,yes,,,,,,,,,
59,29751017,Differential contributions of cortical thickness and surface area to trait impulsivity in healthy young adults.,2018,Behavioural brain research,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,associated_with,lower,,unclear,0.7,"Higher BIS-11 total scores were negatively associated with cortical thickness variations in the left lingual gyrus, left superior temporal gyrus, right cuneus, and right superior parietal gyrus.",yes,,yes,yes,no,,,,,,,,,
60,37952300,Positive schizotypy and Motor Impulsivity correlate with response aberrations in ventral attention network during inhibitory control.,2023,Cortex; a journal devoted to the study of the nervous system and behavior,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,motor impulsivity,unknown,correlates_with,unclear,,unclear,0.7,BIS-11 Motor Impulsivity predicted 15% of d prime (sensitivity index) for the fastest (400ms) GNG trials.,yes,,yes,yes,no,,,,,,,,,
61,31427669,The Effect of Mindfulness Meditation on Impulsivity and its Neurobiological Correlates in Healthy Adults.,2019,Scientific reports,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,unknown,unclear,,unclear,0.3,"Here, an eight-week mindfulness intervention did not reduce impulsivity on the go/no-go task or Barratt Impulsiveness Scale (BIS-11)",yes,,yes,yes,yes,,,,,,,,,
62,34463411,"Cocaine cue-induced mesocorticolimbic activation in cocaine users: Effects of personality traits, lifetime drug use, and acute stimulant ingestion.",2022,Addiction biology,Barratt Impulsiveness Scale fMRI,unknown,unknown,nonplanning impulsivity,unknown,associates_with,higher,unclear,unclear,0.6,"Among the cocaine users, larger drug cue-induced responses during the placebo session were correlated with higher Barratt Impulsiveness Scale (BIS-11) nonplanning scores (associative striatum)",yes,,yes,yes,yes,,,,,,,,,
