record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
11,22645253,Impulsivity and the modular organization of resting-state neural networks.,2013,"Cerebral cortex (New York, N.Y. : 1991)",Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,direct,0.8,"Using graph theory analyses, we characterized the relationship between impulsivity and the functional segregation ('modularity') of the whole-brain network architecture derived from resting-state functional magnetic resonance imaging (fMRI) data.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,yes,no,impulsivity (general),functional connectivity,,"The sentence partially supports the claim as it mentions the relationship between impulsivity and functional connectivity, but the direction of the relationship is unclear. The directness of the relationship is supported as it directly relates impulsivity to functional connectivity.",
12,23555827,Altered default network resting-state functional connectivity in adolescents with Internet gaming addiction.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Internet gaming addiction,correlates_with,unclear,,direct,0.7,"Connectivity with the PCC was positively correlated with CIAS scores in the right precuneus, posterior cingulate gyrus, thalamus, caudate, nucleus accumbens, supplementary motor area, and lingual gyrus. It was negatively correlated with the right cerebellum anterior lobe and left superior parietal lobule.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the claim by stating a direct association between impulsivity (general) and functional connectivity in the default network in the context of Internet gaming addiction. The corrected fields include the brain system (default network), direction (positive), and relationship (correlates_with).",
13,39577688,Resting-state voxel-wise dynamic effective connectivity predicts risky decision-making in patients with bipolar disorder type I.,2025,Neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,dynamic connectivity,nonplanning impulsivity,bipolar disorder type I,predicts,lower,,direct,0.85,"Furthermore, this model successfully predicted non-planning impulsiveness, motor impulsiveness, and BIS total score, but failed for attentional impulsiveness in BD-I.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,yes,no,nonplanning impulsivity,dynamic connectivity,lower,"The sentence partially supports the claim because it mentions the phenotype (non-planning impulsiveness) but not the feature type (dynamic connectivity) correctly. The relationship (predicts) and direction (lower) are also mentioned, but the direction is not supported because the sentence does not specify the relevant part exactly. The directness is supported because the sentence names both phenotype and feature.",
14,30178423,Sex differences in resting-state cerebral activity alterations in internet gaming disorder.,2019,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,nonplanning impulsivity,Internet gaming disorder,correlates_with,lower,,direct,0.85,"The ALFF values in the orbital part of the left superior frontal gyrus (SFG) were lower in IGDm than in HCm, which were negatively correlated with BIS-11 scores.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,BOLD variability,lower,"The sentence directly supports the claim by mentioning a specific brain region (orbital part of the left superior frontal gyrus) and a correlation with BIS-11 scores, which is a measure of nonplanning impulsivity.",
15,26040546,Model-free functional connectivity and impulsivity correlates of alcohol dependence: a resting-state study.,2017,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,"default mode network, frontoparietal/control network, salience/ventral attention network, somatomotor network",functional connectivity,impulsivity (general),alcohol dependence,correlates_with,unclear,,direct,0.8,"Using probabilistic independent component analysis on resting-state functional magnetic resonance imaging (rs-fMRI) data from 25 alcohol-dependent (AD) and 26 healthy control (HC) participants, we compared the within- and between-network FC between AD and HC.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,no,,,,"The sentence does not mention a phenotype-feature association, it only describes a comparison between groups.",
16,33519558,Impulsivity and Response Inhibition Related Brain Networks in Adolescents With Internet Gaming Disorder: A Preliminary Study Utilizing Resting-State fMRI.,2020,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Internet Gaming Disorder,associated_with,higher,,direct,0.8,"We found significant differences in impulsivity between the IGD group and RGU group, with members of the IGD group exhibiting higher impulsivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,yes,no,no,no,unclear,no,,behavioral trait,higher,The sentence does not support the feature type (functional connectivity) and relationship (associated_with) of the claim. It also does not directly support the direction (higher) as it only mentions a group difference in impulsivity.,
17,31264888,Striatal functional connectivity in chronic ketamine users: a pilot study.,2020,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),chronic ketamine users,correlates_with,higher,,direct,0.85,"In ketamine users, putamen showed higher connectivity with the left orbitofrontal cortex (OFC) in association with both BIS-11 score and months of ketamine use.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,impulsivity (general),functional connectivity,higher,"The sentence partially supports the claim because it mentions a specific brain region (putamen) and its association with a phenotype (impulsivity), but it does not directly support the claim's directness as it does not name both phenotype and feature. The corrected phenotype, feature type, and direction are based on the extracted claim.",
18,33528803,Impulsivity in heroin-dependent individuals: structural and functional abnormalities within frontostriatal circuits.,2021,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,motor impulsivity,heroin-dependent individuals,correlates_with,higher,,direct,0.85,"Higher motor impulsivity (t = 2.347, p = 0.0253) and larger right NAc volume (F (1,38) = 4.719, p = 0.036) was observed in HDI.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,motor impulsivity,functional connectivity,higher,The sentence directly states that higher motor impulsivity correlates with a specific brain feature (larger right NAc volume) in a particular group (HDI).,
19,32651411,Increased large-scale inter-network connectivity in relation to impulsivity in Parkinson's disease.,2020,Scientific reports,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,Parkinson's disease,associated_with,higher,,direct,0.9,FC between the right frontoparietal network (FPN) and medial visual network (MVN) was significantly higher in PD-HI patients than PD-LI patients (false discovery rate [FDR]-adjusted p = 0.0315).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,functional connectivity,higher,"The sentence directly supports the claim by mentioning a higher functional connectivity between two brain networks in PD-HI patients compared to PD-LI patients, which is associated with nonplanning impulsivity in Parkinson's disease.",
20,35385563,A single-arm open-label pilot study of brief mindfulness meditation to control impulsivity in Parkinson's disease.,2022,PloS one,Barratt Impulsiveness Scale resting-state fMRI,"default mode network, frontoparietal/control network",functional connectivity,impulsivity (general),Parkinson's disease,associated_with,lower,,direct,0.85,"After the intervention, the BIS-11 score was decreased from 59.5 [55.6, 63.3] (mean [95% confidence interval]) to 55.2 [50.3, 60.1] (ΔBIS-11: -4.2, [-7.5, -0.9]).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,no,,,,"The sentence does not mention impulsivity or functional connectivity, and it does not establish an association between the two.",
21,34012386,Association of Disinhibited Eating and Trait of Impulsivity With Insula and Amygdala Responses to Palatable Liquid Consumption.,2021,Frontiers in systems neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,direct,0.8,"the resting-state fMRI experiment showed that increased disinhibited eating was positively correlated with strengthened intrinsic functional connectivity between the insula and the amygdala, adjusting for sex (estimates of the beta coefficients = 0.146, standard error = 0.068, p = 0.040)",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and functional connectivity between the insula and amygdala.",
22,38914808,Association between sleep problems and impulsivity mediated through regional homogeneity abnormalities in male methamphetamine abstainers.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),male methamphetamine abstainers,mediated_through,unclear,reduced ReHo values in the left precentral gyrus,direct,0.85,Mediation analysis indicated that reduced ReHo values in the left precentral gyrus mediated the association between impulsivity and the need for sleep medications.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),need for sleep medications,,"The sentence partially supports the claim, but the feature type and direction need revision. The sentence mentions 'need for sleep medications' which is not the same as 'BOLD variability'. Also, the direction is not clear from the sentence.",
23,37086305,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,structural connectivity,impulsivity (general),BPD,correlates_with,lower,,direct,0.7,BPD patients showed a lower cortical thickness of the left insula (p = 0.027) that negatively correlated with the Anger Rumination Scale (p = 0.019; r = - 0.450).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly supports the claim by stating a lower cortical thickness of the left insula in BPD patients, which correlates with the Anger Rumination Scale. The phenotype (impulsivity) is implied by the diagnostic context (BPD), and the feature type (structural connectivity) is supported by the mention of cortical thickness.",
24,29101492,Intrinsic Network Connectivity Patterns Underlying Specific Dimensions of Impulsiveness in Healthy Young Adults.,2018,Brain topography,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,unknown,associated_with,unclear,,direct,0.8,There were significant relationships between right frontoparietal network function and all three BIS domains.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,yes,no,nonplanning impulsivity,functional connectivity,positive,"The sentence supports the phenotype and feature, but the direction is unclear. The corrected direction is assumed to be positive based on the context of 'significant relationships'.",
25,26364127,Neurobiological underpinnings of sensation seeking trait in heroin abusers.,2015,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,"ventromedial prefrontal cortex, dorsolateral prefrontal cortex",functional connectivity,impulsivity (general),heroin abusers,correlates_with,unclear,,direct,0.8,there was stronger coupling between the midbrain and ventromedial prefrontal cortex and weaker coupling between the midbrain and dorsolateral prefrontal cortex in heroin users.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence directly states a correlation between functional connectivity in the brain and a phenotype, and the direction of the correlation is clear (stronger coupling is positive).",
26,33158664,Delta resting-state functional connectivity in the cognitive control network as a prognostic factor for maintaining abstinence: An eLORETA preliminary study.,2021,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,cognitive control network,functional connectivity,impulsivity (general),alcohol-dependent patients,predicts,higher,,direct,0.9,Regression analysis showed that the increased left frontoparietal delta connectivity in the early period of abstinence significantly predicted maintaining abstinence over the ensuing 12 months.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct relationship between increased left frontoparietal delta connectivity and maintaining abstinence in alcohol-dependent patients.",
27,28185093,Altered spontaneous brain activity in adolescent boys with pure conduct disorder revealed by regional homogeneity analysis.,2017,European child & adolescent psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),conduct disorder,correlates_with,higher,,direct,0.8,"In the CD group, mean ReHo values in the left and the right insula correlated positively with Barratt Impulsivity Scale (BIS) total scores.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,The sentence directly supports the claim by stating a positive correlation between ReHo values in the insula and impulsivity scores.,
28,25944613,Nature of functional links in valuation networks differentiates impulsive behaviors between abstinent heroin-dependent subjects and nondrug-using subjects.,2015,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin-dependent subjects and nondrug-using subjects,associated_with,higher,imbalanced functional connectivity between β- and δ-networks,direct,0.85,"the functional link between the β- and δ-networks is imbalanced, with stronger β-network connectivity and weaker δ-network connectivity. The imbalanced link is associated with impulsivity",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,,
29,23937918,Voxel-level comparison of arterial spin-labeled perfusion magnetic resonance imaging in adolescents with internet gaming addiction.,2013,Behavioral and brain functions : BBF,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),internet gaming addiction,correlates_with,unclear,,background,0.2,,yes,,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),unknown,,"The sentence partially supports the claim, but the feature type is unknown and the direction is unclear.",
30,24971323,A functional polymorphism of the MAOA gene modulates spontaneous brain activity in pons.,2014,BioMed research international,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),unknown,correlates_with,lower,,direct,0.8,"Compared with the MAOA-H group, the MAOA-L group showed significantly lower ALFFs in the pons. There was a significant correlation between the BIS scores and the ALFF values in the pons for MAOA-L group, but not for the MAOA-H group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,lower,"The sentence directly supports the claim by stating a correlation between BIS scores and ALFF values in the pons for the MAOA-L group, which is associated with lower impulsivity.",
31,26830141,Midbrain functional connectivity and ventral striatal dopamine D2-type receptors: link to impulsivity in methamphetamine users.,2016,Molecular psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),methamphetamine-dependent individuals,correlates_with,unclear,,direct,0.75,"In Study 2, an interaction of the group with RSFC on impulsivity was observed. Methamphetamine-dependent users exhibited a positive relationship of midbrain RSFC to the left ventral striatum with cognitive impulsivity, whereas a negative relationship was observed in healthy controls.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (cognitive),functional connectivity,positive,"The sentence clearly supports the extracted claim. The phenotype is 'impulsivity (cognitive)', which is a specific type of impulsivity. The feature type is 'functional connectivity', which matches the sentence. The relationship is 'correlates_with', which is supported by the sentence. The direction is 'positive', which is supported by the sentence. The directness is 'direct', which is supported by the sentence naming both phenotype and feature. There is no overclaiming as the sentence mentions a group difference and a phenotype-feature association.",
32,24200212,Striatal-insula circuits in cocaine addiction: implications for impulsivity and relapse risk.,2013,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine addiction,associated_with,higher,reduced connectivity in putamen-posterior insula/postcentral gyrus circuits,direct,0.85,"Impulsivity (BIS-11a) was higher in cocaine-addicted participants, an effect that was partially mediated by reduced putamen-posterior insula connectivity in this group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,,
33,32093319,"Random Forest Classification of Alcohol Use Disorder Using fMRI Functional Connectivity, Neuropsychological Functioning, and Impulsivity Measures.",2020,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),Alcohol Use Disorder,associated_with,higher,,direct,0.85,Individuals with AUD also showed poorer memory performance and increased impulsivity compared to CTL individuals.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),neuropsychological functioning,higher,"The sentence mentions impulsivity, but it also mentions memory performance, which is a different feature. The feature type should be corrected to 'neuropsychological functioning' to match the claim. The directness is also not fully supported because the sentence does not name both phenotype and feature.",
34,27688124,Association between abnormal default mode network activity and suicidality in depressed adolescents.,2016,BMC psychiatry,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),depressed adolescents,associated_with,unclear,,direct,0.7,"Compared with the healthy controls, all of the evaluated depressed patients showed increased functional connectivity in select DMN regions.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,yes,no,impulsivity (general),functional connectivity,increased,"The sentence partially supports the claim because it mentions a group difference (depressed patients vs. healthy controls) and a feature (increased functional connectivity), but the direction is not explicitly stated as associated with the phenotype. The corrected direction is 'increased' based on the sentence.",
35,28602816,Neurobiological correlates of impulsivity in healthy adults: Lower prefrontal gray matter volume and spontaneous eye-blink rate but greater resting-state functional connectivity in basal ganglia-thalamo-cortical circuitry.,2017,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.9,"greater resting-state functional connectivity between the basal ganglia and thalamus, motor cortices, and prefrontal cortex was associated with worse no-go trial accuracy on the task and with higher BIS-11 motor impulsivity scores",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between higher functional connectivity and higher impulsivity scores.",
36,20851718,Identification of hyperactive intrinsic amygdala network connectivity associated with impulsivity in abstinent heroin addicts.,2011,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin dependent,associated_with,higher,,direct,0.9,"In the HD group, higher impulsivity scores and significantly enhanced iAFC network activity were found, especially in bilateral thalamus, right insula, and inferior frontal gyrus.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,The sentence clearly supports the extracted claim by stating a direct association between higher impulsivity scores and enhanced iAFC network activity in specific brain regions.,
37,39756804,Altered Functional Connectivity of Prefrontal Cortex-Related Circuitry and Trait Impulsivity in Patients With Bipolar Disorder and History of Suicide Attempts.,2025,Acta psychiatrica Scandinavica,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Bipolar Disorder,associated_with,higher,,direct,0.85,BDSA had higher trait impulsivity than BDNS and the controls.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),trait level,higher,"The sentence clearly supports the extracted claim by stating that BDSA had higher trait impulsivity, which is a direct association between impulsivity (general) and a feature of trait level, in the context of Bipolar Disorder.",
38,29988765,Abnormal degree centrality in chronic users of codeine-containing cough syrups: A resting-state functional magnetic resonance imaging study.,2018,NeuroImage. Clinical,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),chronic users of codeine-containing cough syrups,correlated_with,unclear,,direct,0.8,"The degree centrality (DC) changes were correlated to the Barratt Impulsiveness Scale (BIS-11) total score, dose, duration of CCS use, and the age at first use of cough syrups.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,correlated_with,"The sentence clearly supports the extracted claim by stating a correlation between degree centrality changes and the Barratt Impulsiveness Scale (BIS-11) total score, which is a measure of impulsivity.",
