pmid,raw_response,parse_error
39218589,"{""kb_record"": {""source"": ""Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi"", ""source_id"": ""39218589"", ""query"": ""motor impulsivity functional connectivity"", ""title"": ""[A review of functional electrical stimulation based on brain-computer interface]"", ""year"": 2024, ""journal"": ""Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi"", ""brain_system"": null, ""feature_type"": null, ""phenotype"": null, ""diagnostic_context"": null, ""relationship"": null, ""direction"": null, ""mechanism"": null, ""directness"": null, ""evidence_strength"": null, ""supporting_sentence"": ""Functional electrical stimulation (FES) based on brain-computer interface (BCI) connects the patient's intentions with muscle contraction, and helps to promote the reconstruction of nerve function by recognizing nerve signals and stimulating the moving muscle group with electrical impulses to produce muscle convulsions or limb movements."", ""citation_id"": ""39218589"", ""extraction_model"": null, ""extraction_confidence"": null}, ""self_verification"": {""support_score"": 0.7, ""decision"": ""Supportable"", ""phenotype_supported"": null, ""feature_supported"": null, ""relationship_supported"": null, ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": false, ""rationale"": ""The sentence supports the use of FES-BCI in promoting nerve function reconstruction, which indirectly relates to motor function, but does not directly mention 'motor impulsivity functional connectivity'.""}}",
37086305,"{
    ""kb_record"": {
        ""source"": ""European archives of psychiatry and clinical neuroscience"",
        ""source_id"": ""37086305"",
        ""query"": ""Barratt Impulsiveness Scale resting-state fMRI"",
        ""title"": ""Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula."",
        ""year"": 2024,
        ""journal"": ""European archives of psychiatry and clinical neuroscience"",
        ""brain_system"": ""amygdala and insula"",
        ""feature_type"": ""functional connectivity"",
        ""phenotype"": ""BPD"",
        ""diagnostic_context"": ""BPD patients"",
        ""relationship"": ""correlation"",
        ""direction"": ""negative"",
        ""mechanism"": ""alterations in amygdala and insula"",
        ""directness"": ""indirect"",
        ""evidence_strength"": ""moderate"",
        ""supporting_sentence"": ""Amygdala and insula are altered in BPD patients, and these two limbic structures are implicated in specific neuropsychiatric symptoms, such as difficulty in emotion regulation, depression, anger and depressive rumination."",
        ""citation_id"": ""37086305"",
        ""extraction_model"": ""Qwen"",
        ""extraction_confidence"": ""high""
    },
    ""self_verification"": {
        ""support_score"": 8,
        ""decision"": ""supported"",
        ""phenotype_supported"": true,
        ""feature_supported"": true,
        ""relationship_supported"": true,
        ""direction_supported"": true,
        ""directness_supported"": true,
        ""overclaiming"": false,
        ""rationale"": ""The abstract clearly states the relationship between the altered amygdala and insula in BPD patients and their involvement in neuropsychiatric symptoms, which includes impulsivity as measured by the Barratt Impulsiveness Scale.""
    }
}",
37992501,"{
    ""kb_record"": {
        ""source"": ""NeuroImage. Clinical"",
        ""source_id"": ""37992501"",
        ""query"": ""impulsivity neuroimaging functional connectivity"",
        ""title"": ""Testing the triple network model of psychopathology in a transdiagnostic neurodevelopmental cohort."",
        ""year"": 2023,
        ""journal"": ""NeuroImage. Clinical"",
        ""brain_system"": ""Salience Network (SN), Central Executive Network (CEN), Default Mode Network (DMN)"",
        ""feature_type"": ""functional connectivity"",
        ""phenotype"": ""hyperactivity/impulsivity"",
        ""diagnostic_context"": ""transdiagnostic neurodevelopmental difficulties"",
        ""relationship"": ""connectivity between networks"",
        ""direction"": ""increased or decreased"",
        ""mechanism"": ""delayed network segregation, difficulties sustaining CEN activity to regulate behavior, and/or a heightened developmental mismatch between neural systems"",
        ""directness"": ""indirect"",
        ""evidence_strength"": ""moderate"",
        ""supporting_sentence"": ""Hyperactivity/impulsivity was associated with increased functional connectivity between the SN, CEN, and DMN in at-risk children, whereas it was associated with decreased functional connectivity between the CEN and DMN in comparison children."",
        ""citation_id"": ""37992501"",
        ""extraction_model"": ""Qwen"",
        ""extraction_confidence"": ""high""
    },
    ""self_verification"": {
        ""support_score"": 8,
        ""decision"": ""supported"",
        ""phenotype_supported"": true,
        ""feature_supported"": true,
        ""relationship_supported"": true,
        ""direction_supported"": true,
        ""directness_supported"": true,
        ""overclaiming"": false,
        ""rationale"": ""The sentence directly supports the presence of altered functional connectivity between the specified brain networks and the phenotype of hyperactivity/impulsivity in the described context.""
    }
}",
40297839,"{
    ""kb_record"": {
        ""source"": ""Journal of cellular neuroscience"",
        ""source_id"": ""PMID: 40297839"",
        ""query"": ""impulsivity resting-state fMRI functional connectivity"",
        ""title"": ""Hippocampus Functional Connectivity, Impulsivity, and Subsequent Substance Use."",
        ""year"": 2025,
        ""journal"": ""Journal of cellular neuroscience"",
        ""brain_system"": ""hippocampus"",
        ""feature_type"": ""resting-state functional connectivity"",
        ""phenotype"": ""substance use (tobacco and marijuana)"",
        ""diagnostic_context"": ""adolescence"",
        ""relationship"": ""mediates"",
        ""direction"": ""from impulsivity to substance use"",
        ""mechanism"": ""hippocampal rsFC with brain networks"",
        ""directness"": ""partial"",
        ""evidence_strength"": ""marginal associations and significant associations"",
        ""supporting_sentence"": ""Baseline hippocampal rsFC with the cingulo-parietal network, visual network, sensory-motor network, and DMN showed marginal associations with future tobacco and marijuana use. Additionally, hippocampal rsFC was significantly associated with impulsivity, which, in turn, predicted higher substance use at follow-up.""
    },
    ""self_verification"": {
        ""support_score"": 1,
        ""decision"": ""verified"",
        ""phenotype_supported"": true,
        ""feature_supported"": true,
        ""relationship_supported"": true,
        ""direction_supported"": true,
        ""directness_supported"": true,
        ""overclaiming"": false,
        ""rationale"": ""The sentence directly supports all aspects of the query, including the brain system, feature type, phenotype, diagnostic context, relationship, direction, and directness of the mediation model.""
    }
}",
24834038,"{
    ""kb_record"": {
        ""source"": ""Frontiers in behavioral neuroscience"",
        ""source_id"": ""24834038"",
        ""query"": ""impulsivity resting-state fMRI functional connectivity"",
        ""title"": ""Brain functional connectivity changes in children that differ in impulsivity temperamental trait"",
        ""year"": 2014,
        ""journal"": ""Frontiers in behavioral neuroscience"",
        ""brain_system"": ""default mode network (DMN)"",
        ""feature_type"": ""functional connectivity"",
        ""phenotype"": ""trait impulsivity"",
        ""diagnostic_context"": ""typically developing children"",
        ""relationship"": ""modulation"",
        ""direction"": ""negative correlation"",
        ""mechanism"": ""alteration of functional connectivity"",
        ""directness"": ""direct"",
        ""evidence_strength"": ""strong"",
        ""supporting_sentence"": ""We found two DMN clusters located at the posterior cingulate cortex and the right angular gyrus which were negatively correlated with impulsivity scores.""
    },
    ""self_verification"": {
        ""support_score"": 1,
        ""decision"": ""verified"",
        ""phenotype_supported"": true,
        ""feature_supported"": true,
        ""relationship_supported"": true,
        ""direction_supported"": true,
        ""directness_supported"": true,
        ""overclaiming"": false,
        ""rationale"": ""The sentence directly supports the relationship between the phenotype (trait impulsivity) and the feature (functional connectivity) in the specified direction (negative correlation).""
    }
}",
34993375,"{
    ""kb_record"": {
        ""source"": ""Chronic stress (Thousand Oaks, Calif.)"",
        ""source_id"": ""PMID: 34993375"",
        ""query"": ""trait impulsivity functional connectivity"",
        ""title"": ""Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants."",
        ""year"": 2021,
        ""journal"": ""Chronic stress (Thousand Oaks, Calif.)"",
        ""brain_system"": ""central executive, ventral salience, dorsal salience, default mode, subcortical, sensorimotor networks"",
        ""feature_type"": ""functional connectivity"",
        ""phenotype"": ""positive COVID-19 status"",
        ""diagnostic_context"": ""pandemic up to February fourth, 2021"",
        ""relationship"": ""association"",
        ""direction"": ""reduced connectivity in top-down attention and executive networks, increased internal connectivity in introspective and instinctive networks"",
        ""mechanism"": ""not explicitly stated in the abstract"",
        ""directness"": ""indirect"",
        ""evidence_strength"": ""moderate"",
        ""supporting_sentence"": ""More specifically, COVID-19 positive status was associated with 1) reduced connectivity between the central executive and ventral salience, as well as between the dorsal salience and default mode networks; 2) increased internal connectivity within the default mode, ventral salience, subcortical and sensorimotor networks; and 3) increased connectivity between the ventral salience, subcortical and sensorimotor networks.""
    },
    ""self_verification"": {
        ""support_score"": 8,
        ""decision"": ""supported"",
        ""phenotype_supported"": true,
        ""feature_supported"": true,
        ""relationship_supported"": true,
        ""direction_supported"": true,
        ""directness_supported"": false,
        ""overclaiming"": false,
        ""rationale"": ""The abstract clearly states associations between specific brain networks and COVID-19 positive status, which aligns with the query. However, the directness of the relationship is not explicitly stated in the abstract.""
    }
}",
28783574,"{
  ""kb_record"": {
    ""source"": ""Psychiatry research"",
    ""source_id"": ""28783574"",
    ""query"": ""Barratt Impulsiveness Scale neuroimaging"",
    ""title"": ""Go/No-Go task performance predicts differences in compulsivity but not in impulsivity personality traits."",
    ""year"": 2017,
    ""journal"": ""Psychiatry research"",
    ""brain_system"": null,
    ""feature_type"": null,
    ""phenotype"": null,
    ""diagnostic_context"": null,
    ""relationship"": ""predicts"",
    ""direction"": ""positive"",
    ""mechanism"": null,
    ""directness"": ""indirect"",
    ""evidence_strength"": ""moderate"",
    ""supporting_sentence"": ""Surprisingly, no relation was found between the Go/No-Go task and the BIS-11 scale."",
    ""citation_id"": null,
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": 0,
    ""decision"": ""False"",
    ""phenotype_supported"": ""False"",
    ""feature_supported"": ""False"",
    ""relationship_supported"": ""False"",
    ""direction_supported"": ""False"",
    ""directness_supported"": ""False"",
    ""overclaiming"": ""True"",
    ""rationale"": ""The sentence does not support the relationship between the Go/No-Go task and the Barratt Impulsiveness Scale as the query suggests. The sentence actually states that no relation was found between the Go/No-Go task and the BIS-11 scale.""
  }
}",
29442271,"{
    ""kb_record"": {
        ""source"": ""Brain imaging and behavior"",
        ""source_id"": ""29442271"",
        ""query"": ""impulsivity fMRI functional connectivity"",
        ""title"": ""Exploring variability in basal ganglia connectivity with functional MRI in healthy aging."",
        ""year"": 2018,
        ""journal"": ""Brain imaging and behavior"",
        ""brain_system"": ""basal ganglia network"",
        ""feature_type"": ""functional connectivity"",
        ""phenotype"": ""healthy older adults"",
        ""diagnostic_context"": ""none"",
        ""relationship"": ""association"",
        ""direction"": ""negative"",
        ""mechanism"": ""alterations of the dopaminergic system"",
        ""directness"": ""indirect"",
        ""evidence_strength"": ""moderate"",
        ""supporting_sentence"": ""Age was the only correlate of FC in the BGN that was consistently significant with both analyses."",
        ""citation_id"": ""29442271"",
        ""extraction_model"": ""Qwen"",
        ""extraction_confidence"": ""high""
    },
    ""self_verification"": {
        ""support_score"": 8,
        ""decision"": ""supported"",
        ""phenotype_supported"": true,
        ""feature_supported"": true,
        ""relationship_supported"": true,
        ""direction_supported"": true,
        ""directness_supported"": true,
        ""overclaiming"": false,
        ""rationale"": ""The sentence directly supports the relationship between age and functional connectivity in the basal ganglia network, indicating a negative association.""
    }
}",
12860356,"{
  ""kb_record"": {
    ""source"": ""Psychiatry research"",
    ""source_id"": ""PMID: 12860356"",
    ""query"": ""Barratt Impulsiveness Scale neuroimaging"",
    ""title"": ""Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder."",
    ""year"": 2003,
    ""journal"": ""Psychiatry research"",
    ""brain_system"": ""central serotonergic system"",
    ""feature_type"": ""behavioral impulsivity"",
    ""phenotype"": ""borderline personality disorder"",
    ""diagnostic_context"": ""community setting"",
    ""relationship"": ""predicts"",
    ""direction"": ""inverse"",
    ""mechanism"": ""diminished central serotonergic function"",
    ""directness"": ""indirect"",
    ""evidence_strength"": ""moderate"",
    ""supporting_sentence"": ""Impulsivity and aggression were inversely related to delta-prolactin and peak-prolactin responses among male but not female subjects."",
    ""citation_id"": ""12860356"",
    ""extraction_model"": ""single-stage"",
    ""extraction_confidence"": ""high""
  },
  ""self_verification"": {
    ""support_score"": 0.9,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": true,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the relationship between impulsivity and prolactin response, which is consistent with the query.""
  }
}",
41098388,"{
  ""kb_record"": {
    ""source"": ""The European physical journal. Special topics"",
    ""source_id"": ""41098388"",
    ""query"": ""impulsivity resting-state fMRI functional connectivity"",
    ""title"": ""Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder."",
    ""year"": 2025,
    ""journal"": ""The European physical journal. Special topics"",
    ""brain_system"": ""default mode network (DMN), salience network (SN)"",
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""opioid use disorder"",
    ""diagnostic_context"": ""resting-state fMRI"",
    ""relationship"": ""disruption"",
    ""direction"": ""significant disruptions in functional connectivity"",
    ""mechanism"": ""influences the functional connectivity of key brain networks"",
    ""directness"": ""direct"",
    ""evidence_strength"": ""preliminary"",
    ""supporting_sentence"": ""Our preliminary rs-fMRI findings reveal significant disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks involved in cognitive functions such as decision-making and impulse control.""
  },
  ""self_verification"": {
    ""support_score"": 1,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": true,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the presence of disrupted functional connectivity in individuals with opioid use disorder within specific brain networks, which aligns with the query terms provided.""
  }
}",
