record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes
11,36747838,Individual Differences in Delay Discounting are Associated with Dorsal Prefrontal Cortex Connectivity in Youth.,2023,bioRxiv : the preprint server for biology,attentional impulsivity resting-state fMRI,"default mode network, dorsal and ventral attention networks",functional connectivity,impulsivity (general),adolescence,association,higher,connectivity patterns emanating from the left dorsal prefrontal cortex,indirect,moderate,"These analyses revealed that individual differences in delay discounting were associated with patterns of connectivity emanating from the left dorsal prefrontal cortex, a hub of the default mode network.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
12,39284401,"Transcranial Magnetic Stimulation-Induced Plasticity Improving Cognitive Control in Obsessive-Compulsive Disorder, Part II: Task-Based Neural Predictors of Treatment Response.",2025,Biological psychiatry,attentional impulsivity functional connectivity,"dorsolateral prefrontal cortex, presupplementary motor area, bilateral amygdala, precuneus, insula",functional connectivity,unknown,after rTMS and exposure with response prevention,task-based functional magnetic resonance imaging-derived measures of task-related brain activation or functional connectivity predict treatment response,higher,task-based functional magnetic resonance imaging-derived measures of task-related brain activation or functional connectivity during planning and inhibition-related processes are associated with clinical response for specific rTMS conditions in OCD,indirect,moderate,"For the vertex group, but not the dorsolateral prefrontal cortex/presupplementary motor area rTMS conditions, higher activation in several task-relevant regions during planning and response inhibition and lower error-related activation corresponded with better short-term clinical improvement.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
13,35277392,Prefrontal Cortical Connectivity Mediates Locus Coeruleus Noradrenergic Regulation of Inhibitory Control in Older Adults.,2022,The Journal of neuroscience : the official journal of the Society for Neuroscience,motor impulsivity functional connectivity,"locus coeruleus, prefrontal cortex",unknown,unknown,healthy adults,mediates,higher,functional connectivity,indirect,moderate,"We confirmed that better response inhibition is correlated with locus coeruleus integrity and stronger connectivity between presupplementary motor area (preSMA) and right inferior frontal gyrus (rIFG), but not volumes of the prefrontal cortical regions.",no,evidence_strength not a number,yes,yes,no,,,,,,,,,
1,29454934,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,"pre-supplementary motor area, medial prefrontal cortex, default mode network, task networks",unknown,impulsivity (general),resting-state fMRI data,correlation,lower,low frequency fluctuations of BOLD signals,direct,moderate,"In regions of interest analysis, the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
2,40630648,Identifying a Biological Signature of Trauma-Related Neurodegeneration Following Repeated Traumatic Brain Injuries Compared with Healthy Controls.,2025,Neurotrauma reports,Barratt Impulsiveness Scale fMRI,,unknown,unknown,,,unclear,,unclear,,"Surveys included the Neurobehavioral Symptom Inventory (NSI), Insomnia Severity Index (ISI), Epworth Sleepiness Severity (ESS), PTSD Checklist for DSM-5 (PCL-5), Brief Symptom Inventory-18 (BSI-18), Satisfaction with Life Scale (SWLS), Barratt Impulsivity Scale (BIS), and Buss Perry Aggression Questionnaire (BPAQ).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
3,14572528,Response inhibition and impulsivity: an fMRI study.,2003,Neuropsychologia,Barratt Impulsiveness Scale fMRI,"right lateral orbitofrontal cortex, superior temporal gyrus, medial orbitofrontal cortex, cingulate gyrus, inferior parietal lobule",unknown,unknown,normal subjects performing a Go/NoGo task,association between BOLD response and impulsivity scores,higher,greater engagement of right orbitofrontal cortex needed to maintain behavioral inhibition in impulsive individuals,direct,strong,"Subjects with greater scores on impulsivity scales and who made more errors had greater activation of paralimbic areas during response inhibition, while less impulsive individuals and those with least errors activated higher order association areas.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
4,33426970,Add-on repetitive transcranial magnetic stimulation in patients with opioid use disorder undergoing methadone maintenance therapy.,2021,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale neuroimaging,dorsolateral prefrontal cortex,unknown,impulsivity (general),opioid use disorder undergoing methadone maintenance therapy,association,lower,repetitive transcranial magnetic stimulation,indirect,moderate,"However, HDRS scores, BIS-11 attentional subscales, and CPTs commission T-scores (C-TS) were significantly lower in the active rTMS group (P = .003, 0.04, and 0.02, respectively) than in the sham group.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
5,41098388,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,2025,The European physical journal. Special topics,impulsivity resting-state fMRI functional connectivity,"default mode network (DMN), salience network (SN)",functional connectivity,unknown,resting-state fMRI,disruption,lower,influences the functional connectivity of key brain networks,direct,moderate,Our preliminary rs-fMRI findings reveal significant disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks involved in cognitive functions such as decision-making and impulse control.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
6,24834038,Brain functional connectivity changes in children that differ in impulsivity temperamental trait.,2014,Frontiers in behavioral neuroscience,impulsivity resting-state fMRI functional connectivity,default mode network (DMN),functional connectivity,impulsivity (general),typically developing children,modulation,lower,impulsivity trait altered their relationships,direct,strong,We found two DMN clusters located at the posterior cingulate cortex and the right angular gyrus which were negatively correlated with impulsivity scores.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
7,28189592,Dissociable frontostriatal white matter connectivity underlies reward and motor impulsivity.,2017,NeuroImage,impulsivity fMRI functional connectivity,frontostriatal white matter,structural connectivity,impulsivity (general),,association,higher,structural connectivity,direct,strong,"We found a double dissociation such that individual differences in white matter connectivity between the ventral striatum and the ventromedial prefrontal cortex and dorsolateral prefrontal cortex was associated with reward impulsivity, as measured by delay discounting, whereas connectivity between dorsal striatum and supplementary motor area was associated with motor impulsivity, but not vice versa.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
8,31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,impulsivity fMRI functional connectivity,dorsal striatum,functional connectivity,unknown,young males with IGD,decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC); increased FC strength between the right dorsal putamen and right middle occipital gyrus (MOG),higher,uncontrolled gaming may be related with functional neural changes in the dorsal striatum,indirect,moderate,They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
9,28860514,Delay discounting is associated with the fractional amplitude of low-frequency fluctuations and resting-state functional connectivity in late adolescence.,2017,Scientific reports,trait impulsivity resting-state fMRI,dorsal anterior cingulate cortex (dACC) and left dorsolateral prefrontal cortex (DLPFC),BOLD variability,impulsivity (general),,association,higher,functional brain basis,indirect,moderate,"At the regional level, we found an association between higher DD and greater fALFF in the dorsal anterior cingulate cortex (dACC), which is involved in conflict monitoring and strategy adaptation. At the connectivity level, DD was positively correlated with the RSFC between the dACC and the left dorsolateral prefrontal cortex (DLPFC), a critical functional circuit in the cognitive control network.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
10,34993375,Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants.,2021,"Chronic stress (Thousand Oaks, Calif.)",trait impulsivity functional connectivity,"central executive, ventral salience, dorsal salience, default mode, subcortical, sensorimotor networks",functional connectivity,unknown,"pandemic up to February fourth, 2021",association,lower,"reduced connectivity in the top-down attention and executive networks, along with increased internal connectivity in the introspective and instinctive networks",indirect,strong,"More specifically, COVID-19 positive status was associated with 1) reduced connectivity between the central executive and ventral salience, as well as between the dorsal salience and default mode networks; 2) increased internal connectivity within the default mode, ventral salience, subcortical and sensorimotor networks; and 3) increased connectivity between the ventral salience, subcortical and sensorimotor networks.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
11,37561637,Abnormal frontostriatal connectivity and serotonin function in gambling disorder: A preliminary exploratory study.,2023,Journal of behavioral addictions,attentional impulsivity resting-state fMRI,frontostriatal,functional connectivity,unknown,individuals with gambling disorder and matched healthy controls,associated with,unclear,serotonergic function,indirect,moderate,Individuals with gambling disorder showed loss of functional connectivity between the right nucleus accumbens (NAcc) and a region in the right dorsolateral prefrontal cortex (DLPFC) (PFWE <0.05).,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
12,22901705,Alterations in regional homogeneity of resting-state brain activity in internet gaming addicts.,2012,Behavioral and brain functions : BBF,motor impulsivity resting-state fMRI,"brainstem, inferior parietal lobule, left posterior cerebellum, left middle frontal gyrus, temporal, occipital and parietal brain regions",BOLD variability,unknown,resting-state fMRI,show enhanced ReHo in sensory-motor coordination related brain regions and decreased ReHo in visual and auditory related brain regions,lower,long-time online game playing,indirect,moderate,"Comparing to the healthy controls, IGA subjects show enhanced ReHo in brainstem, inferior parietal lobule, left posterior cerebellum, and left middle frontal gyrus. All of these regions are thought related with sensory-motor coordination. In addition, IGA subjects show decreased ReHo in temporal, occipital and parietal brain regions. These regions are thought responsible for visual and auditory functions.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
13,41281564,Associations between structural injury and task-based corticomuscular connectivity after stroke.,2025,Frontiers in neurology,motor impulsivity functional connectivity,"sensorimotor cortex, corticospinal tract, muscles",structural connectivity,unknown,early subacute stroke,correlation,lower,post-stroke structural injury modulates task-based corticomuscular connectivity,indirect,moderate,Findings exclusive to CST injury/integrity subgroups underscore the complexity of structure-function relationships in stroke. Associations between CMC measures in motor-relevant frequency bands with measures reflecting CST microstructure suggest that post-stroke structural injury modulates task-based corticomuscular connectivity.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
1,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,insula,functional connectivity,impulsivity (general),heroin use disorder,predicts,higher,changes in FC between the insula and other brain regions,direct,strong,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity, whereas changes in the FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were significantly negatively correlated with trait impulsivity.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
2,15309395,Negative correlation between right prefrontal activity during response inhibition and impulsiveness: a fMRI study.,2004,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale fMRI,right dorsolateral prefrontal cortex (RDLPFC),unknown,motor impulsivity,Go/No-Go task,negative correlation,lower,response inhibition,indirect,moderate,A negative correlation was observed between the motor impulsiveness of BIS-11 and No-Go-related activation in the right dorsolateral prefrontal cortex (RDLPFC).,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
3,34461353,Impulsivity is related to overhasty risk learning in attention-deficit/hyperactivity disorder: A computational psychiatric approach.,2021,Journal of psychiatric research,Barratt Impulsiveness Scale fMRI,"frontal lobe, including the orbitofrontal area",unknown,unknown,attention-deficit/hyperactivity disorder (ADHD),is related to,higher,overhasty updating of beliefs during risk learning,direct,moderate,"The degree of overhasty learning in ADHD patients was significantly correlated with the BIS score (r = 0.424, p = 0.009).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
4,28783574,Go/No-Go task performance predicts differences in compulsivity but not in impulsivity personality traits.,2017,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,,predicts,higher,,indirect,moderate,"Surprisingly, no relation was found between the Go/No-Go task and the BIS-11 scale.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
5,37673288,Resting-state functional magnetic resonance imaging alterations in borderline personality disorder: A systematic review.,2023,Journal of affective disorders,impulsivity resting-state fMRI functional connectivity,"default mode network (DMN), salience network (SN), and central executive network (CEN)",functional connectivity,unknown,comparative study with healthy controls,aberrant,unclear,not explicitly stated in the abstract,indirect,moderate,"Overall, aberrant resting-state functional connectivity (rs-FC) within and between default mode network (DMN), salience network (SN), and central executive network (CEN) were observed in BPD compared to healthy controls, as well as selective functional impairments in bilateral amygdala, anterior and posterior cingulate cortex, hippocampus, and prefrontal cortex.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
6,37887440,"Neurophysiological, Neuroimaging, and Neuropsychological Predictors of Human Alcoholism and Risk.",2023,"Behavioral sciences (Basel, Switzerland)",impulsivity resting-state fMRI functional connectivity,Reward network,functional connectivity,unknown,Differentiating individuals with and without Alcohol Use Disorder,predicting,higher,Impulsivity measures,indirect,moderate,"Differentiating Individuals with and without Alcohol Use Disorder Using Resting-State fMRI Functional Connectivity of Reward Network, Neuropsychological Performance, and Impulsivity Measures",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
7,38468374,Functional connectivity alterations in individuals with gaming disorder assessed by functional magnetic resonance imaging: a systematic review.,2025,Journal of addictive diseases,impulsivity fMRI functional connectivity,"prefrontal cortex, fronto-parietal regions, frontal gyrus, insula lobe, cingulate cortex and striatum",functional connectivity,unknown,fMRI scans,alterations,higher,"uncontrolled use of technologies, loss of inhibitory control in decision-making, transforming leisure into dependence",direct,moderate,The main findings reveal changes such as significant increases or decreases in functional connectivity in certain regions of the brain.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
8,32987241,Intrinsic functional connectivity of the default mode and cognitive control networks relate to change in behavioral performance over two years.,2020,Cortex; a journal devoted to the study of the nervous system and behavior,impulsivity fMRI functional connectivity,cognitive control network (CCN) and default mode network (DMN),functional connectivity,unknown,healthy individuals,association,higher,plastic change in intrinsic connectivity,direct,moderate,"Additionally, decreased connectivity between posterior parietal CCN and DMN nodes and decreased connectivity between left and right dorsolateral prefrontal nodes was associated with increased cognitive performance.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
9,41098856,The CB1 receptor: linking impulsivity and substance use disorder.,2025,Frontiers in neuroscience,trait impulsivity functional connectivity,"hippocampus, cerebellum, prefrontal cortex",unknown,impulsivity (general),substance use disorders,influences,unclear,modulation of impulsive behavior through connectivity with prefrontal and limbic circuits,indirect,strong,"In particular, the hippocampus and cerebellum contribute to the modulation of impulsive behavior through their connectivity with prefrontal and limbic circuits.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
10,27896939,"A multimodal study of impulsivity and body weight: Integrating behavioral, cognitive, and neuroimaging approaches.",2017,"Obesity (Silver Spring, Md.)",trait impulsivity functional connectivity,right inferior frontal gyrus and right middle frontal gyrus,functional connectivity,unknown,impulsivity,positive association,higher,mediation by ImpSS,indirect,moderate,"Further, there was a positive association between BMI and functional connectivity between the right inferior frontal gyrus and right middle frontal gyrus during successful response inhibition.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
11,28174127,Altered functional connectivity in default mode network in Internet gaming disorder: Influence of childhood ADHD.,2017,Progress in neuro-psychopharmacology & biological psychiatry,attentional impulsivity resting-state fMRI,default mode network (DMN),functional connectivity,unknown,influence of childhood ADHD,expanded,unclear,executive control,indirect,moderate,"IGD subjects without childhood ADHD showed expanded functional connectivity (FC) between DMN-related regions (PCC, medial prefrontal cortex, thalamus) compared with controls.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
12,25925985,Impaired corticostriatal connectivity in impulse control disorders in Parkinson disease.,2015,Neurology,motor impulsivity resting-state fMRI,corticostriatal,functional connectivity,impulsivity (general),Parkinson disease,association,unclear,altered connectivity between an associative striatal area (the left anterior putamen) and associative and limbic cortical regions (the left inferior temporal gyrus and the left anterior cingulate gyrus),indirect,moderate,"The presence of an ICD in patients with PD was associated with functional disconnection between the left anterior putamen and both the left inferior temporal gyrus and the left anterior cingulate gyrus, as well as a trend toward a functional disconnection between several motor and associative striatal regions and limbic, associative, and motor cortical regions.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
13,31907881,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,motor impulsivity functional connectivity,striatal,unknown,motor impulsivity,,correlation,higher,functional connectivity,indirect,strong,"Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
1,37086305,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale resting-state fMRI,amygdala and insula,functional connectivity,unknown,BPD patients,correlation,lower,alterations in amygdala and insula contribute to neuropsychiatric symptoms,indirect,moderate,"Amygdala and insula are altered in BPD patients, and these two limbic structures are implicated in specific neuropsychiatric symptoms, such as difficulty in emotion regulation, depression, anger and depressive rumination.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
2,31427669,The Effect of Mindfulness Meditation on Impulsivity and its Neurobiological Correlates in Healthy Adults.,2019,Scientific reports,Barratt Impulsiveness Scale fMRI,"frontostriatal, cortico-striatal-thalamic",structural connectivity,impulsivity (general),healthy adults,no change,unclear,mindfulness intervention,indirect,moderate,"an eight-week mindfulness intervention did not reduce impulsivity on the go/no-go task or Barratt Impulsiveness Scale (BIS-11), nor produce changes in neural correlates of impulsivity (i.e. frontostriatal gray matter, functional connectivity, and dopamine levels) compared to active or wait-list control groups.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
3,26460483,Lateral prefrontal model-based signatures are reduced in healthy individuals with high trait impulsivity.,2015,Translational psychiatry,Barratt Impulsiveness Scale fMRI,lateral prefrontal cortex,unknown,impulsivity (general),healthy individuals,reduced,lower,behavioral and neural signatures,direct,moderate,Right lateral prefrontal model-based signatures were reduced in high-impulsive individuals.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
4,30616125,A multi-dimensional evaluation of craving and impulsivity among people admitted for alcohol-related problems in emergency department.,2019,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,alcohol misuse,predicts,higher,,direct,moderate,"Regression analyses showed that the scores obtained at the compulsive subscale of the OCDS, at the VAS and at the Urgency subscale of impulsivity constitute the main predictors of the severity of alcohol-use disorders (indexed by the AUDIT).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
5,31284029,Genetic contribution to the phenotypic correlation between trait impulsivity and resting-state functional connectivity of the amygdala and its subregions.,2019,NeuroImage,impulsivity resting-state fMRI functional connectivity,amygdala and its subregions,functional connectivity,impulsivity (general),,correlation,higher,genetic overlap,indirect,strong,"Bivariate genetic modelling analyses found genetic overlaps between trait impulsivity and the rsFC of the left full amygdala or the left BL amygdala with the right DLPFC. The proportions of phenotypic associations accounted for by overlapping genes were 82% and 60%, respectively.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
6,29277650,"Macroscale variation in resting-state neuronal activity and connectivity assessed by simultaneous calcium imaging, hemodynamic imaging and electrophysiology.",2018,NeuroImage,impulsivity resting-state fMRI functional connectivity,neuronal activity and connectivity,functional connectivity,unknown,"simultaneous resting-state measurements of electrophysiology, calcium, and hemodynamic imaging in lightly anesthetized mice",hemodynamic signal and calcium signal,unclear,regional variation in the hemodynamic response,indirect,moderate,"Furthermore, while overall functional connectivity (FC) measured by the hemodynamic signal is significantly correlated with FC measured by calcium, the two estimates were found to be significantly different.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
7,31401546,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,impulsivity fMRI functional connectivity,default and attentional networks,functional connectivity,unknown,,positive correlation,higher,impaired effortful control and decreased response inhibition of impulsivity,indirect,significant,"Additionally, functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
8,37992501,Testing the triple network model of psychopathology in a transdiagnostic neurodevelopmental cohort.,2023,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,"Salience Network (SN), Central Executive Network (CEN), Default Mode Network (DMN)",functional connectivity,impulsivity (general),transdiagnostic neurodevelopmental difficulties,connectivity,higher,"delayed network segregation, difficulties sustaining CEN activity to regulate behavior, and/or a heightened developmental mismatch between neural systems",indirect,moderate,"Hyperactivity/impulsivity was associated with increased functional connectivity between the SN, CEN, and DMN in at-risk children, whereas it was associated with decreased functional connectivity between the CEN and DMN in comparison children.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
9,38451271,Trait anxiety and corresponding neuromarkers predict internet addiction: A longitudinal study.,2024,Journal of behavioral addictions,trait impulsivity functional connectivity,"cognitive control and emotion-regulation circuits, default mode network (DMN)",functional connectivity,unknown,trait anxiety,predicts,higher,mediated by stressful life events and correlated functional connectivity,indirect,strong,"CPM results revealed that the functional connectivity of cognitive control and emotion-regulation circuits and DMN were significantly correlated with TA. Furthermore, a significant association was found between the neuromarkers of TA and IA.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
10,37058964,Impulsivity and self-regulation: A dual-process model of risky driving in young drivers in Iran.,2023,Accident; analysis and prevention,trait impulsivity functional connectivity,,unknown,impulsivity (general),,mediation,unclear,"executive functions, reflective functioning, and driving self-regulation",indirect,moderate,"Executive functions and driving self-regulation mediated the effect of attention impulsivity on driving errors. Executive functions, reflective functioning, and driving self-regulation mediated the relationship between motor impulsivity and driving errors.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
