id,set,method,score,native_pred
gptv_0096,s300,deberta-nli,0.011108,revise
gptv_0097,s300,deberta-nli,0.016724,drop
gptv_0098,s300,deberta-nli,0.001050,drop
gptv_0099,s300,deberta-nli,0.968262,keep
gptv_0100,s300,deberta-nli,0.000981,revise
gptv_0101,s300,deberta-nli,0.032623,revise
gptv_0102,s300,deberta-nli,0.960449,keep
gptv_0103,s300,deberta-nli,0.496826,keep
gptv_0104,s300,deberta-nli,0.000476,revise
gptv_0105,s300,deberta-nli,0.006340,revise
gptv_0106,s300,deberta-nli,0.003979,drop
gptv_0107,s300,deberta-nli,0.049835,revise
gptv_0108,s300,deberta-nli,0.000856,revise
gptv_0109,s300,deberta-nli,0.003786,revise
gptv_0110,s300,deberta-nli,0.001180,revise
gptv_0111,s300,deberta-nli,0.070740,revise
gptv_0112,s300,deberta-nli,0.001094,revise
gptv_0113,s300,deberta-nli,0.796875,keep
gptv_0114,s300,deberta-nli,0.966309,keep
gptv_0115,s300,deberta-nli,0.009865,drop
gptv_0116,s300,deberta-nli,0.000495,drop
gptv_0117,s300,deberta-nli,0.002424,revise
gptv_0118,s300,deberta-nli,0.003761,revise
gptv_0119,s300,deberta-nli,0.022690,revise
gptv_0120,s300,deberta-nli,0.003462,revise
gptv_0122,s300,deberta-nli,0.937500,keep
gptv_0123,s300,deberta-nli,0.992188,keep
gptv_0124,s300,deberta-nli,0.000873,revise
gptv_0125,s300,deberta-nli,0.004337,revise
gptv_0126,s300,deberta-nli,0.000793,revise
gptv_0128,s300,deberta-nli,0.001185,drop
gptv_0130,s300,deberta-nli,0.001410,revise
gptv_0131,s300,deberta-nli,0.025009,revise
gptv_0132,s300,deberta-nli,0.002407,drop
gptv_0133,s300,deberta-nli,0.004799,drop
gptv_0134,s300,deberta-nli,0.000824,revise
gptv_0135,s300,deberta-nli,0.002222,revise
gptv_0136,s300,deberta-nli,0.002056,revise
gptv_0137,s300,deberta-nli,0.003477,revise
gptv_0138,s300,deberta-nli,0.023941,revise
gptv_0140,s300,deberta-nli,0.985352,keep
gptv_0141,s300,deberta-nli,0.002335,revise
gptv_0142,s300,deberta-nli,0.001618,revise
gptv_0143,s300,deberta-nli,0.002295,revise
gptv_0144,s300,deberta-nli,0.006809,revise
gptv_0145,s300,deberta-nli,0.001834,revise
gptv_0146,s300,deberta-nli,0.009117,revise
gptv_0147,s300,deberta-nli,0.002678,revise
gptv_0148,s300,deberta-nli,0.004761,revise
gptv_0149,s300,deberta-nli,0.001526,revise
gptv_0150,s300,deberta-nli,0.000221,revise
gptv_0151,s300,deberta-nli,0.001729,revise
gptv_0152,s300,deberta-nli,0.000898,revise
gptv_0153,s300,deberta-nli,0.001136,revise
gptv_0154,s300,deberta-nli,0.022797,revise
gptv_0155,s300,deberta-nli,0.021240,revise
gptv_0156,s300,deberta-nli,0.386475,revise
gptv_0157,s300,deberta-nli,0.738281,keep
gptv_0158,s300,deberta-nli,0.002792,revise
gptv_0159,s300,deberta-nli,0.765137,keep
gptv_0160,s300,deberta-nli,0.013023,revise
gptv_0161,s300,deberta-nli,0.984375,keep
gptv_0162,s300,deberta-nli,0.023911,revise
gptv_0163,s300,deberta-nli,0.004414,revise
gptv_0164,s300,deberta-nli,0.869629,keep
gptv_0165,s300,deberta-nli,0.001719,revise
gptv_0166,s300,deberta-nli,0.000689,revise
gptv_0167,s300,deberta-nli,0.000531,revise
gptv_0169,s300,deberta-nli,0.001115,drop
gptv_0170,s300,deberta-nli,0.037048,revise
gptv_0171,s300,deberta-nli,0.001084,revise
gptv_0172,s300,deberta-nli,0.000660,revise
gptv_0173,s300,deberta-nli,0.841309,keep
gptv_0174,s300,deberta-nli,0.015465,revise
gptv_0175,s300,deberta-nli,0.018814,revise
gptv_0176,s300,deberta-nli,0.001679,revise
gptv_0177,s300,deberta-nli,0.001776,revise
gptv_0178,s300,deberta-nli,0.007759,revise
gptv_0179,s300,deberta-nli,0.002352,revise
gptv_0180,s300,deberta-nli,0.002041,revise
gptv_0181,s300,deberta-nli,0.429688,revise
gptv_0182,s300,deberta-nli,0.005257,revise
gptv_0183,s300,deberta-nli,0.016907,revise
gptv_0185,s300,deberta-nli,0.011040,revise
gptv_0186,s300,deberta-nli,0.017151,revise
gptv_0187,s300,deberta-nli,0.001795,revise
gptv_0188,s300,deberta-nli,0.000407,revise
gptv_0189,s300,deberta-nli,0.021362,revise
gptv_0190,s300,deberta-nli,0.002205,revise
gptv_0191,s300,deberta-nli,0.001534,revise
gptv_0192,s300,deberta-nli,0.015869,revise
gptv_0193,s300,deberta-nli,0.001176,revise
gptv_0194,s300,deberta-nli,0.001040,revise
gptv_0195,s300,deberta-nli,0.001679,revise
gptv_0196,s300,deberta-nli,0.668945,keep
gptv_0197,s300,deberta-nli,0.001298,revise
gptv_0198,s300,deberta-nli,0.001181,revise
gptv_0199,s300,deberta-nli,0.003078,revise
gptv_0200,s300,deberta-nli,0.000579,revise
gptv_0202,s300,deberta-nli,0.006630,revise
gptv_0203,s300,deberta-nli,0.004028,revise
gptv_0204,s300,deberta-nli,0.002394,revise
gptv_0205,s300,deberta-nli,0.001204,revise
gptv_0206,s300,deberta-nli,0.376221,revise
gptv_0207,s300,deberta-nli,0.000974,revise
gptv_0208,s300,deberta-nli,0.001553,revise
gptv_0211,s300,deberta-nli,0.000722,revise
gptv_0212,s300,deberta-nli,0.001440,revise
gptv_0213,s300,deberta-nli,0.005348,drop
gptv_0214,s300,deberta-nli,0.091919,revise
gptv_0215,s300,deberta-nli,0.031174,revise
gptv_0216,s300,deberta-nli,0.972656,keep
gptv_0217,s300,deberta-nli,0.059326,revise
gptv_0218,s300,deberta-nli,0.098938,revise
gptv_0219,s300,deberta-nli,0.000193,revise
gptv_0220,s300,deberta-nli,0.000692,revise
gptv_0221,s300,deberta-nli,0.001323,revise
gptv_0222,s300,deberta-nli,0.053131,revise
gptv_0223,s300,deberta-nli,0.001423,drop
gptv_0224,s300,deberta-nli,0.007965,revise
gptv_0225,s300,deberta-nli,0.000684,revise
gptv_0226,s300,deberta-nli,0.093140,revise
gptv_0227,s300,deberta-nli,0.002605,revise
gptv_0228,s300,deberta-nli,0.929688,keep
gptv_0229,s300,deberta-nli,0.000627,revise
gptv_0230,s300,deberta-nli,0.000323,revise
gptv_0231,s300,deberta-nli,0.003071,revise
gptv_0232,s300,deberta-nli,0.001439,revise
gptv_0233,s300,deberta-nli,0.199707,revise
gptv_0234,s300,deberta-nli,0.862793,keep
gptv_0235,s300,deberta-nli,0.001542,revise
gptv_0236,s300,deberta-nli,0.004513,revise
gptv_0237,s300,deberta-nli,0.015961,revise
gptv_0238,s300,deberta-nli,0.000622,revise
gptv_0240,s300,deberta-nli,0.134888,revise
gptv_0241,s300,deberta-nli,0.001457,revise
gptv_0242,s300,deberta-nli,0.004723,revise
gptv_0243,s300,deberta-nli,0.935547,keep
gptv_0244,s300,deberta-nli,0.002861,revise
gptv_0245,s300,deberta-nli,0.008499,revise
gptv_0246,s300,deberta-nli,0.000840,revise
gptv_0247,s300,deberta-nli,0.017731,revise
gptv_0248,s300,deberta-nli,0.038727,revise
gptv_0249,s300,deberta-nli,0.003647,revise
gptv_0250,s300,deberta-nli,0.566895,keep
gptv_0251,s300,deberta-nli,0.017075,revise
gptv_0252,s300,deberta-nli,0.000528,drop
gptv_0253,s300,deberta-nli,0.000847,revise
gptv_0254,s300,deberta-nli,0.009842,revise
gptv_0255,s300,deberta-nli,0.001723,revise
gptv_0256,s300,deberta-nli,0.058624,drop
gptv_0258,s300,deberta-nli,0.000779,revise
gptv_0259,s300,deberta-nli,0.002325,drop
gptv_0261,s300,deberta-nli,0.000574,revise
gptv_0262,s300,deberta-nli,0.107178,revise
gptv_0263,s300,deberta-nli,0.953613,keep
gptv_0264,s300,deberta-nli,0.001536,drop
gptv_0265,s300,deberta-nli,0.000896,revise
gptv_0266,s300,deberta-nli,0.002581,revise
gptv_0267,s300,deberta-nli,0.731445,keep
gptv_0268,s300,deberta-nli,0.009163,revise
gptv_0269,s300,deberta-nli,0.910156,keep
gptv_0270,s300,deberta-nli,0.001103,revise
gptv_0271,s300,deberta-nli,0.016525,revise
gptv_0272,s300,deberta-nli,0.032410,revise
gptv_0273,s300,deberta-nli,0.006851,drop
gptv_0274,s300,deberta-nli,0.004398,revise
gptv_0275,s300,deberta-nli,0.005497,revise
gptv_0276,s300,deberta-nli,0.084351,revise
gptv_0277,s300,deberta-nli,0.371582,revise
gptv_0278,s300,deberta-nli,0.007175,revise
gptv_0279,s300,deberta-nli,0.006977,revise
gptv_0280,s300,deberta-nli,0.001387,revise
gptv_0281,s300,deberta-nli,0.026062,revise
gptv_0282,s300,deberta-nli,0.010063,revise
gptv_0283,s300,deberta-nli,0.000281,revise
gptv_0284,s300,deberta-nli,0.000707,revise
gptv_0285,s300,deberta-nli,0.004120,revise
gptv_0286,s300,deberta-nli,0.000313,revise
gptv_0287,s300,deberta-nli,0.237061,revise
gptv_0288,s300,deberta-nli,0.007271,revise
gptv_0289,s300,deberta-nli,0.025467,revise
gptv_0290,s300,deberta-nli,0.000805,revise
gptv_0291,s300,deberta-nli,0.695312,keep
gptv_0292,s300,deberta-nli,0.346436,revise
gptv_0293,s300,deberta-nli,0.000768,revise
gptv_0294,s300,deberta-nli,0.001398,revise
gptv_0295,s300,deberta-nli,0.003571,revise
gptv_0296,s300,deberta-nli,0.019913,revise
gptv_0297,s300,deberta-nli,0.046417,revise
gptv_0298,s300,deberta-nli,0.900391,keep
gptv_0299,s300,deberta-nli,0.413574,keep
gptv_0300,s300,deberta-nli,0.001019,revise
HV001,s120,deberta-nli,0.000863,revise
HV002,s120,deberta-nli,0.959961,keep
HV003,s120,deberta-nli,0.001479,revise
HV004,s120,deberta-nli,0.001598,revise
HV005,s120,deberta-nli,0.000936,revise
HV006,s120,deberta-nli,0.149292,revise
HV007,s120,deberta-nli,0.002699,revise
HV008,s120,deberta-nli,0.004814,revise
HV009,s120,deberta-nli,0.009956,revise
HV010,s120,deberta-nli,0.004066,revise
HV011,s120,deberta-nli,0.004841,revise
HV012,s120,deberta-nli,0.019257,revise
HV013,s120,deberta-nli,0.008400,revise
HV014,s120,deberta-nli,0.003139,revise
HV015,s120,deberta-nli,0.000260,revise
HV016,s120,deberta-nli,0.004768,revise
HV017,s120,deberta-nli,0.099426,revise
HV018,s120,deberta-nli,0.003017,revise
HV019,s120,deberta-nli,0.015762,revise
HV020,s120,deberta-nli,0.000626,revise
HV021,s120,deberta-nli,0.001685,drop
HV022,s120,deberta-nli,0.002502,revise
HV023,s120,deberta-nli,0.004894,revise
HV024,s120,deberta-nli,0.003344,revise
HV025,s120,deberta-nli,0.000159,revise
HV026,s120,deberta-nli,0.187500,revise
HV027,s120,deberta-nli,0.001089,revise
HV028,s120,deberta-nli,0.003057,revise
HV029,s120,deberta-nli,0.000778,revise
HV030,s120,deberta-nli,0.004482,revise
HV031,s120,deberta-nli,0.000129,revise
HV032,s120,deberta-nli,0.078369,revise
HV033,s120,deberta-nli,0.005844,revise
HV034,s120,deberta-nli,0.001103,revise
HV035,s120,deberta-nli,0.000531,revise
HV036,s120,deberta-nli,0.003956,revise
HV037,s120,deberta-nli,0.975586,keep
HV038,s120,deberta-nli,0.000254,revise
HV039,s120,deberta-nli,0.008209,revise
HV040,s120,deberta-nli,0.001121,revise
HV041,s120,deberta-nli,0.067871,revise
HV042,s120,deberta-nli,0.002626,revise
HV043,s120,deberta-nli,0.004845,revise
HV044,s120,deberta-nli,0.013832,revise
HV045,s120,deberta-nli,0.002720,revise
HV046,s120,deberta-nli,0.053070,revise
HV047,s120,deberta-nli,0.000616,revise
HV048,s120,deberta-nli,0.002449,revise
HV049,s120,deberta-nli,0.003918,drop
HV051,s120,deberta-nli,0.054626,revise
HV052,s120,deberta-nli,0.796875,keep
HV053,s120,deberta-nli,0.019180,revise
HV055,s120,deberta-nli,0.013992,revise
HV056,s120,deberta-nli,0.001978,revise
HV057,s120,deberta-nli,0.024612,revise
HV058,s120,deberta-nli,0.697754,keep
HV059,s120,deberta-nli,0.957031,keep
HV060,s120,deberta-nli,0.002321,revise
HV061,s120,deberta-nli,0.004105,revise
HV062,s120,deberta-nli,0.001786,revise
HV063,s120,deberta-nli,0.001726,revise
HV064,s120,deberta-nli,0.000410,revise
HV065,s120,deberta-nli,0.000692,revise
HV066,s120,deberta-nli,0.002241,revise
HV067,s120,deberta-nli,0.005947,revise
HV068,s120,deberta-nli,0.011391,revise
HV069,s120,deberta-nli,0.000734,revise
HV070,s120,deberta-nli,0.000970,revise
HV071,s120,deberta-nli,0.001135,revise
HV072,s120,deberta-nli,0.043427,revise
HV073,s120,deberta-nli,0.000894,drop
HV074,s120,deberta-nli,0.001602,revise
HV075,s120,deberta-nli,0.002462,revise
HV076,s120,deberta-nli,0.984863,keep
HV077,s120,deberta-nli,0.000976,revise
HV078,s120,deberta-nli,0.886230,keep
HV079,s120,deberta-nli,0.023544,revise
HV080,s120,deberta-nli,0.000288,revise
HV081,s120,deberta-nli,0.002634,drop
HV082,s120,deberta-nli,0.002001,revise
HV083,s120,deberta-nli,0.000640,revise
HV085,s120,deberta-nli,0.001546,revise
HV086,s120,deberta-nli,0.022247,revise
HV087,s120,deberta-nli,0.002184,revise
HV088,s120,deberta-nli,0.045532,revise
HV089,s120,deberta-nli,0.969727,keep
HV090,s120,deberta-nli,0.001524,revise
HV091,s120,deberta-nli,0.001705,drop
HV092,s120,deberta-nli,0.039124,revise
HV093,s120,deberta-nli,0.001527,revise
HV094,s120,deberta-nli,0.000585,revise
HV095,s120,deberta-nli,0.004162,revise
HV096,s120,deberta-nli,0.071106,revise
HV097,s120,deberta-nli,0.003082,revise
HV098,s120,deberta-nli,0.000596,drop
HV099,s120,deberta-nli,0.007217,revise
HV100,s120,deberta-nli,0.004810,revise
HV101,s120,deberta-nli,0.286865,revise
HV102,s120,deberta-nli,0.013878,revise
HV103,s120,deberta-nli,0.000653,revise
HV105,s120,deberta-nli,0.001084,revise
HV107,s120,deberta-nli,0.009216,revise
HV108,s120,deberta-nli,0.435547,revise
HV109,s120,deberta-nli,0.980957,keep
HV110,s120,deberta-nli,0.960938,keep
HV111,s120,deberta-nli,0.026047,revise
HV112,s120,deberta-nli,0.004982,revise
HV113,s120,deberta-nli,0.009148,revise
HV114,s120,deberta-nli,0.100281,revise
HV115,s120,deberta-nli,0.085571,revise
HV116,s120,deberta-nli,0.000515,revise
HV117,s120,deberta-nli,0.008934,revise
HV118,s120,deberta-nli,0.001001,revise
HV119,s120,deberta-nli,0.000536,revise
HV120,s120,deberta-nli,0.000849,revise
gptv_0003,s300,deberta-nli,0.000000,drop
gptv_0027,s300,deberta-nli,0.000000,drop
gptv_0032,s300,deberta-nli,0.000000,drop
gptv_0042,s300,deberta-nli,0.000000,drop
gptv_0060,s300,deberta-nli,0.000000,drop
gptv_0121,s300,deberta-nli,0.000000,drop
gptv_0127,s300,deberta-nli,0.000000,drop
gptv_0129,s300,deberta-nli,0.000000,drop
gptv_0139,s300,deberta-nli,0.000000,drop
gptv_0168,s300,deberta-nli,0.000000,drop
gptv_0184,s300,deberta-nli,0.000000,drop
gptv_0201,s300,deberta-nli,0.000000,drop
gptv_0209,s300,deberta-nli,0.000000,drop
gptv_0210,s300,deberta-nli,0.000000,drop
gptv_0239,s300,deberta-nli,0.000000,drop
gptv_0257,s300,deberta-nli,0.000000,drop
gptv_0260,s300,deberta-nli,0.000000,drop
HV050,s120,deberta-nli,0.000000,drop
HV054,s120,deberta-nli,0.000000,drop
HV084,s120,deberta-nli,0.000000,drop
HV104,s120,deberta-nli,0.000000,drop
HV106,s120,deberta-nli,0.000000,drop
