id,set,method,score,native_pred
gptv_0027,s300,alignscore-large,0.000000,
gptv_0032,s300,alignscore-large,0.000000,
gptv_0042,s300,alignscore-large,0.000000,
gptv_0060,s300,alignscore-large,0.000000,
gptv_0121,s300,alignscore-large,0.000000,
gptv_0127,s300,alignscore-large,0.000000,
gptv_0129,s300,alignscore-large,0.000000,
gptv_0139,s300,alignscore-large,0.000000,
gptv_0168,s300,alignscore-large,0.000000,
gptv_0184,s300,alignscore-large,0.000000,
gptv_0201,s300,alignscore-large,0.000000,
gptv_0209,s300,alignscore-large,0.000000,
gptv_0210,s300,alignscore-large,0.000000,
gptv_0239,s300,alignscore-large,0.000000,
gptv_0257,s300,alignscore-large,0.000000,
gptv_0260,s300,alignscore-large,0.000000,
HV050,s120,alignscore-large,0.000000,
HV054,s120,alignscore-large,0.000000,
HV084,s120,alignscore-large,0.000000,
HV104,s120,alignscore-large,0.000000,
HV106,s120,alignscore-large,0.000000,
