id,set,extractor_model,variant,empty_evidence_rule,support_score,decision,overclaiming,rationale,parse_status,raw_response,error
HV014,s120,Qwen 2.5 7B,native_instr,no,2,keep,no,,ok,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""neural"",
  ""corrected_direction"": ""positive"",
  ""rationale"": null
}",
HV014,s120,Qwen 2.5 7B,minimal,no,1,revise,unclear,"The claim is partially supported because it only shows a positive association between the neural feature and impulsivity in high-risk offspring with two risk alleles, but does not provide information about the association in low-risk offspring or the general population.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim is partially supported because it only shows a positive association between the neural feature and impulsivity in high-risk offspring with two risk alleles, but does not provide information about the association in low-risk offspring or the general population.""}",
HV015,s120,Mistral 7B,native_instr,no,0,drop,no,"The sentence does not support the claim as it discusses the relationship between alcohol consumption and various factors, but does not mention predictive of higher functional connectivity.",ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": null,
  ""directness_supported"": null,
  ""overclaiming"": false,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not support the claim as it discusses the relationship between alcohol consumption and various factors, but does not mention predictive of higher functional connectivity.""
}",
HV015,s120,Mistral 7B,minimal,no,1,revise,unclear,"The claim that the phenotype is predictive of higher functional connectivity is partially supported because the study explores the relationship between future alcohol consumption and electrophysiological connectivity measured by MEG, which suggests a predictive relationship between the phenotype (alcohol consumption) and functional connectivity. However, the claim is not fully supported because it is specifically about the phenotype being predictive of higher functional connectivity, whereas the study only explores the relationship between alcohol consumption and electrophysiological connectivity, without directly addressing the direction of the relationship (i.e., whether alcohol consumption leads to higher functional connectivity or if higher functional connectivity leads to alcohol consumption).",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim that the phenotype is predictive of higher functional connectivity is partially supported because the study explores the relationship between future alcohol consumption and electrophysiological connectivity measured by MEG, which suggests a predictive relationship between the phenotype (alcohol consumption) and functional connectivity. However, the claim is not fully supported because it is specifically about the phenotype being predictive of higher functional connectivity, whereas the study only explores the relationship between alcohol consumption and electrophysiological connectivity, without directly addressing the direction of the relationship (i.e., whether alcohol consumption leads to higher functional connectivity or if higher functional connectivity leads to alcohol consumption).""}",
HV016,s120,Llama 3.1 8B,native_instr,no,0,drop,yes,"The sentence does not mention a phenotype-feature association, and it mentions a group difference (schizophrenic patients) but not a phenotype-feature association, which makes it overclaimed.",ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not mention a phenotype-feature association, and it mentions a group difference (schizophrenic patients) but not a phenotype-feature association, which makes it overclaimed.""
}",
HV016,s120,Llama 3.1 8B,minimal,no,1,revise,unclear,"The claim is partially supported because it mentions a specific behavior (cigarette smoking) that may influence impulsivity in schizophrenic patients, but it does not directly link impulsivity to a neural feature. The claim requires more information to establish a clear association between impulsivity and a neural feature in schizophrenia.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim is partially supported because it mentions a specific behavior (cigarette smoking) that may influence impulsivity in schizophrenic patients, but it does not directly link impulsivity to a neural feature. The claim requires more information to establish a clear association between impulsivity and a neural feature in schizophrenia.""}",
HV017,s120,Mistral 7B,native_instr,no,0,drop,no,"The sentence does not mention a specific phenotype-feature association, and the relationship is not clearly stated.",ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not mention a specific phenotype-feature association, and the relationship is not clearly stated.""
}",
HV017,s120,Mistral 7B,minimal,no,1,revise,unclear,"The claim mentions a relationship between impulsivity and functional connectivity, but the evidence provided focuses on the interaction between blunted reward responsivity and deficient inhibitory control, which is a related but distinct concept. Therefore, the claim requires revision to accurately reflect the evidence.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim mentions a relationship between impulsivity and functional connectivity, but the evidence provided focuses on the interaction between blunted reward responsivity and deficient inhibitory control, which is a related but distinct concept. Therefore, the claim requires revision to accurately reflect the evidence.""}",
HV018,s120,Qwen 2.5 7B,native_instr,no,0,drop,no,"The sentence does not mention a phenotype-feature association, and it does not support the relationship between impulsivity and the neural feature.",ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not mention a phenotype-feature association, and it does not support the relationship between impulsivity and the neural feature.""
}",
HV018,s120,Qwen 2.5 7B,minimal,no,1,revise,unclear,"The claim is partially supported as the evidence shows a significant between-subject effect in favor of the IPT-BPD-R-treated group, but the correlation with impulsivity (general) is not explicitly stated. The BIS-11 score is mentioned, but its relation to impulsivity is not clearly established in the given evidence.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim is partially supported as the evidence shows a significant between-subject effect in favor of the IPT-BPD-R-treated group, but the correlation with impulsivity (general) is not explicitly stated. The BIS-11 score is mentioned, but its relation to impulsivity is not clearly established in the given evidence.""}",
HV019,s120,Mistral 7B,native_instr,no,2,keep,no,,ok,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""schizophrenia"",
  ""corrected_feature_type"": ""general"",
  ""corrected_direction"": ""associated"",
  ""rationale"": null
}",
HV019,s120,Mistral 7B,minimal,no,2,keep,unclear,"The evidence directly supports the claim by providing specific examples of structural connectivity changes in schizophrenia patients, including reductions in FA and elevations in MD and RD in certain brain regions, which are associated with impulsivity.",ok,"{""support_score"": 2, ""decision"": ""KEEP"", ""rationale"": ""The evidence directly supports the claim by providing specific examples of structural connectivity changes in schizophrenia patients, including reductions in FA and elevations in MD and RD in certain brain regions, which are associated with impulsivity.""}",
HV020,s120,Mistral 7B,native_instr,no,0,drop,yes,"The sentence does not mention impulsivity (general) or functional connectivity, and it mentions a group difference (TA and IA) without a phenotype-feature association.",ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not mention impulsivity (general) or functional connectivity, and it mentions a group difference (TA and IA) without a phenotype-feature association.""
}",
HV020,s120,Mistral 7B,minimal,no,1,revise,unclear,"The claim states that impulsivity (general) is predictive of functional connectivity, but the evidence provided shows that stressful life events and correlated functional connectivity mediated the association between trait anxiety (TA) and impulsivity (IA), not impulsivity (general) and functional connectivity. Therefore, the claim requires revision to accurately reflect the evidence.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim states that impulsivity (general) is predictive of functional connectivity, but the evidence provided shows that stressful life events and correlated functional connectivity mediated the association between trait anxiety (TA) and impulsivity (IA), not impulsivity (general) and functional connectivity. Therefore, the claim requires revision to accurately reflect the evidence.""}",
HV021,s120,Mistral 7B,native_instr,no,2,keep,no,"The sentence directly supports the association between impulsivity (general) and functional connectivity, with a positive correlation between card-sorting performance and FC between bilateral anterior insula and midcingulate cortex/supplementary motor area.",ok,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""positive"",
  ""rationale"": ""The sentence directly supports the association between impulsivity (general) and functional connectivity, with a positive correlation between card-sorting performance and FC between bilateral anterior insula and midcingulate cortex/supplementary motor area.""
}",
HV021,s120,Mistral 7B,minimal,no,1,revise,unclear,"The claim is partially supported as it only provides evidence of a positive correlation between card-sorting performance and functional connectivity between specific brain regions, but does not provide a general association between impulsivity and functional connectivity.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim is partially supported as it only provides evidence of a positive correlation between card-sorting performance and functional connectivity between specific brain regions, but does not provide a general association between impulsivity and functional connectivity.""}",
HV022,s120,Mistral 7B,native_instr,no,0,drop,no,"The sentence does not mention a phenotype-feature association, it only mentions age-related brain network differences between ADHD patients and typically developing subjects.",ok,"{""support_score"": 0, ""decision"": ""drop"", ""phenotype_supported"": false, ""feature_supported"": false, ""relationship_supported"": false, ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": false, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence does not mention a phenotype-feature association, it only mentions age-related brain network differences between ADHD patients and typically developing subjects.""}",
HV022,s120,Mistral 7B,minimal,no,1,revise,unclear,"The claim is partially supported as it mentions attentional impulsivity is associated with functional connectivity in ADHD, but the evidence provided only explores age-related brain network differences between ADHD patients and typically developing subjects using resting state fMRI, which is a broader topic than the specific claim made.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim is partially supported as it mentions attentional impulsivity is associated with functional connectivity in ADHD, but the evidence provided only explores age-related brain network differences between ADHD patients and typically developing subjects using resting state fMRI, which is a broader topic than the specific claim made.""}",
HV023,s120,Llama 3.1 8B,native_instr,no,2,keep,no,The sentence clearly supports the association between the phenotype (IGD group) and the feature (higher functional connectivity in the dorsal attention network) in the specified direction (in contrast to HC group).,ok,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""null"",
  ""corrected_feature_type"": ""null"",
  ""corrected_direction"": ""null"",
  ""rationale"": ""The sentence clearly supports the association between the phenotype (IGD group) and the feature (higher functional connectivity in the dorsal attention network) in the specified direction (in contrast to HC group).""
}",
HV023,s120,Llama 3.1 8B,minimal,no,2,keep,unclear,"The evidence directly supports the claim by specifying the brain regions (precuneus cortex, left postcentral gyrus, and right superior frontal gyrus) within the dorsal attention network (DAN) that show increased functional connectivity in the IGD group compared to the HC group, providing a clear and specific association between the phenotype and higher functional connectivity in the DAN.",ok,"{""support_score"": 2, ""decision"": ""KEEP"", ""rationale"": ""The evidence directly supports the claim by specifying the brain regions (precuneus cortex, left postcentral gyrus, and right superior frontal gyrus) within the dorsal attention network (DAN) that show increased functional connectivity in the IGD group compared to the HC group, providing a clear and specific association between the phenotype and higher functional connectivity in the DAN.""}",
HV024,s120,Mistral 7B,native_instr,no,0,drop,no,"The sentence does not support the claim because it does not mention a phenotype-feature association, but rather a group difference and a specific type of aggression.",ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": null,
  ""directness_supported"": null,
  ""overclaiming"": false,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not support the claim because it does not mention a phenotype-feature association, but rather a group difference and a specific type of aggression.""
}",
