pmid,title,response,mentions_pmid,has_anchored_sentence,unparseable_as_schema,error
24834038,Brain functional connectivity changes in children that differ in impulsivity temperamental trait.,"This 2014 study (PMID: 24834038) investigated the relationship between impulsivity and brain functional connectivity in typically developing children. The researchers used magnetic resonance imaging (MRI) to measure brain activity at rest and correlated the findings with impulsivity scores obtained from parents' questionnaires.

The study found that two regions within the default mode network (DMN), the posterior cingulate cortex and the right angular gyrus, showed a negative correlation with impulsivity scores. This suggests that higher impulsivity is associated with reduced functional connectivity in these regions.

Furthermore, the study found that the impulsivity trait modulated the relationships between the DMN and other brain networks, particularly the action-related network. In high-impulsive children, the typical anti-phasic relation between the DMN and action-related network was reduced, indicating altered brain connectivity patterns.

These findings provide evidence that impulsivity, as a personality trait, influences brain functional connectivity in typically developing children. The study highlights the importance of considering individual differences in impulsivity when examining brain function and behavior.",True,False,True,
34993375,Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants.,"This study (PMID: 34993375) investigated the association between brain networks and COVID-19 risk in a large cohort of 3662 participants from the UK Biobank Resource. The researchers used functional magnetic resonance imaging (fMRI) scans to compute whole-brain functional connectomes and identified six brain network fingerprints associated with COVID-19 positive status.

The findings suggest that individuals with reduced connectivity in top-down attention and executive networks, such as the central executive and ventral salience networks, are at increased risk of COVID-19 infections. Conversely, increased internal connectivity within introspective and instinctive networks, such as the default mode, ventral salience, subcortical, and sensorimotor networks, was also associated with higher infection rates.

These results have implications for understanding the neural mechanisms underlying impulsivity and risk-taking behaviors, which may contribute to increased COVID-19 risk. The identified brain networks could potentially be targeted for treatment of illnesses with impulse control deficits, such as attention-deficit/hyperactivity disorder (ADHD) or substance use disorders. However, further research is needed to confirm these findings and explore the causal relationships between brain networks and COVID-19 risk.",True,False,True,
28783574,Go/No-Go task performance predicts differences in compulsivity but not in impulsivity personality traits.,"A recent study (PMID: 28783574) investigated the relationship between performance on the Go/No-Go task, a measure of response inhibition, and personality traits related to impulsivity and compulsivity. The study found that individuals who performed poorly on the Go/No-Go task, as indicated by high false alarms, exhibited higher levels of compulsivity, as measured by the Maudsley Obsessional Compulsive Questionnaire (MOCI). Specifically, they displayed a high-risk strategy of responding and scored higher on the MOCI Total and MOCI Checking subscale. However, no significant relationship was found between Go/No-Go task performance and impulsivity, as measured by the Barratt Impulsiveness Scale (BIS-11). These findings suggest that the Go/No-Go task may be a useful tool for assessing compulsivity, but not impulsivity, and highlight the need for further research to clarify the distinction between these two related but distinct personality traits.",True,False,True,
29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,"This study (PMID: 29442271) investigated the relationship between functional connectivity within the basal ganglia network (BGN) and various factors in healthy older adults. The researchers used functional MRI to examine the associations between BGN connectivity and demographics, impulsive behavior, self-paced tasks, mood, and motor correlates in 486 participants.

The study found that age was the only consistent correlate of BGN connectivity, with older adults showing reduced connectivity. However, the researchers did not find a significant link between BGN connectivity and impulsive behavior, suggesting that impulsivity may not be directly related to changes in BGN connectivity in healthy aging.

This finding is interesting in the context of impulsivity research, as it suggests that the neural mechanisms underlying impulsivity may not be directly tied to the basal ganglia network. Further research is needed to fully understand the relationship between impulsivity and neural connectivity in healthy aging.",True,False,True,
12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.","A PubMed abstract (PMID: 12860356) from 2003 investigated the relationship between impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder (BPD). The study found that male BPD subjects had significantly diminished prolactin responses compared to controls, whereas female BPD subjects did not. 

Impulsivity and aggression were inversely related to prolactin responses in male BPD subjects, suggesting that these traits may be linked to diminished central serotonergic function. However, this relationship was not observed in female BPD subjects. The study's findings suggest that gender differences in central serotonergic function may contribute to variations in impulsivity in BPD.

This study provides evidence that impulsivity is associated with diminished central serotonergic function, and that this relationship may vary by gender. The findings have implications for understanding the neurobiological mechanisms underlying BPD and for developing targeted treatments for impulsivity in BPD patients.",True,False,True,
41098388,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,"This evidence summary focuses on the relationship between impulsivity and neuroimaging, specifically resting-state functional magnetic resonance imaging (rs-fMRI), in individuals with opioid use disorder.

Research has shown that individuals with opioid addiction exhibit significant disruptions in functional connectivity within key brain networks, including the default mode network (DMN) and salience network (SN), which are involved in cognitive functions such as decision-making and impulse control (PMID: 41098388). These findings suggest that altered brain connectivity may contribute to the development and maintenance of impulsive behaviors in individuals with opioid addiction.

The study used rs-fMRI to examine functional connectivity in 42 participants, including 23 healthy controls and 19 patients with opioid use disorder. The results indicate that individuals with opioid addiction exhibit reduced functional connectivity within the DMN and SN, which may be related to impaired impulse control and decision-making.

These findings have important implications for the development of personalized and effective intervention strategies for individuals with opioid addiction. Standardizing research practices, conducting longitudinal randomized studies, and developing a more holistic approach to understanding the effects of heroin addiction are essential for advancing our knowledge in this area.

Overall, the evidence suggests that impulsivity is closely linked to altered brain connectivity in individuals with opioid addiction, and that rs-fMRI may be a useful tool for",True,False,True,
34964209,Neural processes during response inhibition in complex posttraumatic stress disorder.,"This study (34964209) investigated the neural mechanisms underlying impulsivity in complex posttraumatic stress disorder (CPTSD) using functional magnetic resonance imaging (fMRI) and electroencephalogram (EEG). The results showed that individuals with CPTSD had reduced bilateral thalamic activation during response inhibition tasks compared to those with posttraumatic stress disorder (PTSD) and healthy controls. This suggests that impaired neural processes in the thalamus may contribute to impulsivity in CPTSD. Notably, the study found no differences in functional connectivity between the thalamus and other regions involved in cognitive control, and no differences in EEG responses between groups. These findings provide initial evidence that CPTSD is distinguished from PTSD by aberrant functioning in the neurocircuitry of inhibitory control, specifically involving the thalamus. This research highlights the importance of examining the neural mechanisms underlying impulsivity in CPTSD, which may have implications for the development of targeted interventions.",True,False,True,
32699511,Neurobiological mechanisms underlying internet gaming disorder .,"This review of neurobiological mechanisms underlying internet gaming disorder (IGD) highlights key similarities with other addictions, including activation in reward-related brain regions, reduced activity in impulse control areas, and impaired decision-making. 

Studies using neuroimaging have found that IGD is associated with altered dopamine-mediated reward mechanisms, reduced functional connectivity in cognitive control networks, and structural changes such as reduced gray-matter volume and white-matter density. 

Notably, excessive screen use, particularly in adolescents and young adults, activates various brain regions involved in cognitive, motor, and sensory functions, distinct from other forms of addiction. 

The review also suggests that individuals with attention deficit-hyperactivity disorder (ADHD) may be more susceptible to developing IGD due to impaired executive control networks. These findings provide valuable insights into the neurobiological underpinnings of IGD and its potential consequences on brain development and function.",False,False,True,
14572528,Response inhibition and impulsivity: an fMRI study.,"This 2003 fMRI study (PMID: 14572528) investigated the neural correlates of response inhibition in 19 normal subjects performing a Go/NoGo task. The study found that response inhibition was most prominent in the right lateral orbitofrontal cortex, with additional activation in the superior temporal gyrus, medial orbitofrontal cortex, cingulate gyrus, and inferior parietal lobule, predominantly on the right side.

The study also explored the relationship between impulsivity and neural response, finding that subjects with greater impulsivity scores and those who made more errors had greater activation of paralimbic areas during response inhibition. Conversely, less impulsive individuals and those with fewer errors activated higher-order association areas.

Interestingly, the study found that lower IQ was a stronger predictor of errors of commission during the task than impulsivity scores. The study suggests that neuroimaging of brain activity during response inhibition tasks may be useful in understanding the functional neuroanatomy and associated neurochemistry of response inhibition, and may also allow for the study of the effects of interventions on response inhibition in clinical conditions such as antisocial personality disorder.

Overall, this study provides evidence that impulsivity is associated with altered neural activity in response inhibition tasks, and highlights the importance of considering both impulsivity and",True,False,True,
10570690,What is attention-deficit/hyperactivity disorder?,"This evidence summary focuses on the relationship between impulsivity and neuroimaging in the context of Attention-Deficit/Hyperactivity Disorder (ADHD).

Research suggests that individuals with ADHD experience difficulties in organizing, preparing, and inhibiting responses, which are thought to be linked to abnormalities in the circuitry involving frontal cortical-basal ganglia connections (PMID: 10570690). This implies that impulsivity in ADHD may be associated with structural or functional differences in brain regions responsible for executive function and response inhibition.

The study highlights the potential heritability of ADHD symptoms, which may be related to underlying neurobiological differences. However, the specificity of these findings requires further research to fully understand the etiology of ADHD and the neural mechanisms underlying impulsivity.

Overall, this evidence suggests that impulsivity in ADHD is linked to abnormalities in brain circuitry, particularly in the frontal cortical-basal ganglia connections, and that further research is needed to elucidate the neural mechanisms underlying this condition.",True,False,True,
39424632,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.,"This study (PMID: 39424632) investigated the use of deep learning and dynamic resting-state functional magnetic resonance imaging (rs-fMRI) analysis to classify Attention Deficit Hyperactivity Disorder (ADHD) from typically developing children (TDC). The researchers developed a novel deep learning-based network, Skip-Vote-Net, which leveraged dynamic connectivity analysis on rs-fMRI data to classify ADHD subtypes and distinguish them from TDC.

The study found that Skip-Vote-Net achieved high classification accuracies, particularly in distinguishing between ADHD subtypes (ADHDI and ADHDC) and between ADHD and TDC. The results suggest that dynamic changes in functional connectivity patterns, as measured by rs-fMRI, may be a useful biomarker for ADHD classification.

Notably, the study highlights the potential of Skip-Vote-Net as an effective diagnostic tool for identifying ADHD subtypes and distinguishing ADHD from TDC. The high classification accuracies achieved in this study suggest that neuroimaging-based approaches, such as rs-fMRI analysis, may be useful in the diagnosis and classification of ADHD.

The study's findings also suggest that impulsivity, a core symptom of ADHD, may be related to dynamic changes in functional connectivity patterns. However, the study did not specifically investigate the relationship between",True,False,True,
31073695,Binge drinking is associated with altered resting state functional connectivity of reward-salience and top down control networks.,"This study (PMID: 31073695) investigated the relationship between binge drinking and resting state functional connectivity (RSFC) in young adult drinkers. The results suggest that binge drinkers exhibit altered RSFC patterns in reward-salience and top-down control networks compared to light drinkers.

In particular, binge drinkers showed enhanced connectivity between reward areas (nucleus accumbens and caudate nucleus) and regions involved in salience (orbitofrontal cortex and anterior cingulate cortex), which may contribute to alcohol-motivated behaviors. Conversely, binge drinkers demonstrated lower connectivity between the prefrontal cortex (inferior frontal cortex) and the hippocampus, which was associated with higher craving and impaired ability to suppress unwanted thoughts.

These findings are consistent with previous studies on alcohol use disorders and suggest that dysregulation of neurofunctional networks may underlie binge drinking patterns. The observed associations between RSFC patterns and hazardous drinking levels indicate that neuroimaging may be a useful tool for identifying individuals at risk of developing problematic drinking behaviors.

Overall, this study provides evidence that impulsivity, as measured by binge drinking, is associated with altered RSFC patterns in reward-salience and top-down control networks, which may contribute to the development and maintenance of excessive drinking behaviors.",True,False,True,
27743376,Cortical folding patterns are associated with impulsivity in healthy young adults.,"A recent study (PMID: 27743376) investigated the relationship between cortical folding patterns and impulsivity in healthy young adults. The researchers used magnetic resonance imaging (MRI) to calculate a local gyrification index (LGI) and correlated it with impulsivity scores from the Barratt Impulsiveness Scale (BIS-11). 

The study found that impulsivity, particularly attention and non-planning impulsivity, was positively correlated with cortical folding in several brain regions, including the left postcentral gyrus, cingulate gyrus, and precentral gyrus. Motor impulsivity was also positively correlated with cortical folding in the left superior temporal, lingual, and supramarginal gyrus. 

Interestingly, the study found gender-specific differences in the correlation between impulsivity and cortical folding, particularly in the middle and inferior frontal gyrus. These findings suggest that cortical folding patterns may be a useful marker of early brain development and may be associated with impulsivity in healthy young adults. 

Overall, this study provides evidence that impulsivity is linked to specific brain regions and that cortical folding patterns may be a useful indicator of impulsivity in young adulthood.",True,False,True,
35277392,Prefrontal Cortical Connectivity Mediates Locus Coeruleus Noradrenergic Regulation of Inhibitory Control in Older Adults.,"This study (35277392) investigated the relationship between impulsivity and neuroimaging markers in older adults. The researchers used magnetic resonance imaging (MRI) to examine the integrity of the locus coeruleus noradrenergic system, which is responsible for regulating inhibitory control. They found that better response inhibition was correlated with higher integrity of the locus coeruleus and stronger connectivity between the presupplementary motor area (preSMA) and right inferior frontal gyrus (rIFG). 

The study's key findings suggest that the locus coeruleus noradrenergic system plays a significant role in regulating inhibitory control, and that this effect is mediated by prefrontal cortical connectivity. The researchers also found that age moderated the relationship between locus coeruleus integrity and inhibitory control, indicating that the effect of the locus coeruleus on behavior changes with age.

These results provide evidence that impulsivity is associated with neuroimaging markers of the locus coeruleus noradrenergic system and prefrontal cortical connectivity. The study's findings have implications for the development of treatment strategies for impulsivity, suggesting that noradrenergic treatment may be effective in improving behavioral control in impulsive populations, but that age and locus coeruleus integrity may be important factors to",True,False,True,
39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,"This study investigated the neural mechanisms underlying cognitive control impairments in adolescents with Internet Gaming Disorder (IGD) using resting-state brain networks and functional magnetic resonance imaging (fMRI). The results showed that impulsivity in adolescent IGD subjects was positively correlated with the severity of IGD and linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN. 

Furthermore, the study found that decreased resting-state activity of the dorsal attention network (DAN) was associated with attentional dysregulation in IGD adolescents, while increased functional connectivity between the ECN and DAN was positively correlated with the degree of IGD. These findings suggest that changes in the ECN and DAN are related to heightened impulsivity and attentional deficits in adolescents with IGD. 

Overall, this study provides evidence that impulsivity and cognitive control impairments in adolescents with IGD are associated with alterations in resting-state brain networks, particularly in the ECN and DAN. This research contributes to our understanding of the neurobiological mechanisms underlying IGD and has implications for the development of targeted interventions to address cognitive control disorders in adolescents with IGD.",False,False,True,
39339712,Investigating the Impact of Nutrition and Oxidative Stress on Attention Deficit Hyperactivity Disorder.,"The relationship between impulsivity and neuroimaging is not directly explored in the provided abstract (PMID: 39339712). However, the study does investigate the role of oxidative stress in Attention Deficit Hyperactivity Disorder (ADHD), which is characterized by impulsivity among other symptoms.

The abstract suggests that oxidative stress plays a critical role in the development and manifestation of ADHD symptoms, including impulsivity. Studies have shown that individuals with ADHD exhibit reduced levels of key antioxidant enzymes, such as glutathione peroxidase (GPx), catalase (CAT), and superoxide dismutase (SOD), as well as a diminished total antioxidant status (TAS) compared to healthy controls.

While the study does not directly examine the neural mechanisms underlying impulsivity in ADHD, it highlights the importance of oxidative stress and the gut-brain axis in the pathogenesis of the disorder. The gut-brain axis refers to the bidirectional communication network between the central nervous system and the enteric nervous system, which is influenced by the gut microbiota.

Future studies that investigate the neural mechanisms underlying impulsivity in ADHD, including the use of neuroimaging techniques, may benefit from considering the role of oxidative stress and the gut-brain axis in the disorder. This could involve examining the relationship between oxidative stress",True,False,True,
27896939,"A multimodal study of impulsivity and body weight: Integrating behavioral, cognitive, and neuroimaging approaches.","A recent study (PMID: 27896939) investigated the relationship between impulsivity and body weight using a multimodal approach, incorporating behavioral, cognitive, and neuroimaging techniques. The study found positive correlations between body mass index (BMI) and both trait and state impulsivity, suggesting that individuals with higher BMI tend to exhibit more impulsive behaviors.

Neuroimaging results revealed that individuals with higher BMI showed reduced activation in the temporal lobe and insula during successful response inhibition, indicating impaired inhibitory control. Additionally, increased functional connectivity between the right inferior frontal gyrus and right middle frontal gyrus was observed in individuals with higher BMI, suggesting altered neural networks involved in impulse control.

Mediation analysis revealed that trait impulsivity, as measured by the impulsive sensation-seeking scale (ImpSS), mediated the relationship between BMI and neural response in the right inferior frontal gyrus. This suggests that trait impulsivity may play a key role in the neural mechanisms underlying the relationship between impulsivity and body weight.

Overall, this study provides evidence for the complex interplay between impulsivity, brain function, and body weight, highlighting the need to address inhibitory control mechanisms in weight management programs.",True,False,True,
