record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label
12,23555827,Altered default network resting-state functional connectivity in adolescents with Internet gaming addiction.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),Internet gaming addiction,associated_with,higher,,direct,0.8,"Compared with the control group, subjects with IGA exhibited increased functional connectivity in the bilateral cerebellum posterior lobe and middle temporal gyrus.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,impulsivity (general),functional connectivity,higher,"The sentence does not name the phenotype directly, but the phenotype 'impulsivity (general)' is supported by the context of Internet gaming addiction. The feature type and direction are also supported, but the directness is not fully supported because the sentence does not name both phenotype and feature.",,Llama 3.1 8B
15,26040546,Model-free functional connectivity and impulsivity correlates of alcohol dependence: a resting-state study.,2017,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol dependence,correlates_with,higher,unknown,direct,0.8,"AD exhibited increased within-network FC in salience (SN), default mode (DMN), orbitofrontal cortex (OFCN), left executive control (LECN) and amygdala-striatum (ASN) networks.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence directly supports the claim by stating that AD exhibited increased within-network FC, which is a higher level of functional connectivity. The phenotype of impulsivity (general) is supported as it is related to the brain regions mentioned in the sentence. The relationship of correlates_with is supported as the sentence states that there is a correlation between AD and increased within-network FC. The direction of higher is supported as the sentence states that there is an increase in within-network FC. The directness of direct is supported as the sentence names both the phenotype and feature.",,Llama 3.1 8B
16,33519558,Impulsivity and Response Inhibition Related Brain Networks in Adolescents With Internet Gaming Disorder: A Preliminary Study Utilizing Resting-State fMRI.,2020,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Internet Gaming Disorder,associated_with,higher,pre-frontal-striatal circuits,direct,0.8,"We found significant differences in impulsivity between the IGD group and RGU group, with members of the IGD group exhibiting higher impulsivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,no,yes,yes,yes,no,impulsivity (general),behavioral trait,higher,"The sentence directly supports the relationship between impulsivity and the IGD group, but it does not directly support the feature type (functional connectivity) or the brain system. The phenotype and direction are correctly supported.",,Llama 3.1 8B
17,31264888,Striatal functional connectivity in chronic ketamine users: a pilot study.,2020,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),chronic ketamine users,associated_with,higher,altered striatal connectivity,direct,0.8,"Compared to controls, ketamine users showed higher connectivity between caudate and dorsal anterior cingulate cortex and between pallidum and bilateral cerebellum.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,impulsivity (general),functional connectivity,higher,"The sentence partially supports the claim because it mentions a specific brain region (caudate and dorsal anterior cingulate cortex, and pallidum and bilateral cerebellum) which is not mentioned in the extracted claim. The directness_supported field is set to false because the sentence does not name both phenotype and feature.",,Llama 3.1 8B
18,33528803,Impulsivity in heroin-dependent individuals: structural and functional abnormalities within frontostriatal circuits.,2021,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,structural connectivity,impulsivity (general),heroin dependence,associated_with,higher,,direct,0.8,Higher motor impulsivity was observed in HDI.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral,higher,"The sentence directly states a higher level of impulsivity in heroin-dependent individuals, which matches the extracted claim.",,Llama 3.1 8B
19,32651411,Increased large-scale inter-network connectivity in relation to impulsivity in Parkinson's disease.,2020,Scientific reports,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,higher,increased connectivity,direct,0.9,FC between the right frontoparietal network (FPN) and medial visual network (MVN) was significantly higher in PD-HI patients than PD-LI patients (false discovery rate [FDR]-adjusted p = 0.0315).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence directly supports the claim by stating a higher functional connectivity between two brain networks in PD-HI patients compared to PD-LI patients, which is associated with impulsivity in Parkinson's disease.",,Llama 3.1 8B
20,35385563,A single-arm open-label pilot study of brief mindfulness meditation to control impulsivity in Parkinson's disease.,2022,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,lower,mindfulness meditation,direct,0.8,"After the intervention, the BIS-11 score was decreased from 59.5 [55.6, 63.3] (mean [95% confidence interval]) to 55.2 [50.3, 60.1] (ΔBIS-11: -4.2, [-7.5, -0.9]).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,"The sentence directly supports the association between impulsivity (general) and a functional connectivity feature, as indicated by the decrease in BIS-11 score after the intervention.",,Llama 3.1 8B
21,34012386,Association of Disinhibited Eating and Trait of Impulsivity With Insula and Amygdala Responses to Palatable Liquid Consumption.,2021,Frontiers in systems neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"The resting-state fMRI experiment showed that increased disinhibited eating was positively correlated with strengthened intrinsic functional connectivity between the insula and the amygdala, adjusting for sex (estimates of the beta coefficients = 0.146, standard error = 0.068, p = 0.040).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and functional connectivity between the insula and amygdala.",,Llama 3.1 8B
22,38914808,Association between sleep problems and impulsivity mediated through regional homogeneity abnormalities in male methamphetamine abstainers.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),methamphetamine abstainers,correlates_with,unclear,mediated,indirect,0.8,Results unveiled correlations between different dimensions of impulsivity and ReHo values in specific brain regions.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),BOLD variability,unclear,"The sentence partially supports the claim but needs revision or is indirect. The phenotype and feature are supported, but the direction is unclear and the directness is indirect. The corrected phenotype, feature type, and direction are provided.",,Llama 3.1 8B
23,37086305,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),borderline personality disorder,correlates_with,lower,,indirect,0.8,"Reduced functional connectivity was found in BPD between amygdala and frontal pole, precuneus and temporal pole. This functional connectivity alterations correlated with Anger Rumination Scale (p = .009; r = - 0.491) and Barratt Impulsiveness Scale (p = 0.020; r = - 0.447).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),cognitive/behavioral,lower,"The sentence partially supports the claim as it mentions a correlation between brain connectivity alterations and impulsivity, but it does not directly support the feature type. The corrected phenotype, feature type, and direction are based on the extracted claim.",,Llama 3.1 8B
25,26364127,Neurobiological underpinnings of sensation seeking trait in heroin abusers.,2015,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,reward system,structural connectivity,impulsivity (general),heroin abusers,associated_with,lower,dysregulation in brain circuits,direct,0.8,The key finding is a negative relationship between high sensation seeking tendency and midbrain structural volume in the heroin users.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural volume,lower,"The sentence directly states a relationship between sensation seeking tendency and midbrain structural volume, which is a specific aspect of structural connectivity. The direction of the relationship is also clearly stated as negative, implying lower structural volume.",,Llama 3.1 8B
26,33158664,Delta resting-state functional connectivity in the cognitive control network as a prognostic factor for maintaining abstinence: An eLORETA preliminary study.,2021,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol dependence,predicts,higher,increased delta resting-state functional connectivity,direct,0.8,Regression analysis showed that the increased left frontoparietal delta connectivity in the early period of abstinence significantly predicted maintaining abstinence over the ensuing 12 months.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,,,Llama 3.1 8B
27,28185093,Altered spontaneous brain activity in adolescent boys with pure conduct disorder revealed by regional homogeneity analysis.,2017,European child & adolescent psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),conduct disorder,associated_with,higher,abnormal intrinsic brain activity,direct,0.8,BIS scores in adolescents with CD may reflect severity of abnormal neuronal synchronization in the insula.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),neuronal synchronization,higher,"The sentence does not directly mention the feature type 'BOLD variability', but it does mention a related concept. The direction is also not explicitly stated as 'higher', but it can be inferred from the context.",,Llama 3.1 8B
28,25944613,Nature of functional links in valuation networks differentiates impulsive behaviors between abstinent heroin-dependent subjects and nondrug-using subjects.,2015,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),heroin-dependent subjects,associated_with,higher,mutual reinforcement,indirect,0.8,"However, in abstinent heroin-dependent subjects, the link is imbalanced, with stronger β-network connectivity and weaker δ-network connectivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,higher,"The sentence partially supports the claim but needs revision or is indirect. The phenotype and feature are supported, but the direction is not explicitly stated as 'higher' in the sentence. The directness is also not explicitly stated as 'indirect' in the sentence, but it can be inferred.",,Llama 3.1 8B
30,24971323,A functional polymorphism of the MAOA gene modulates spontaneous brain activity in pons.,2014,BioMed research international,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),healthy male adolescents,correlates_with,lower,lower spontaneous brain activity in the pons,direct,0.8,"Compared with the MAOA-H group, the MAOA-L group showed significantly lower ALFFs in the pons.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,lower,"The sentence directly supports the claim by stating a correlation between the MAOA gene polymorphism and lower BOLD variability in the pons, which is associated with impulsivity.",,Llama 3.1 8B
31,26830141,Midbrain functional connectivity and ventral striatal dopamine D2-type receptors: link to impulsivity in methamphetamine users.,2016,Molecular psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),methamphetamine dependence,correlates_with,lower,ventral striatal D2-type receptor signaling,direct,0.8,"Methamphetamine-dependent users exhibited a positive relationship of midbrain RSFC to the left ventral striatum with cognitive impulsivity, whereas a negative relationship was observed in healthy controls.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (cognitive),functional connectivity,lower,"The sentence partially supports the claim, but the phenotype and direction need revision. The sentence mentions 'cognitive impulsivity' which is a more specific type of impulsivity. The direction is mixed in the sentence, but the extracted direction is 'lower' which captures the relevant part exactly.",,Llama 3.1 8B
32,24200212,Striatal-insula circuits in cocaine addiction: implications for impulsivity and relapse risk.,2013,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine addiction,associated_with,higher,dysregulated striatal functioning and executive control deficits,indirect,0.8,"Impulsivity (BIS-11a) was higher in cocaine-addicted participants, an effect that was partially mediated by reduced putamen-posterior insula connectivity in this group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a higher level of impulsivity in cocaine-addicted participants and a specific association with reduced putamen-posterior insula connectivity.",,Llama 3.1 8B
33,32093319,"Random Forest Classification of Alcohol Use Disorder Using fMRI Functional Connectivity, Neuropsychological Functioning, and Impulsivity Measures.",2020,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),alcohol use disorder,associated_with,higher,,direct,0.8,Individuals with AUD also showed poorer memory performance and increased impulsivity compared to CTL individuals.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),neuropsychological functioning,higher,"The sentence mentions impulsivity, but it is associated with neuropsychological functioning (poorer memory performance), not functional connectivity. The directness_supported field is false because the sentence does not name both phenotype and feature.",,Llama 3.1 8B
34,27688124,Association between abnormal default mode network activity and suicidality in depressed adolescents.,2016,BMC psychiatry,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),depressed adolescents,associated_with,higher,,direct,0.8,"Compared with the healthy controls, all of the evaluated depressed patients showed increased functional connectivity in select DMN regions.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,higher,"The sentence does not directly support the direction of 'higher' impulsivity, but rather increased functional connectivity in the DMN. The directness of the claim is also not fully supported as the sentence does not mention the feature of impulsivity.",,Llama 3.1 8B
35,28602816,Neurobiological correlates of impulsivity in healthy adults: Lower prefrontal gray matter volume and spontaneous eye-blink rate but greater resting-state functional connectivity in basal ganglia-thalamo-cortical circuitry.,2017,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),healthy adults,associated_with,higher,neurobiological,indirect,0.8,"Overall, we found that less gray matter in medial orbitofrontal cortex and paracingulate gyrus, greater resting-state functional connectivity between nodes of the basal ganglia-thalamo-cortical network, and lower spontaneous eye-blink rate were associated with greater impulsivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,greater,,,Llama 3.1 8B
36,20851718,Identification of hyperactive intrinsic amygdala network connectivity associated with impulsivity in abstinent heroin addicts.,2011,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin addicts,associated_with,higher,altered iAFC network connectivity,direct,0.9,"In the HD group, higher impulsivity scores and significantly enhanced iAFC network activity were found, especially in bilateral thalamus, right insula, and inferior frontal gyrus.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,impulsivity (general),functional connectivity,higher,"The sentence partially supports the claim, but the directness is not fully supported because it does not name both phenotype and feature. The corrected fields are phenotype, feature type, and direction.",,Llama 3.1 8B
38,29988765,Abnormal degree centrality in chronic users of codeine-containing cough syrups: A resting-state functional magnetic resonance imaging study.,2018,NeuroImage. Clinical,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),CCS-dependence,correlates_with,unclear,abnormal intrinsic dysconnectivity pattern of whole-brain functional networks,indirect,0.8,Significant correlations were established between average DC value in the left inferior parietal lobule and attentional impulsivity scores and the age at first CCS use.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,positive,"The sentence partially supports the claim, but the direction is not explicitly stated as 'unclear' in the sentence. The sentence also does not name the brain system, so directness cannot be fully supported.",,Llama 3.1 8B
39,41207270,Sex-specific alterations in brain network topology in methamphetamine use disorder: A graph theory-based fMRI study.,2025,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),methamphetamine use disorder,associated_with,higher,,indirect,0.8,Female patients with MUD demonstrated higher global network measures and showed more extensive nodal metric differences compared to males.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,higher,"The sentence clearly supports the extracted claim, mentioning a higher level of global network measures and nodal metric differences in female patients with MUD compared to males, which aligns with the claim's phenotype, feature, relationship, and direction.",,Llama 3.1 8B
40,24223847,Reduced regional homogeneity in bilateral frontostriatal system relates to higher impulsivity behavior in codeine-containing cough syrups dependent individuals.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),codeine-containing cough syrups dependent individuals,correlates_with,higher,,direct,0.8,"There were negative correlations between mean ReHo in the bilateral medial OFC, left dorsal striatum and duration of CCS use, BIS.11 total scores, and the subscale of attentional impulsivity in CCS-dependent individuals.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence clearly supports the extracted claim by mentioning a correlation between BOLD variability (ReHo) in specific brain regions and impulsivity behavior in CCS-dependent individuals. The direction of the correlation is also clearly stated as negative, which corresponds to higher impulsivity behavior. The sentence directly names both the phenotype (impulsivity) and the feature (BOLD variability), and the relationship is clearly stated as a correlation. The brain system is not explicitly mentioned, but it can be inferred from the brain regions mentioned (medial OFC and dorsal striatum).",,Llama 3.1 8B
41,26908392,Association of ventral striatum monoamine oxidase-A binding and functional connectivity in antisocial personality disorder with high impulsivity: A positron emission tomography and functional magnetic resonance imaging study.,2016,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),antisocial personality disorder,associated_with,unclear,unknown,indirect,0.5,"Results revealed functional coupling of the VSs with bilateral dorsomedial prefrontal cortex (DMPFC) that was correlated with VS MAO-A VT (r=0.47, p=0.04), and functional coupling of the VSi with right hippocampus that was anti-correlated with VS MAO-A VT (r=-0.55, p=0.01).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,positive,"The sentence partially supports the claim, but the direction is unclear and should be revised to 'positive' based on the correlation (r=0.47) and anti-correlation (r=-0.55). The directness is also indirect, as it does not name both phenotype and feature.",,Llama 3.1 8B
42,25008351,Altered intrinsic hippocmapus declarative memory network and its association with impulsivity in abstinent heroin dependent subjects.,2014,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),drug addiction,associated_with,unclear,declarative memory underlying impulsive behavior,indirect,0.8,"Our results demonstrated that HD group showed enhanced coherence between hippocampus which represents declarative memory system and non-declarative reward-guided learning memory system, and also showed attenuated intrinsic functional link between hippocampus and top-down control system, compared to the CN group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,unclear,"The sentence partially supports the claim, but the direction and directness need to be revised to match the extracted claim.",,Llama 3.1 8B
