record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label
19,32651411,Increased large-scale inter-network connectivity in relation to impulsivity in Parkinson's disease.,2020,Scientific reports,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,higher,increased connectivity,direct,0.9,FC between the right frontoparietal network (FPN) and medial visual network (MVN) was significantly higher in PD-HI patients than PD-LI patients (false discovery rate [FDR]-adjusted p = 0.0315).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence directly supports the claim by stating a higher functional connectivity between two brain networks in PD-HI patients compared to PD-LI patients, which is associated with impulsivity in Parkinson's disease.",,Llama 3.1 8B
20,35385563,A single-arm open-label pilot study of brief mindfulness meditation to control impulsivity in Parkinson's disease.,2022,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,lower,mindfulness meditation,direct,0.8,"After the intervention, the BIS-11 score was decreased from 59.5 [55.6, 63.3] (mean [95% confidence interval]) to 55.2 [50.3, 60.1] (ΔBIS-11: -4.2, [-7.5, -0.9]).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,"The sentence directly supports the association between impulsivity (general) and a functional connectivity feature, as indicated by the decrease in BIS-11 score after the intervention.",,Llama 3.1 8B
21,34012386,Association of Disinhibited Eating and Trait of Impulsivity With Insula and Amygdala Responses to Palatable Liquid Consumption.,2021,Frontiers in systems neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"The resting-state fMRI experiment showed that increased disinhibited eating was positively correlated with strengthened intrinsic functional connectivity between the insula and the amygdala, adjusting for sex (estimates of the beta coefficients = 0.146, standard error = 0.068, p = 0.040).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and functional connectivity between the insula and amygdala.",,Llama 3.1 8B
25,26364127,Neurobiological underpinnings of sensation seeking trait in heroin abusers.,2015,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,reward system,structural connectivity,impulsivity (general),heroin abusers,associated_with,lower,dysregulation in brain circuits,direct,0.8,The key finding is a negative relationship between high sensation seeking tendency and midbrain structural volume in the heroin users.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural volume,lower,"The sentence directly states a relationship between sensation seeking tendency and midbrain structural volume, which is a specific aspect of structural connectivity. The direction of the relationship is also clearly stated as negative, implying lower structural volume.",,Llama 3.1 8B
26,33158664,Delta resting-state functional connectivity in the cognitive control network as a prognostic factor for maintaining abstinence: An eLORETA preliminary study.,2021,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol dependence,predicts,higher,increased delta resting-state functional connectivity,direct,0.8,Regression analysis showed that the increased left frontoparietal delta connectivity in the early period of abstinence significantly predicted maintaining abstinence over the ensuing 12 months.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,,,Llama 3.1 8B
30,24971323,A functional polymorphism of the MAOA gene modulates spontaneous brain activity in pons.,2014,BioMed research international,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),healthy male adolescents,correlates_with,lower,lower spontaneous brain activity in the pons,direct,0.8,"Compared with the MAOA-H group, the MAOA-L group showed significantly lower ALFFs in the pons.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,lower,"The sentence directly supports the claim by stating a correlation between the MAOA gene polymorphism and lower BOLD variability in the pons, which is associated with impulsivity.",,Llama 3.1 8B
32,24200212,Striatal-insula circuits in cocaine addiction: implications for impulsivity and relapse risk.,2013,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine addiction,associated_with,higher,dysregulated striatal functioning and executive control deficits,indirect,0.8,"Impulsivity (BIS-11a) was higher in cocaine-addicted participants, an effect that was partially mediated by reduced putamen-posterior insula connectivity in this group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a higher level of impulsivity in cocaine-addicted participants and a specific association with reduced putamen-posterior insula connectivity.",,Llama 3.1 8B
35,28602816,Neurobiological correlates of impulsivity in healthy adults: Lower prefrontal gray matter volume and spontaneous eye-blink rate but greater resting-state functional connectivity in basal ganglia-thalamo-cortical circuitry.,2017,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),healthy adults,associated_with,higher,neurobiological,indirect,0.8,"Overall, we found that less gray matter in medial orbitofrontal cortex and paracingulate gyrus, greater resting-state functional connectivity between nodes of the basal ganglia-thalamo-cortical network, and lower spontaneous eye-blink rate were associated with greater impulsivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,greater,,,Llama 3.1 8B
39,41207270,Sex-specific alterations in brain network topology in methamphetamine use disorder: A graph theory-based fMRI study.,2025,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),methamphetamine use disorder,associated_with,higher,,indirect,0.8,Female patients with MUD demonstrated higher global network measures and showed more extensive nodal metric differences compared to males.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,higher,"The sentence clearly supports the extracted claim, mentioning a higher level of global network measures and nodal metric differences in female patients with MUD compared to males, which aligns with the claim's phenotype, feature, relationship, and direction.",,Llama 3.1 8B
40,24223847,Reduced regional homogeneity in bilateral frontostriatal system relates to higher impulsivity behavior in codeine-containing cough syrups dependent individuals.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),codeine-containing cough syrups dependent individuals,correlates_with,higher,,direct,0.8,"There were negative correlations between mean ReHo in the bilateral medial OFC, left dorsal striatum and duration of CCS use, BIS.11 total scores, and the subscale of attentional impulsivity in CCS-dependent individuals.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence clearly supports the extracted claim by mentioning a correlation between BOLD variability (ReHo) in specific brain regions and impulsivity behavior in CCS-dependent individuals. The direction of the correlation is also clearly stated as negative, which corresponds to higher impulsivity behavior. The sentence directly names both the phenotype (impulsivity) and the feature (BOLD variability), and the relationship is clearly stated as a correlation. The brain system is not explicitly mentioned, but it can be inferred from the brain regions mentioned (medial OFC and dorsal striatum).",,Llama 3.1 8B
43,25496980,Abnormal regional homogeneity in young adult suicide attempters with no diagnosable psychiatric disorder: a resting state functional magnetic imaging study.,2015,Psychiatry research,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),suicide attempters,associated_with,higher,altered local functional connectivity,indirect,0.8,The SA group had significantly higher total Barratt Impulsiveness Scale scores compared with the HC group.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),Barratt Impulsiveness Scale scores,higher,"The sentence directly supports the claim by mentioning a higher score on the Barratt Impulsiveness Scale, which is a measure of impulsivity.",,Llama 3.1 8B
45,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),healthy individuals,correlates_with,unclear,white matter microstructural integrity,indirect,0.8,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,inverse,"The sentence clearly supports the extracted claim, mentioning a correlation between white matter microstructure and impulsivity, which is a specific aspect of the general phenotype. The feature type is also supported as structural connectivity. The relationship is supported as correlation, and the direction is supported as inverse for motor impulsiveness and positive for nonplanning impulsiveness, which aligns with the unclear direction in the extracted claim. The directness is supported as indirect, as the sentence mentions a correlation between a brain feature and a phenotype. The brain system is not mentioned in the sentence, so it cannot be corrected.",,Llama 3.1 8B
46,37137256,Transdiagnostic brain correlates of self-reported trait impulsivity: A dimensional structure-symptom investigation.,2023,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),"healthy controls, psychiatric patients",associated_with,unclear,,background,0.8,"Volume of the left opercular part of the inferior frontal gyrus (IFG) was negatively related to global impulsivity across the entire sample and specifically to motor impulsivity in the subsample of HCs, OUD and BPD patients.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),motor impulsivity,negative,"The sentence clearly supports the extracted claim, mentioning a specific brain region and its relationship to impulsivity. The direction of the relationship is also clearly stated as negative.",,Llama 3.1 8B
48,37556131,Alcohol Cue Processing in Co-Occurring Bipolar Disorder and Alcohol Use Disorder.,2023,JAMA psychiatry,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),Bipolar Disorder and Alcohol Use Disorder,associated_with,unclear,reward dysfunction,indirect,0.5,These hypoactivations were associated with increased impulsivity and obsessive-compulsive alcohol craving exclusively among individuals with BD + AUD.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),craving (alcohol),increased,"The sentence clearly supports the extracted claim, mentioning a specific phenotype (impulsivity), feature (alcohol craving), and relationship (associated with). The direction is also supported as 'increased'. The directness is supported as 'indirect' since the sentence does not name both phenotype and feature. The diagnostic context matches the extracted claim.",,Llama 3.1 8B
51,37080490,Brain structural abnormalities and trait impulsivity in suicidal and non-suicidal patients with bipolar disorder.,2023,Journal of affective disorders,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),bipolar disorder,associated_with,higher,,indirect,0.8,"BD patients with SA history scored higher in BIS total score and subscores in attention, motor, cognitive complexity and cognitive instability than those without SA history and controls (all p < 0.01).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral,higher,The sentence clearly supports the extracted claim by stating that BD patients with SA history scored higher in impulsivity-related measures than those without SA history and controls.,,Llama 3.1 8B
52,15309395,Negative correlation between right prefrontal activity during response inhibition and impulsiveness: a fMRI study.,2004,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.8,A negative correlation was observed between the motor impulsiveness of BIS-11 and No-Go-related activation in the right dorsolateral prefrontal cortex (RDLPFC).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly supports the claim by stating a negative correlation between impulsiveness and activation in the right dorsolateral prefrontal cortex, which is a specific brain region.",,Llama 3.1 8B
53,33360853,Novel circuit biomarker of impulsivity and craving in male heroin-dependent individuals.,2021,Drug and alcohol dependence,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),heroin-dependent individuals,associated_with,lower,,direct,0.9,"HDIs showed significantly weaker tract strength of the left striatum-medial orbitofrontal cortex (mOFC) and significantly higher BIS total, attention, motor, and non-planning scores than controls.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly supports the association between impulsivity and weaker tract strength of the left striatum-medial orbitofrontal cortex, and higher BIS scores, which are indicators of impulsivity.",,Llama 3.1 8B
56,35247193,Cerebellar Grey Matter Volumes in Reactive Aggression and Impulsivity in Healthy Volunteers.,2023,"Cerebellum (London, England)",Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),healthy volunteers,associated_with,higher,correlation,direct,0.8,Results showed that impulsivity was positively associated with grey matter volumes of the cerebellar vermis and inversely correlated with grey matter volumes of the right posterior lobule.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and grey matter volumes in the cerebellum, with a specific direction (higher) and feature type (structural connectivity).",,Llama 3.1 8B
58,21827861,Cortical thickness correlates with impulsiveness in healthy adults.,2012,NeuroImage,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,correlates_with,lower,,direct,0.8,"We observed a significant negative correlation between left middle frontal gyrus (MFG) CT and the attention BIS score (FDR p<.05), motor, nonplanning and total BIS score (each p<0.001 uncorrected).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,The sentence directly supports the claim by mentioning a correlation between cortical thickness and impulsiveness in healthy adults.,,Llama 3.1 8B
59,29751017,Differential contributions of cortical thickness and surface area to trait impulsivity in healthy young adults.,2018,Behavioural brain research,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,associated_with,lower,,direct,0.8,"Higher BIS-11 total scores were negatively associated with cortical thickness variations in the left lingual gyrus, left superior temporal gyrus, right cuneus, and right superior parietal gyrus (p < 0.05 cluster-wise probability [CWP] corrected).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),cortical thickness variations,lower,"The sentence clearly supports the extracted claim, mentioning a specific association between impulsivity (general) and cortical thickness variations in several brain regions.",,Llama 3.1 8B
61,31427669,The Effect of Mindfulness Meditation on Impulsivity and its Neurobiological Correlates in Healthy Adults.,2019,Scientific reports,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,unknown,unclear,,unclear,0.5,"However, LTMs self-reported lower attentional impulsivity, but higher motor and non-planning impulsivity on the BIS-11 than MNPs.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),impulsivity (specific),positive,"The sentence clearly supports the claim by stating a specific phenotype (impulsivity), a specific feature (attentional, motor, and non-planning impulsivity), a relationship (association), a direction (lower, higher), and directness (self-reported).",,Llama 3.1 8B
62,34463411,"Cocaine cue-induced mesocorticolimbic activation in cocaine users: Effects of personality traits, lifetime drug use, and acute stimulant ingestion.",2022,Addiction biology,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),unknown,correlates_with,higher,,indirect,0.8,"Among the cocaine users, larger drug cue-induced responses during the placebo session were correlated with higher Barratt Impulsiveness Scale (BIS-11) nonplanning scores (associative striatum) and greater lifetime use of stimulant drugs (limbic, associative, and sensorimotor striatum).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a correlation between drug cue-induced responses and higher impulsivity scores, as well as a correlation between drug cue-induced responses and greater lifetime use of stimulant drugs. The direction of the relationship is also clearly stated as 'higher'. The directness of the relationship is stated as 'indirect', which matches the extracted claim. There is no overclaiming, as the sentence only mentions group differences and phenotype-feature associations.",,Llama 3.1 8B
65,32464339,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),bipolar disorder,correlates_with,unclear,,indirect,0.8,MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,"The sentence clearly supports the claim that impulsivity (general) correlates with the Barratt Impulsiveness Scale-Attentional in the context of bipolar disorder, with a specific direction (inverse correlation) and directness (indirect).",,Llama 3.1 8B
67,27095357,Sex differences in impulsivity and brain morphometry in methamphetamine users.,2017,Brain structure & function,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),methamphetamine users,associated_with,higher,,indirect,0.9,"METH users had higher impulsivity scores, on both the Cognitive and Behavioral Factors from the BIS (p < 0.0001-0.0001).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral factors,higher,"The sentence clearly supports the extracted claim, mentioning higher impulsivity scores in METH users, which directly relates to the phenotype-feature association.",,Llama 3.1 8B
69,27743376,Cortical folding patterns are associated with impulsivity in healthy young adults.,2017,Brain imaging and behavior,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),healthy young adults,associated_with,higher,cortical folding,direct,0.8,"BIS subscores were positively correlated with cortical folding in several distinct areas: Total and attention scores were positively correlated with LGI in the left postcentral gyrus, cingulate gyrus, precentral gyrus, pars opercularis of the inferior frontal gyrus, right middle temporal gyrus, superior parietal gyrus, pericalcarine gyrus, and lateral occipital gyrus (each p < 0.05 CWP corr.).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,,,Llama 3.1 8B
70,33951944,Distinct clinical manifestations of obsessive-compulsive disorder are associated with cortical thickness alteration.,2022,The Australian and New Zealand journal of psychiatry,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),obsessive-compulsive disorder,associated_with,unclear,,background,0.8,"OCD patients with more obsessive beliefs and attentional impulsivity (OCD_OB_AT) had reduced cortical thickness at the inferior parietal gyrus, the superior and middle temporal gyrus and the insula compared with OCD patients with higher score on the non-planning impulsivity (OCD_NP, corrected p < 0.05).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),impulsivity (specific),decreased,"The sentence clearly supports the extracted claim, mentioning a specific type of impulsivity (attentional impulsivity) and its association with reduced cortical thickness in OCD patients.",,Llama 3.1 8B
