record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label,consensus_models,consensus_model_count
48,37556131,Alcohol Cue Processing in Co-Occurring Bipolar Disorder and Alcohol Use Disorder.,2023,JAMA psychiatry,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),Bipolar Disorder and Alcohol Use Disorder,associated_with,unclear,reward dysfunction,indirect,0.5,These hypoactivations were associated with increased impulsivity and obsessive-compulsive alcohol craving exclusively among individuals with BD + AUD.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),craving (alcohol),increased,"The sentence clearly supports the extracted claim, mentioning a specific phenotype (impulsivity), feature (alcohol craving), and relationship (associated with). The direction is also supported as 'increased'. The directness is supported as 'indirect' since the sentence does not name both phenotype and feature. The diagnostic context matches the extracted claim.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
56,35247193,Cerebellar Grey Matter Volumes in Reactive Aggression and Impulsivity in Healthy Volunteers.,2023,"Cerebellum (London, England)",Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),healthy volunteers,associated_with,higher,correlation,direct,0.8,Results showed that impulsivity was positively associated with grey matter volumes of the cerebellar vermis and inversely correlated with grey matter volumes of the right posterior lobule.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and grey matter volumes in the cerebellum, with a specific direction (higher) and feature type (structural connectivity).",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
58,21827861,Cortical thickness correlates with impulsiveness in healthy adults.,2012,NeuroImage,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,correlates_with,lower,,direct,0.8,"We observed a significant negative correlation between left middle frontal gyrus (MFG) CT and the attention BIS score (FDR p<.05), motor, nonplanning and total BIS score (each p<0.001 uncorrected).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,The sentence directly supports the claim by mentioning a correlation between cortical thickness and impulsiveness in healthy adults.,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
61,31427669,The Effect of Mindfulness Meditation on Impulsivity and its Neurobiological Correlates in Healthy Adults.,2019,Scientific reports,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,unknown,unclear,,unclear,0.5,"However, LTMs self-reported lower attentional impulsivity, but higher motor and non-planning impulsivity on the BIS-11 than MNPs.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),impulsivity (specific),positive,"The sentence clearly supports the claim by stating a specific phenotype (impulsivity), a specific feature (attentional, motor, and non-planning impulsivity), a relationship (association), a direction (lower, higher), and directness (self-reported).",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
67,27095357,Sex differences in impulsivity and brain morphometry in methamphetamine users.,2017,Brain structure & function,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),methamphetamine users,associated_with,higher,,indirect,0.9,"METH users had higher impulsivity scores, on both the Cognitive and Behavioral Factors from the BIS (p < 0.0001-0.0001).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral factors,higher,"The sentence clearly supports the extracted claim, mentioning higher impulsivity scores in METH users, which directly relates to the phenotype-feature association.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
72,32645662,Differential brain responses for perception of pain during empathic response in binge drinkers compared to non-binge drinkers.,2020,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),binge drinking,associated_with,unclear,,background,0.8,"Binge drinkers compared to non-binge drinkers also took longer to respond when viewing pictures depicting pain, in particular when adopting the perspective of self.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),delayed response to pain,increased,"The sentence clearly supports the claim by stating a difference in response time between binge drinkers and non-binge drinkers when viewing pictures depicting pain. The phenotype is impulsivity (general), which is related to delayed response. The direction is increased, as binge drinkers took longer to respond.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
73,18479820,An event-related fMRI study on risk taking by healthy individuals of high or low impulsiveness.,2008,Neuroscience letters,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.8,We demonstrated that a stronger activation in the insula-orbitofrontal-parietal regions was found in the high impulsiveness group compared to the low impulsiveness group.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,The sentence clearly supports the extracted claim by stating a direct association between impulsivity and functional connectivity in the brain regions mentioned.,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
76,26189512,Abnormalities of cortical structures in adolescent-onset conduct disorder.,2015,Psychological medicine,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),conduct disorder,correlates_with,lower,,indirect,0.8,"cortical thickness of the paralimbic structures was found to be negatively correlated with impulsivity and antisocial behaviors measured by the BIS and APSD, respectively.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),behavior (antisocial),lower,"The sentence supports the phenotype and relationship, but the feature type is not 'unknown' as claimed. The feature type is 'behavior (antisocial)' which is a more specific type. The direction is also supported, but the directness is not supported because the sentence does not name both phenotype and feature.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
84,33872964,Diffusion tensor imaging of corpus callosum in adolescent females with borderline personality disorder.,2021,Journal of psychiatric research,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),borderline personality disorder,correlates_with,lower,,direct,0.8,There was a negative correlation between FA values in the genu and body of CC and impulsivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct correlation between FA values in the corpus callosum and impulsivity, with a negative correlation indicating lower FA values.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
91,27766203,A negative relationship between ventral striatal loss anticipation response and impulsivity in borderline personality disorder.,2016,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),borderline personality disorder,associated_with,lower,impaired prediction of aversive outcomes,direct,0.8,"BPD patients, on the other hand, exhibited a significantly negative correlation between ventral striatal loss anticipation responses and BIS-11 scores, whereas this correlation was significantly positive in healthy controls.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a negative correlation between ventral striatal loss anticipation responses and impulsivity in BPD patients, which aligns with the claim's relationship and direction.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
92,24909828,Attentional impulsivity in binge eating disorder modulates response inhibition performance and frontal brain networks.,2015,International journal of obesity (2005),Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,attentional impulsivity,binge eating disorder,modulates,lower,,direct,0.8,"Increased attentional impulsiveness (a subscale of the BIS-11) in BED was related to decreased response inhibition performance and hypoactivity in the prefrontal control network, which was activated when response inhibition was required.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsiveness,response inhibition performance,decreased,"The sentence clearly supports the extracted claim, mentioning attentional impulsiveness as the phenotype, response inhibition performance as the feature, and modulating relationship. The direction is also supported as 'lower' is not mentioned but 'decreased' is, which is equivalent. The directness is also supported as both phenotype and feature are named in the sentence.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
100,31071323,Brain structure and trait impulsivity: A comparative VBM study contrasting neural correlates of traditional and alternative concepts in healthy subjects.,2019,Neuropsychologia,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,unknown,unclear,,background,0.8,"BIS-11 total score was positively correlated with right inferior parietal, postcentral, and supramarginal grey matter (p < 0.05, FWE cluster-level corrected).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),trait,positive,The sentence clearly supports the extracted claim by stating a positive correlation between BIS-11 total score (a measure of impulsivity) and grey matter in specific brain regions.,,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
102,17994474,Diffusion tensor imaging in MDMA users and controls: association with decision making.,2007,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,nonplanning impulsivity,MDMA users,associated_with,higher,,direct,0.8,MDMA users also had a significantly higher BIS nonplanning score and greater preference for disadvantageous choices on the IGT.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,nonplanning impulsivity,behavioral,higher,"The sentence mentions a behavioral feature (BIS nonplanning score and preference for disadvantageous choices) rather than a structural connectivity feature. The phenotype is supported, but the feature type needs correction.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
106,24655656,Increased structural connectivity in corpus callosum in adolescent males with conduct disorder.,2014,Journal of the American Academy of Child and Adolescent Psychiatry,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),conduct disorder,associated_with,higher,structural connectivity,direct,0.8,Exploratory analysis revealed that impulsivity associated positively with the FA of these fibers in the CD group.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence clearly supports the extracted claim, mentioning impulsivity as the phenotype, structural connectivity as the feature type, association as the relationship, higher as the direction, and directness as direct.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
108,24582821,Differential associations between impulsivity and risk-taking and brain activations underlying working memory in adolescents.,2014,Addictive behaviors,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,associated_with,unclear,,background,0.8,"The BIS-11A evidenced that motor impulsivity was associated with activity in regions recruited during all stages of working memory, while attention and non-planning impulsivity was only associated with activity in regions recruited during recognition.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (motor),working memory,positive,"The sentence clearly supports the extracted claim, mentioning a specific type of impulsivity (motor) and its association with working memory. The direction of the association is also clear, as it is stated that motor impulsivity is associated with activity in regions recruited during all stages of working memory.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
114,18465751,A voxel-based morphometry study of frontal gray matter correlates of impulsivity.,2009,Human brain mapping,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),healthy individuals,correlates_with,lower,gray matter volume,direct,0.8,"GM volumes of the left and right OFC were inversely correlated with the BIS total score (P = 0.04 and 0.02, respectively).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly supports the claim by stating an inverse correlation between GM volumes of the OFC and impulsivity, as measured by the BIS total score.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
115,26711526,"Impulsivity across the psychosis spectrum: Correlates of cortical volume, suicidal history, and social and global function.",2016,Schizophrenia research,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),psychosis spectrum,correlates_with,unclear,unknown,background,0.8,Patients with psychotic disorders appear to exhibit greater impulsivity-related behaviors relative to healthy controls.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),behavior,greater,"The sentence partially supports the claim, but the feature type is not specified. The direction is also not clear, but it can be inferred as 'greater'.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
119,32428790,Higher impulsivity and lower grey matter volume in the bilateral prefrontal cortex in long-term abstinent individuals with severe methamphetamine use disorder.,2020,Drug and alcohol dependence,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),methamphetamine use disorder,associated_with,higher,unknown,direct,0.8,We observed significantly higher BIS-11 impulsivity scores and lower GMV in the bilateral superior frontal cortex of SMUD-A individuals than in those of control subjects.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence directly supports the claim by stating a higher impulsivity score and lower GMV in the bilateral superior frontal cortex, which matches the extracted claim's phenotype, feature type, relationship, direction, and directness.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
122,40845440,"A multimethod examination of impulsivity and its association with gamma-aminobutyric acid (GABA), glutamate, and other neurometabolite levels in youth who do and do not use alcohol.",2025,Addictive behaviors,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),alcohol use in youth,associated_with,higher,,indirect,0.8,"Compared to controls, youth who use alcohol had higher impulsivity on the BIS-11 attentional, non-planning, and motor subscales.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral,higher,"The sentence clearly supports the extracted claim by stating a higher impulsivity in youth who use alcohol compared to controls, which matches the phenotype, feature type, relationship, and direction.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
123,12079725,"Frontal white matter microstructure, aggression, and impulsivity in men with schizophrenia: a preliminary study.",2002,Biological psychiatry,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),schizophrenia,associated_with,lower,,direct,0.8,Lower fractional anisotropy in right inferior frontal white matter was associated with higher motor impulsiveness.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly states a relationship between impulsivity and fractional anisotropy in a specific brain region, supporting the claim.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
