record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label
18,33528803,Impulsivity in heroin-dependent individuals: structural and functional abnormalities within frontostriatal circuits.,2021,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,motor impulsivity,heroin-dependent individuals,associated_with,higher,,direct,0.8,Higher motor impulsivity was observed in HDI.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,motor impulsivity,phenotype,higher,,,Mistral 7B
19,32651411,Increased large-scale inter-network connectivity in relation to impulsivity in Parkinson's disease.,2020,Scientific reports,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,higher,unclear,direct,0.8,FC between the right frontoparietal network (FPN) and medial visual network (MVN) was significantly higher in PD-HI patients than PD-LI patients (false discovery rate [FDR]-adjusted p = 0.0315).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence directly supports the claim by stating a higher functional connectivity between two brain networks in PD-HI patients compared to PD-LI patients, which is associated with impulsivity in Parkinson's disease.",,Mistral 7B
21,34012386,Association of Disinhibited Eating and Trait of Impulsivity With Insula and Amygdala Responses to Palatable Liquid Consumption.,2021,Frontiers in systems neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,strengthened intrinsic functional connectivity,direct,0.8,Increased disinhibited eating was positively correlated with strengthened intrinsic functional connectivity between the insula and the amygdala.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence directly supports the association between impulsivity and strengthened intrinsic functional connectivity, which matches the extracted claim.",,Mistral 7B
25,26364127,Neurobiological underpinnings of sensation seeking trait in heroin abusers.,2015,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Heroin abusers,associated_with,unclear,unknown,direct,0.8,There was stronger coupling between the midbrain and ventromedial prefrontal cortex and weaker coupling between the midbrain and dorsolateral prefrontal cortex in heroin users.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence directly supports the association between impulsivity (general) and functional connectivity, with a positive direction (stronger coupling).",,Mistral 7B
26,33158664,Delta resting-state functional connectivity in the cognitive control network as a prognostic factor for maintaining abstinence: An eLORETA preliminary study.,2021,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol-dependent,predicts,higher,unclear,direct,0.7,"Alcohol-dependent individuals, who maintained abstinence (N = 18), showed significantly increased lagged phase synchronization between the left dorsolateral prefrontal cortex (DLPFC) and the left posterior parietal cortex (IPL) as well as between the right anterior insula cortex/frontal operculum (IA/FO) and the right inferior frontal junction (IFJ) in the delta band compared to those who later relapsed (N = 16).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim by describing a specific brain region (left dorsolateral prefrontal cortex and left posterior parietal cortex) and its functional connectivity (lagged phase synchronization) in the delta band, which is associated with the phenotype of impulsivity in the context of alcohol dependence.",,Mistral 7B
27,28185093,Altered spontaneous brain activity in adolescent boys with pure conduct disorder revealed by regional homogeneity analysis.,2017,European child & adolescent psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),conduct disorder,associated_with,unclear,,indirect,0.7,"Compared to HCs, the CD group showed increased ReHo bilaterally in the insula as well as decreased ReHo in the right inferior parietal lobule, right middle temporal gyrus and right fusiform gyrus, left anterior cerebellum anterior, and right posterior cerebellum.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,increased,"The sentence clearly supports the claim by stating a group difference in ReHo, which is a measure of BOLD variability, in the context of conduct disorder and impulsivity.",,Mistral 7B
28,25944613,Nature of functional links in valuation networks differentiates impulsive behaviors between abstinent heroin-dependent subjects and nondrug-using subjects.,2015,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,influence,direct,0.8,"Through functional connectivity with the ventral medial prefrontal cortex, the δ-network (regions of the executive control system, such as the dorsolateral prefrontal cortex) and the β-network (regions of the reward system involved in the mesocorticolimbic pathway), jointly influence impulsivity measured by the Barratt impulsiveness scale scores.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,influences,"The sentence clearly supports the phenotype, feature, relationship, and direction when stated.",,Mistral 7B
29,23937918,Voxel-level comparison of arterial spin-labeled perfusion magnetic resonance imaging in adolescents with internet gaming addiction.,2013,Behavioral and brain functions : BBF,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),internet gaming addiction,associated_with,unclear,,unclear,0.6,"In this study, we used ASL perfusion fMRI and noninvasively quantified resting CBF to demonstrate that IGA alters the CBF distribution in the adolescent brain.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,increased,"The sentence clearly supports the claim by stating that IGA alters the CBF distribution in the adolescent brain, which is associated with impulsivity. The direction is implied to be increased as the CBF distribution is altered. The directness is supported as the sentence names both the phenotype (impulsivity) and the feature (CBF distribution).",,Mistral 7B
30,24971323,A functional polymorphism of the MAOA gene modulates spontaneous brain activity in pons.,2014,BioMed research international,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),unknown,associated_with,unclear,,direct,0.8,"Compared with the MAOA-H group, the MAOA-L group showed significantly lower ALFFs in the pons.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,decreased,"The sentence clearly supports the extracted claim, mentioning a direct association between the MAOA-L group and lower ALFFs in the pons, which is related to impulsivity and BOLD variability.",,Mistral 7B
32,24200212,Striatal-insula circuits in cocaine addiction: implications for impulsivity and relapse risk.,2013,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine addiction,associated_with,unclear,reduced connectivity,direct,0.8,Cocaine-addicted individuals exhibited reduced positive connectivity between the bilateral putamen and posterior insula and right postcentral gyrus.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,reduced,"The sentence directly states a relationship between impulsivity and reduced functional connectivity in cocaine addiction, matching the extracted claim.",,Mistral 7B
35,28602816,Neurobiological correlates of impulsivity in healthy adults: Lower prefrontal gray matter volume and spontaneous eye-blink rate but greater resting-state functional connectivity in basal ganglia-thalamo-cortical circuitry.,2017,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"Greater correlated resting-state functional connectivity between the basal ganglia and thalamus, motor cortices, and prefrontal cortex was associated with worse no-go trial accuracy on the task and with higher BIS-11 motor impulsivity scores.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between higher functional connectivity and higher impulsivity scores.",,Mistral 7B
36,20851718,Identification of hyperactive intrinsic amygdala network connectivity associated with impulsivity in abstinent heroin addicts.,2011,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin addicts,associated_with,higher,unclear,direct,0.8,"In the HD group, higher impulsivity scores and significantly enhanced iAFC network activity were found, especially in bilateral thalamus, right insula, and inferior frontal gyrus.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,The sentence clearly supports the extracted claim by stating a direct association between higher impulsivity scores and enhanced iAFC network activity in specific brain regions.,,Mistral 7B
37,39756804,Altered Functional Connectivity of Prefrontal Cortex-Related Circuitry and Trait Impulsivity in Patients With Bipolar Disorder and History of Suicide Attempts.,2025,Acta psychiatrica Scandinavica,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Bipolar Disorder,associated_with,unclear,,unclear,0.8,BDSA had higher trait impulsivity than BDNS and the controls. BDSA exhibited reduced FC between the PFC and sensorimotor (postcentral and precentral gyri) and thalamic regions compared to BDNS.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the phenotype (impulsivity), feature (functional connectivity), relationship (associated_with), direction (higher), and directness (direct) when stated. The phenotype and feature are directly mentioned in the sentence, and the direction is clearly stated as 'higher'.",,Mistral 7B
40,24223847,Reduced regional homogeneity in bilateral frontostriatal system relates to higher impulsivity behavior in codeine-containing cough syrups dependent individuals.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,attentional impulsivity,unknown,associated_with,lower,unclear,direct,0.8,ReHo was diminished in the bilateral medial orbitofrontal cortex (mOFC) and left dorsal striatum in CCS-dependent individuals.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,lower,"The sentence directly states a relationship between reduced regional homogeneity in the bilateral medial orbitofrontal cortex and left dorsal striatum and higher impulsivity behavior, which matches the extracted claim.",,Mistral 7B
41,26908392,Association of ventral striatum monoamine oxidase-A binding and functional connectivity in antisocial personality disorder with high impulsivity: A positron emission tomography and functional magnetic resonance imaging study.,2016,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),antisocial personality disorder,associated_with,unclear,,direct,0.7,"Results revealed functional coupling of the VSs with bilateral dorsomedial prefrontal cortex (DMPFC) that was correlated with VS MAO-A VT, and functional coupling of the VSi with right hippocampus that was anti-correlated with VS MAO-A VT.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,unclear,"The sentence clearly supports the phenotype (impulsivity), feature (functional connectivity), relationship (associated_with), and direction (unclear) when stated. The directness is also supported as the sentence names both phenotype and feature. There is no overclaiming as the sentence mentions a group difference and a phenotype-feature association.",,Mistral 7B
42,25008351,Altered intrinsic hippocmapus declarative memory network and its association with impulsivity in abstinent heroin dependent subjects.,2014,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin dependent subjects,associated_with,unclear,altered intrinsic functional link,direct,0.8,"Our results demonstrated that HD group showed enhanced coherence between hippocampus which represents declarative memory system and non-declarative reward-guided learning memory system, and also showed attenuated intrinsic functional link between hippocampus and top-down control system, compared to the CN group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,unclear,"The sentence clearly supports the phenotype (impulsivity), feature (functional connectivity), relationship (associated_with), and direction (unclear) when stated. The direction is unclear, but the extracted direction captures the relevant part exactly.",,Mistral 7B
43,25496980,Abnormal regional homogeneity in young adult suicide attempters with no diagnosable psychiatric disorder: a resting state functional magnetic imaging study.,2015,Psychiatry research,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),unknown,associated_with,unclear,,unclear,0.7,The SA group also had significantly higher total Barratt Impulsiveness Scale scores compared with the HC group.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral trait,increased,The sentence clearly supports the claim by stating a significant difference in impulsivity scores between the SA and HC groups.,,Mistral 7B
45,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.32,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly supports the association between impulsivity and structural connectivity, with a clear direction of lower structural connectivity being associated with impulsivity.",,Mistral 7B
46,37137256,Transdiagnostic brain correlates of self-reported trait impulsivity: A dimensional structure-symptom investigation.,2023,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,associated_with,unclear,,unclear,0.6,"Volume of the left opercular part of the inferior frontal gyrus (IFG) was negatively related to global impulsivity across the entire sample, and specifically to motor impulsivity in the subsample of HCs, OUD and BPD patients.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,negative,The sentence clearly supports the claim by stating a specific brain region (left opercular part of the inferior frontal gyrus) and its relationship to impulsivity. The direction of the relationship is also clearly stated as negative.,,Mistral 7B
49,34175744,Brain morphometry in adults with gambling disorder.,2021,Journal of psychiatric research,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),Gambling Disorder,associated_with,unclear,,unclear,0.6,"Patients displayed thinner prefrontal and parietal cortices, greater volume and thickness of the occipital and the entorhinal cortices, and greater volume of subcortical regions as compared to the norms of healthy individuals.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),morphometry,greater,The sentence clearly supports the claim by stating a specific association between impulsivity (general) and brain morphometry features in individuals with Gambling Disorder.,,Mistral 7B
52,15309395,Negative correlation between right prefrontal activity during response inhibition and impulsiveness: a fMRI study.,2004,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,motor impulsivity,unknown,associated_with,lower,unknown,direct,0.8,A negative correlation was observed between the motor impulsiveness of BIS-11 and No-Go-related activation in the right dorsolateral prefrontal cortex (RDLPFC).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,motor impulsivity,functional connectivity,lower,,,Mistral 7B
53,33360853,Novel circuit biomarker of impulsivity and craving in male heroin-dependent individuals.,2021,Drug and alcohol dependence,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),heroin-dependent individuals,associated_with,lower,,direct,0.8,HDIs showed significantly weaker tract strength of the left striatum-medial orbitofrontal cortex (mOFC) than controls.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly supports the association between impulsivity and weaker structural connectivity in the left striatum-medial orbitofrontal cortex, which is consistent with the extracted claim.",,Mistral 7B
56,35247193,Cerebellar Grey Matter Volumes in Reactive Aggression and Impulsivity in Healthy Volunteers.,2023,"Cerebellum (London, England)",Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,associated_with,higher,,unclear,0.7,Impulsivity was positively associated with grey matter volumes of the cerebellar vermis.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural (grey matter volumes),higher,"The sentence clearly supports the extracted claim, mentioning a specific association between impulsivity and grey matter volumes in the cerebellar vermis.",,Mistral 7B
58,21827861,Cortical thickness correlates with impulsiveness in healthy adults.,2012,NeuroImage,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,correlates_with,lower,,direct,1.0,"We observed a significant negative correlation between left middle frontal gyrus (MFG) CT and the attention BIS score (FDR p<.05), motor, nonplanning and total BIS score (each p<0.001 uncorrected).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,The sentence directly supports the claim by mentioning a correlation between cortical thickness and impulsiveness in healthy adults.,,Mistral 7B
59,29751017,Differential contributions of cortical thickness and surface area to trait impulsivity in healthy young adults.,2018,Behavioural brain research,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,associated_with,lower,,unclear,0.7,"Higher BIS-11 total scores were negatively associated with cortical thickness variations in the left lingual gyrus, left superior temporal gyrus, right cuneus, and right superior parietal gyrus.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),cortical thickness variations,lower,"The sentence clearly supports the extracted claim, mentioning a specific association between impulsivity (general) and cortical thickness variations in several brain regions, with a clear direction of lower cortical thickness associated with higher impulsivity scores.",,Mistral 7B
60,37952300,Positive schizotypy and Motor Impulsivity correlate with response aberrations in ventral attention network during inhibitory control.,2023,Cortex; a journal devoted to the study of the nervous system and behavior,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,motor impulsivity,unknown,correlates_with,unclear,,unclear,0.7,BIS-11 Motor Impulsivity predicted 15% of d prime (sensitivity index) for the fastest (400ms) GNG trials.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,motor impulsivity,behavioral performance,positive,"The sentence clearly supports the claim by stating a correlation between motor impulsivity and a specific aspect of behavioral performance (d prime for GNG trials). The direction of the correlation is implied to be positive, as the sentence mentions 'predicted' which typically implies a positive relationship. The directness of the relationship is also clear, as it is stated that motor impulsivity 'predicted' a specific aspect of behavioral performance.",,Mistral 7B
61,31427669,The Effect of Mindfulness Meditation on Impulsivity and its Neurobiological Correlates in Healthy Adults.,2019,Scientific reports,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,unknown,unclear,,unclear,0.3,"Here, an eight-week mindfulness intervention did not reduce impulsivity on the go/no-go task or Barratt Impulsiveness Scale (BIS-11)",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,decrease,"The sentence clearly states that the mindfulness intervention did not reduce impulsivity, which supports the phenotype. The feature is not explicitly stated, but it can be inferred as the reduction of impulsivity. The relationship is association, as the sentence describes the effect of the intervention on impulsivity. The direction is decrease, as the sentence states that the intervention did not reduce impulsivity. The directness is direct, as the sentence describes the effect of the intervention on impulsivity. The brain system, diagnostic context, and mechanism are not mentioned in the sentence, so they are left as unknown.",,Mistral 7B
