record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
11,39218589,[A review of functional electrical stimulation based on brain-computer interface].,2024,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,motor impulsivity functional connectivity,unknown,unknown,unknown,unknown,unknown,unclear,,unclear,,,no,evidence_strength not a number,yes,no,unclear,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,no,,,,"The evidence sentence does not provide any specific information about a phenotype, feature, relationship, or direction. It appears to be general background information rather than supporting the structured claim.",,"{""support_score"": 0, ""decision"": ""drop"", ""phenotype_supported"": false, ""feature_supported"": false, ""relationship_supported"": false, ""direction_supported"": false, ""directness_supported"": false, ""overclaiming"": false, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The evidence sentence does not provide any specific information about a phenotype, feature, relationship, or direction. It appears to be general background information rather than supporting the structured claim.""}"
12,37086305,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,structural connectivity,impulsivity (general),BPD,correlates_with,lower,,direct,0.7,"A focused analysis on female patients showed a significant reduction of right amygdala volumes in BPD (p = 0.037), that correlate with Difficulties in Emotion Regulation Scale (p = 0.031; r =  - 0.415), Beck Depression Inventory (p = 0.009; r =  - 0.50) and Ruminative Response Scale (p = 0.045; r =  - 0.389).",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence discusses volume reduction in the right amygdala and its correlation with emotion regulation scales, but it does not mention impulsivity or structural connectivity. It also does not directly state a correlation between amygdala volume and impulsivity.",,"{
    ""support_score"": 0,
    ""decision"": ""drop"",
    ""phenotype_supported"": false,
    ""feature_supported"": false,
    ""relationship_supported"": false,
    ""direction_supported"": false,
    ""directness_supported"": false,
    ""overclaiming"": true,
    ""corrected_phenotype"": null,
    ""corrected_feature_type"": null,
    ""corrected_direction"": null,
    ""rationale"": ""The sentence discusses volume reduction in the right amygdala and its correlation with emotion regulation scales, but it does not mention impulsivity or structural connectivity. It also does not directly state a correlation between amygdala volume and impulsivity.""
}"
13,37992501,Testing the triple network model of psychopathology in a transdiagnostic neurodevelopmental cohort.,2023,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,"salience/ventral attention network, frontoparietal/control network, default mode network",functional connectivity,impulsivity (general),transdiagnostic neurodevelopmental difficulties,associated_with,higher,"delayed network segregation, difficulties sustaining CEN activity to regulate behavior, heightened developmental mismatch between neural systems",direct,0.8,"Hyperactivity/impulsivity was associated with increased functional connectivity between the SN, CEN, and DMN in at-risk children, whereas it was associated with decreased functional connectivity between the CEN and DMN in comparison children.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,yes,yes,no,no,yes,impulsivity (general),functional connectivity,increased,"The sentence mentions associations with functional connectivity but does not specify the exact brain networks involved in the context of the extracted claim. It also mentions decreased connectivity in comparison children, which is not aligned with the extracted claim's focus on higher connectivity.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""increased"",
  ""rationale"": ""The sentence mentions associations with functional connectivity but does not specify the exact brain networks involved in the context of the extracted claim. It also mentions decreased connectivity in comparison children, which is not aligned with the extracted claim's focus on higher connectivity.""
}"
14,40297839,"Hippocampus Functional Connectivity, Impulsivity, and Subsequent Substance Use.",2025,Journal of cellular neuroscience,impulsivity resting-state fMRI functional connectivity,default mode network,functional connectivity,impulsivity (general),unknown,mediates,higher,,direct,0.85,"hippocampal rsFC was significantly associated with impulsivity, which, in turn, predicted higher substance use at follow-up.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,yes,no,yes,no,yes,impulsivity (general),functional connectivity,higher,"The sentence supports the relationship between functional connectivity and impulsivity, but it does not directly state that functional connectivity mediates impulsivity. It also suggests a predictive relationship rather than a direct one, and it overclaims by predicting substance use.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": false,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence supports the relationship between functional connectivity and impulsivity, but it does not directly state that functional connectivity mediates impulsivity. It also suggests a predictive relationship rather than a direct one, and it overclaims by predicting substance use.""
}"
15,24834038,Brain functional connectivity changes in children that differ in impulsivity temperamental trait.,2014,Frontiers in behavioral neuroscience,impulsivity resting-state fMRI functional connectivity,default mode network,functional connectivity,impulsivity (general),unknown,correlates_with,lower,,direct,0.9,We found two DMN clusters located at the posterior cingulate cortex and the right angular gyrus which were negatively correlated with impulsivity scores.,yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,"The sentence directly states a negative correlation between impulsivity scores and functional connectivity in the default mode network, which matches the extracted claim.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence directly states a negative correlation between impulsivity scores and functional connectivity in the default mode network, which matches the extracted claim.""
}"
16,34993375,Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants.,2021,"Chronic stress (Thousand Oaks, Calif.)",trait impulsivity functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,indirect,0.7,"Overall, lower integration across the brain modules and increased segregation, as reflected by internal within module connectivity, were associated with higher infection rates.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence discusses brain integration and segregation in relation to infection rates, but does not specify a phenotype or feature type that aligns with the extracted claim about impulsivity and functional connectivity.",,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence discusses brain integration and segregation in relation to infection rates, but does not specify a phenotype or feature type that aligns with the extracted claim about impulsivity and functional connectivity.""
}"
17,28783574,Go/No-Go task performance predicts differences in compulsivity but not in impulsivity personality traits.,2017,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),unknown,predicts,higher,,indirect,0.7,"Surprisingly, no relation was found between the Go/No-Go task and the BIS-11 scale.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence states that no relation was found between the Go/No-Go task and the BIS-11 scale, which contradicts the claim of predicting impulsivity. It also mentions a group difference (between Go/No-Go task and BIS-11 scale) without directly stating a phenotype-feature association.",,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence states that no relation was found between the Go/No-Go task and the BIS-11 scale, which contradicts the claim of predicting impulsivity. It also mentions a group difference (between Go/No-Go task and BIS-11 scale) without directly stating a phenotype-feature association.""
}"
18,29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,2018,Brain imaging and behavior,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,unclear,unclear,,indirect,0.3,,yes,,yes,no,unclear,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence does not provide any information about impulsivity or functional connectivity, and it does not mention a clear relationship, direction, or directness. It also suggests a group difference rather than a phenotype-feature association.",,"{""support_score"": 0, ""decision"": ""drop"", ""phenotype_supported"": false, ""feature_supported"": false, ""relationship_supported"": false, ""direction_supported"": false, ""directness_supported"": false, ""overclaiming"": true, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence does not provide any information about impulsivity or functional connectivity, and it does not mention a clear relationship, direction, or directness. It also suggests a group difference rather than a phenotype-feature association.""}"
19,12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),borderline personality disorder,predicts,higher,,indirect,0.8,Impulsivity and aggression each predicted prolactin responses.,yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,yes,no,yes,impulsivity (general),prolactin responses,higher,"The sentence mentions impulsivity as a predictor of prolactin responses, which supports the relationship and direction. However, it does not specify that prolactin responses are a feature type, and it indirectly supports the claim rather than directly linking impulsivity to a specific feature.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": false,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""prolactin responses"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence mentions impulsivity as a predictor of prolactin responses, which supports the relationship and direction. However, it does not specify that prolactin responses are a feature type, and it indirectly supports the claim rather than directly linking impulsivity to a specific feature.""
}"
20,41098388,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,2025,The European physical journal. Special topics,impulsivity resting-state fMRI functional connectivity,"default mode network, salience/ventral attention network",functional connectivity,impulsivity (general),opioid use disorder,correlates_with,lower,,indirect,0.6,Our preliminary rs-fMRI findings reveal significant disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks involved in cognitive functions such as decision-making and impulse control.,yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,yes,yes,no,no,yes,impulsivity (general),functional connectivity,lower,"The sentence mentions disruptions in functional connectivity related to cognitive functions like decision-making and impulse control, which are associated with impulsivity. However, it does not directly state that functional connectivity correlates with impulsivity, nor does it specify a direction of correlation or the exact brain systems involved.",,"{
    ""support_score"": 1,
    ""decision"": ""revise"",
    ""phenotype_supported"": false,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": false,
    ""directness_supported"": false,
    ""overclaiming"": true,
    ""corrected_phenotype"": ""impulsivity (general)"",
    ""corrected_feature_type"": ""functional connectivity"",
    ""corrected_direction"": ""lower"",
    ""rationale"": ""The sentence mentions disruptions in functional connectivity related to cognitive functions like decision-making and impulse control, which are associated with impulsivity. However, it does not directly state that functional connectivity correlates with impulsivity, nor does it specify a direction of correlation or the exact brain systems involved.""
}"
21,34964209,Neural processes during response inhibition in complex posttraumatic stress disorder.,2022,Depression and anxiety,impulsivity fMRI functional connectivity,unknown,unknown,impulsivity (general),complex posttraumatic stress disorder,associated_with,unclear,,background,0.5,,yes,,yes,no,unclear,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence does not provide any specific information about a phenotype-feature association or direction, and it mentions a group difference without directly linking it to impulsivity or any other specific feature.",,"{""support_score"": 0, ""decision"": ""drop"", ""phenotype_supported"": false, ""feature_supported"": false, ""relationship_supported"": false, ""direction_supported"": false, ""directness_supported"": false, ""overclaiming"": true, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence does not provide any specific information about a phenotype-feature association or direction, and it mentions a group difference without directly linking it to impulsivity or any other specific feature.""}"
