record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
11,39218589,[A review of functional electrical stimulation based on brain-computer interface].,2024,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,motor impulsivity functional connectivity,,unknown,unknown,,,unclear,,unclear,,"Functional electrical stimulation (FES) based on brain-computer interface (BCI) connects the patient's intentions with muscle contraction, and helps to promote the reconstruction of nerve function by recognizing nerve signals and stimulating the moving muscle group with electrical impulses to produce muscle convulsions or limb movements.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,muscle contraction,nerve function reconstruction,promotes,"The sentence partially supports the claim, but the phenotype, feature, and direction need revision. The phenotype is 'muscle contraction', the feature is 'nerve function reconstruction', and the direction is 'promotes'.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""muscle contraction"",
  ""corrected_feature_type"": ""nerve function reconstruction"",
  ""corrected_direction"": ""promotes"",
  ""rationale"": ""The sentence partially supports the claim, but the phenotype, feature, and direction need revision. The phenotype is 'muscle contraction', the feature is 'nerve function reconstruction', and the direction is 'promotes'.""
}"
12,37086305,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale resting-state fMRI,amygdala and insula,functional connectivity,unknown,BPD patients,correlation,lower,alterations in amygdala and insula,indirect,moderate,"Amygdala and insula are altered in BPD patients, and these two limbic structures are implicated in specific neuropsychiatric symptoms, such as difficulty in emotion regulation, depression, anger and depressive rumination.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,"emotion dysregulation, depression, anger, and depressive rumination",functional connectivity,lower,"The sentence partially supports the claim by mentioning the involvement of amygdala and insula in emotion regulation and other symptoms, but it does not directly state the relationship between amygdala and insula functional connectivity and the phenotype. The direction of the relationship is also not explicitly stated. The phenotype and feature type need to be corrected to match the extracted claim.",,"{""support_score"": 1, ""decision"": ""revise"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": false, ""directness_supported"": false, ""overclaiming"": false, ""corrected_phenotype"": ""emotion dysregulation, depression, anger, and depressive rumination"", ""corrected_feature_type"": ""functional connectivity"", ""corrected_direction"": ""lower"", ""rationale"": ""The sentence partially supports the claim by mentioning the involvement of amygdala and insula in emotion regulation and other symptoms, but it does not directly state the relationship between amygdala and insula functional connectivity and the phenotype. The direction of the relationship is also not explicitly stated. The phenotype and feature type need to be corrected to match the extracted claim.""}"
13,37992501,Testing the triple network model of psychopathology in a transdiagnostic neurodevelopmental cohort.,2023,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,"Salience Network (SN), Central Executive Network (CEN), Default Mode Network (DMN)",functional connectivity,impulsivity (general),transdiagnostic neurodevelopmental difficulties,connectivity between networks,higher,"delayed network segregation, difficulties sustaining CEN activity to regulate behavior, and/or a heightened developmental mismatch between neural systems",indirect,moderate,"Hyperactivity/impulsivity was associated with increased functional connectivity between the SN, CEN, and DMN in at-risk children, whereas it was associated with decreased functional connectivity between the CEN and DMN in comparison children.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,mixed,"The sentence supports the phenotype and feature, but the direction is mixed and does not match the extracted direction. The directness is also not supported because the sentence does not name both phenotype and feature.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""mixed"",
  ""rationale"": ""The sentence supports the phenotype and feature, but the direction is mixed and does not match the extracted direction. The directness is also not supported because the sentence does not name both phenotype and feature.""
}"
14,40297839,"Hippocampus Functional Connectivity, Impulsivity, and Subsequent Substance Use.",2025,Journal of cellular neuroscience,impulsivity resting-state fMRI functional connectivity,hippocampus,functional connectivity,unknown,adolescence,mediates,unclear,hippocampal rsFC with brain networks,unclear,marginal associations and significant associations,"Baseline hippocampal rsFC with the cingulo-parietal network, visual network, sensory-motor network, and DMN showed marginal associations with future tobacco and marijuana use. Additionally, hippocampal rsFC was significantly associated with impulsivity, which, in turn, predicted higher substance use at follow-up.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,substance use,impulsivity,positive,"The sentence partially supports the claim but needs revision or is indirect. The phenotype is not explicitly stated as 'unknown' but can be inferred as 'substance use'. The feature type is 'impulsivity', not 'functional connectivity'. The relationship is 'mediates' but the sentence implies a positive association. The direction is not explicitly stated but can be inferred as positive. The directness is not explicitly stated but the sentence implies a direct relationship between impulsivity and substance use.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""substance use"",
  ""corrected_feature_type"": ""impulsivity"",
  ""corrected_direction"": ""positive"",
  ""rationale"": ""The sentence partially supports the claim but needs revision or is indirect. The phenotype is not explicitly stated as 'unknown' but can be inferred as 'substance use'. The feature type is 'impulsivity', not 'functional connectivity'. The relationship is 'mediates' but the sentence implies a positive association. The direction is not explicitly stated but can be inferred as positive. The directness is not explicitly stated but the sentence implies a direct relationship between impulsivity and substance use.""
}"
15,24834038,Brain functional connectivity changes in children that differ in impulsivity temperamental trait.,2014,Frontiers in behavioral neuroscience,impulsivity resting-state fMRI functional connectivity,default mode network (DMN),functional connectivity,impulsivity (general),typically developing children,modulation,lower,alteration of functional connectivity,direct,strong,We found two DMN clusters located at the posterior cingulate cortex and the right angular gyrus which were negatively correlated with impulsivity scores.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,,,"{""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": false, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": null}"
16,34993375,Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants.,2021,"Chronic stress (Thousand Oaks, Calif.)",trait impulsivity functional connectivity,"central executive, ventral salience, dorsal salience, default mode, subcortical, sensorimotor networks",functional connectivity,unknown,"pandemic up to February fourth, 2021",association,higher,not explicitly stated in the abstract,indirect,moderate,"More specifically, COVID-19 positive status was associated with 1) reduced connectivity between the central executive and ventral salience, as well as between the dorsal salience and default mode networks; 2) increased internal connectivity within the default mode, ventral salience, subcortical and sensorimotor networks; and 3) increased connectivity between the ventral salience, subcortical and sensorimotor networks.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,COVID-19 positive status,functional connectivity,"reduced, increased",The sentence clearly supports the claim with specific details about the networks involved.,,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""COVID-19 positive status"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""reduced, increased"",
  ""rationale"": ""The sentence clearly supports the claim with specific details about the networks involved.""
}"
17,28783574,Go/No-Go task performance predicts differences in compulsivity but not in impulsivity personality traits.,2017,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,,predicts,higher,,indirect,moderate,"Surprisingly, no relation was found between the Go/No-Go task and the BIS-11 scale.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,no,,,,"The sentence does not support the relationship between the Go/No-Go task and the BIS-11 scale, which is the claim being evaluated.",,"{""support_score"": 0, ""decision"": ""drop"", ""phenotype_supported"": false, ""feature_supported"": false, ""relationship_supported"": false, ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": false, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence does not support the relationship between the Go/No-Go task and the BIS-11 scale, which is the claim being evaluated.""}"
18,29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,2018,Brain imaging and behavior,impulsivity fMRI functional connectivity,basal ganglia network,functional connectivity,unknown,none,association,lower,alterations of the dopaminergic system,indirect,moderate,Age was the only correlate of FC in the BGN that was consistently significant with both analyses.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,age,functional connectivity,positive,"The sentence does not directly support the claim's direction (lower) and directness (indirect). The corrected phenotype is 'age', and the corrected feature type is 'functional connectivity'. The corrected direction is 'positive' because the sentence states that age is a correlate of FC, implying a positive association.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""age"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""positive"",
  ""rationale"": ""The sentence does not directly support the claim's direction (lower) and directness (indirect). The corrected phenotype is 'age', and the corrected feature type is 'functional connectivity'. The corrected direction is 'positive' because the sentence states that age is a correlate of FC, implying a positive association.""
}"
19,12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,central serotonergic system,unknown,unknown,community setting,predicts,lower,diminished central serotonergic function,indirect,moderate,Impulsivity and aggression were inversely related to delta-prolactin and peak-prolactin responses among male but not female subjects.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence mentions a group difference but not a phenotype-feature association, and it does not support the relationship 'predicts' or the direction 'lower'.",,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence mentions a group difference but not a phenotype-feature association, and it does not support the relationship 'predicts' or the direction 'lower'.""
}"
20,41098388,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,2025,The European physical journal. Special topics,impulsivity resting-state fMRI functional connectivity,"default mode network (DMN), salience network (SN)",functional connectivity,unknown,resting-state fMRI,disruption,unclear,influences the functional connectivity of key brain networks,direct,preliminary,Our preliminary rs-fMRI findings reveal significant disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks involved in cognitive functions such as decision-making and impulse control.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,opioid addiction,functional connectivity,disruption,,,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""opioid addiction"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""disruption"",
  ""rationale"": null
}"
21,34964209,Neural processes during response inhibition in complex posttraumatic stress disorder.,2022,Depression and anxiety,impulsivity fMRI functional connectivity,thalamus,unknown,unknown,compared to PTSD and healthy controls,reduced,unclear,involvement in response inhibition,indirect,initial evidence,"There was reduced bilateral thalamic activation in participants with CPTSD relative to PTSD and controls during inhibition trials, but no activation differences between PTSD and controls for this brain region.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,CPTSD,thalamic activation,reduced,"The sentence clearly supports the claim, mentioning a specific phenotype (CPTSD), feature (thalamic activation), relationship (reduced), and direction (reduced). The directness is also supported as it mentions both phenotype and feature. The sentence does not overclaim as it only mentions a group difference between CPTSD and PTSD/controls.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""CPTSD"",
  ""corrected_feature_type"": ""thalamic activation"",
  ""corrected_direction"": ""reduced"",
  ""rationale"": ""The sentence clearly supports the claim, mentioning a specific phenotype (CPTSD), feature (thalamic activation), relationship (reduced), and direction (reduced). The directness is also supported as it mentions both phenotype and feature. The sentence does not overclaim as it only mentions a group difference between CPTSD and PTSD/controls.""
}"
