record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
11,39218589,[A review of functional electrical stimulation based on brain-computer interface].,2024,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,motor impulsivity functional connectivity,,unknown,unknown,damage to the central nervous system,causes,unclear,Functional electrical stimulation (FES) based on brain-computer interface (BCI),unclear,,"Individuals with motor dysfunction caused by damage to the central nervous system are unable to transmit voluntary movement commands to their muscles, resulting in a reduced ability to control their limbs.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence clearly states that motor dysfunction is caused by damage to the central nervous system, which aligns with the extracted claim's relationship and direction.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""unknown"", ""feature_supported"": ""unknown"", ""relationship_supported"": ""causes"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence clearly states that motor dysfunction is caused by damage to the central nervous system, which aligns with the extracted claim's relationship and direction.""}"
12,37086305,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale resting-state fMRI,amygdala,functional connectivity,impulsivity (general),Borderline Personality Disorder,association,unclear,,unclear,,"Reduced functional connectivity was found in BPD between amygdala and frontal pole, precuneus and temporal pole. This functional connectivity alterations correlated with Barratt Impulsiveness Scale (p=0.020; r=-0.447).",no,evidence_strength not a number,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states a correlation between reduced functional connectivity between the amygdala and certain brain regions, and impulsivity as measured by the Barratt Impulsiveness Scale.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""impulsivity (general)"", ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""association"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states a correlation between reduced functional connectivity between the amygdala and certain brain regions, and impulsivity as measured by the Barratt Impulsiveness Scale.""}"
13,37992501,Testing the triple network model of psychopathology in a transdiagnostic neurodevelopmental cohort.,2023,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,"['Salience Network', 'Central Executive Network', 'Default Mode Network']",functional connectivity,impulsivity (general),neurodevelopmental difficulties in cognition and behavior,associated with,unclear,,unclear,,"Hyperactivity/impulsivity was associated with increased functional connectivity between the SN, CEN, and DMN in at-risk children, whereas it was associated with decreased functional connectivity between the CEN and DMN in comparison children.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly mentions 'Hyperactivity/impulsivity' as a phenotype and 'functional connectivity' as a feature. It also clearly states that this functional connectivity is associated with the phenotype. The direction is supported as the sentence mentions increased functional connectivity for at-risk children and decreased functional connectivity for comparison children, which aligns with the 'unclear' direction in the claim.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""general impulsivity"", ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""associated with"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly mentions 'Hyperactivity/impulsivity' as a phenotype and 'functional connectivity' as a feature. It also clearly states that this functional connectivity is associated with the phenotype. The direction is supported as the sentence mentions increased functional connectivity for at-risk children and decreased functional connectivity for comparison children, which aligns with the 'unclear' direction in the claim.""}"
14,40297839,"Hippocampus Functional Connectivity, Impulsivity, and Subsequent Substance Use.",2025,Journal of cellular neuroscience,impulsivity resting-state fMRI functional connectivity,Hippocampus,functional connectivity,impulsivity (general),,mediates,unclear,,unclear,,These findings suggest that hippocampal rsFC partially mediates the relationship between impulsivity and substance use behaviors.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,The sentence directly states that hippocampal functional connectivity mediates the relationship between impulsivity and substance use behaviors.,," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""mediates"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that hippocampal functional connectivity mediates the relationship between impulsivity and substance use behaviors.""}"
15,24834038,Brain functional connectivity changes in children that differ in impulsivity temperamental trait.,2014,Frontiers in behavioral neuroscience,impulsivity resting-state fMRI functional connectivity,default mode network (DMN),functional connectivity,impulsivity (general),typically developing children,negatively correlated,lower,,unclear,,We found two DMN clusters located at the posterior cingulate cortex and the right angular gyrus which were negatively correlated with impulsivity scores.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,The sentence directly mentions the phenotype 'impulsivity scores' and the feature 'functional connectivity' as being negatively correlated with the impulsivity scores. The direction 'lower' is also supported as the clusters are negatively correlated with the impulsivity scores.,," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""negatively correlated"", ""direction_supported"": ""lower"", ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly mentions the phenotype 'impulsivity scores' and the feature 'functional connectivity' as being negatively correlated with the impulsivity scores. The direction 'lower' is also supported as the clusters are negatively correlated with the impulsivity scores.""}"
16,34993375,Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants.,2021,"Chronic stress (Thousand Oaks, Calif.)",trait impulsivity functional connectivity,"['central executive', 'ventral salience', 'dorsal salience', 'default mode', 'subcortical', 'sensorimotor']",functional connectivity,unknown,,associated with,unclear,,unclear,,"COVID-19 positive status was associated with 1) reduced connectivity between the central executive and ventral salience, as well as between the dorsal salience and default mode networks; 2) increased internal connectivity within the default mode, ventral salience, subcortical and sensorimotor networks; 3) increased connectivity between the ventral salience, subcortical and sensorimotor networks.",no,evidence_strength not a number,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence clearly states that COVID-19 positive status is associated with changes in functional connectivity, specifically reduced connectivity between certain networks and increased connectivity within and between others.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""COVID-19 positive status"", ""feature_supported"": [""functional connectivity""], ""relationship_supported"": ""associated with"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence clearly states that COVID-19 positive status is associated with changes in functional connectivity, specifically reduced connectivity between certain networks and increased connectivity within and between others.""}"
17,28783574,Go/No-Go task performance predicts differences in compulsivity but not in impulsivity personality traits.,2017,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,,Predicts,unclear,,unclear,,"Participants with high false alarms (H-FA) displayed a high-risk strategy of responding, and higher scores in the MOCI Total and MOCI Checking subscale compared to participants with low false alarms (L-FA).",no,evidence_strength not a number,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence clearly indicates a relationship between the participants with high false alarms and the MOCI Total and Checking subscale scores, and it implies a predictive relationship as the participants with high false alarms are compared to those with low false alarms.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""MOCI Total and MOCI Checking subscale"", ""relationship_supported"": ""displays"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence clearly indicates a relationship between the participants with high false alarms and the MOCI Total and Checking subscale scores, and it implies a predictive relationship as the participants with high false alarms are compared to those with low false alarms.""}"
18,29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,2018,Brain imaging and behavior,impulsivity fMRI functional connectivity,Basal Ganglia,functional connectivity,impulsivity (general),,Association,unclear,Age-related changes,unclear,,We explored the relationship between FC in the BGN and variables related to impulsive behavior in 486 participants...,no,evidence_strength not a number,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,1,revise,unclear,unclear,unclear,unclear,unclear,unclear,impulsivity (specific behavior),,,"The sentence mentions a relationship between functional connectivity and impulsive behavior, but it does not specify a particular behavior related to impulsivity. To support the claim, it would be beneficial to revise the phenotype to a more specific behavior.",," {""support_score"": 1, ""decision"": ""revise"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""Association"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": ""impulsivity (specific behavior)"", ""corrected_feature_type"": null, ""rationale"": ""The sentence mentions a relationship between functional connectivity and impulsive behavior, but it does not specify a particular behavior related to impulsivity. To support the claim, it would be beneficial to revise the phenotype to a more specific behavior.""}"
19,12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,,Associated with,unclear,Diminished central serotonergic function,unclear,,"Impulsivity in borderline personality disorder (BPD) is associated with indices of diminished central serotonergic function, independent of suicidal behavior, depression or alcohol use disorder.",no,evidence_strength not a number,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states that impulsivity in BPD is associated with indices of diminished central serotonergic function, which aligns with the extracted claim's relationship and direction.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""borderline personality disorder (BPD)"", ""feature_supported"": ""indices of diminished central serotonergic function"", ""relationship_supported"": ""Associated with"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that impulsivity in BPD is associated with indices of diminished central serotonergic function, which aligns with the extracted claim's relationship and direction.""}"
20,41098388,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,2025,The European physical journal. Special topics,impulsivity resting-state fMRI functional connectivity,"['default mode network (DMN)', 'salience network (SN)']",functional connectivity,unknown,,disrupted,unclear,,unclear,,Our preliminary rs-fMRI findings reveal significant disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks involved in cognitive functions such as decision-making and impulse control.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence directly states that there are disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks, which aligns with the extracted claim.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""individuals with opioid addiction"", ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""disrupted"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that there are disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks, which aligns with the extracted claim.""}"
21,34964209,Neural processes during response inhibition in complex posttraumatic stress disorder.,2022,Depression and anxiety,impulsivity fMRI functional connectivity,Thalamus,functional connectivity,impulsivity (general),Complex Posttraumatic Stress Disorder (CPTSD),Reduced functional connectivity,unclear,,unclear,,"There was reduced bilateral thalamic activation in participants with CPTSD relative to PTSD and controls during inhibition trials, but no activation differences between PTSD and controls for this brain region.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence clearly states reduced functional connectivity in the thalamus for participants with CPTSD during inhibition trials, which supports the claim.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""Reduced functional connectivity"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence clearly states reduced functional connectivity in the thalamus for participants with CPTSD during inhibition trials, which supports the claim.""}"
22,32699511,Neurobiological mechanisms underlying internet gaming disorder .,2020,Dialogues in clinical neuroscience,impulsivity fMRI functional connectivity,impulse control areas,functional connectivity,unknown,,reduced,unclear,,unclear,,reduced activity in impulse control areas and impaired decision making,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence mentions reduced activity in impulse control areas, which aligns with the feature type (functional connectivity) and the relationship (reduced). However, the direction is not explicitly stated in the sentence.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""reduced"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence mentions reduced activity in impulse control areas, which aligns with the feature type (functional connectivity) and the relationship (reduced). However, the direction is not explicitly stated in the sentence.""}"
