set,row_id,extractor,supporting_sentence,canonical_claim_text,trackb_original_decision,trackb_support_score,human_eval1,human_eval2,minicheck-bespoke-7b_score,minicheck-bespoke-7b_native_pred,minicheck-flan-t5_score,minicheck-flan-t5_native_pred,alignscore-large-official_score,alignscore-large-official_native_pred,deberta-nli_score,deberta-nli_native_pred
s120,HV045,Mistral 7B,"BIS action scores, total scores and BDI scores were significantly different between the groups.",impulsivity (general) is correlated with covariates.,drop,0,drop,drop,0.015905,0,0.062361,0,0.204826,,0.002720,revise
s120,HV046,Mistral 7B,In the sAUD group there were significant positive correlations between certain impulsivity measures and gray matter volume of the nucleus accumbens.,"In severe alcohol use disorder, impulsivity (general) is associated with higher structural connectivity.",revise,1,keep,keep,0.004609,0,0.059438,0,0.050718,,0.053070,revise
s120,HV047,Llama 3.1 8B,All the clusters surviving at p < 0.05 (AlphaSim correction).,"In ADHD, impulsivity (general) is associated with lower functional connectivity.",drop,0,drop,drop,0.010986,0,0.034086,0,0.001176,,0.000616,revise
s120,HV048,Qwen 2.5 7B,We found a higher reactive motor impulsivity in TD patients medicated with antipsychotics compared to unmedicated TD patients and controls.,"In Tourette disorder, ADHD, motor impulsivity is associated with higher functional connectivity.",keep,2,revise,revise,0.012431,0,0.014093,0,0.005126,,0.002449,revise
s120,HV049,Llama 3.1 8B,Weak functional connectivity to the both dorso-lateral prefrontal and orbitofrontal lobes is predictive of the degree of overhasty learning.,"In attention-deficit/hyperactivity disorder, impulsivity (general) is associated with higher functional connectivity.",revise,1,keep,keep,0.012431,0,0.025119,0,0.009695,,0.003918,drop
s120,HV050,Qwen 2.5 7B,,impulsivity (general) is associated with the neural feature.,revise,1,drop,drop,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s120,HV051,Mistral 7B,The frontoparietal network is known to be related to hyperactive and impulsive behaviors.,"In Attention Deficit Hyperactivity Disorder (ADHD), attentional impulsivity is correlated with functional connectivity.",drop,0,keep,keep,0.294089,0,0.074331,0,0.025401,,0.054626,revise
s120,HV052,Mistral 7B,Increased motor impulsiveness in BD was related to abnormal alterations in beta oscillatory activity of rIFG and functional connectivity between rIFG and pre-SMA.,"In bipolar disorder, motor impulsivity is associated with lower functional connectivity.",keep,2,keep,keep,0.294085,0,0.121448,0,0.044709,,0.796875,keep
s120,HV053,Llama 3.1 8B,"Variables significantly associated with lower quality of life were: older age, greater alcohol consumption, and the presence of impulse control disorders (including gambling, compulsive buying, intermittent explosive disorder, compulsive sexual behavior, binge-eating, and skin picking), mood/anxiety disorders, post-traumatic stress disorder, and substance use disorder.",impulsivity (general) is associated with the neural feature.,drop,0,drop,drop,0.017985,0,0.027009,0,0.044931,,0.019180,revise
s120,HV054,Qwen 2.5 7B,,the phenotype is associated with the neural feature.,drop,0,drop,drop,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s120,HV055,Llama 3.1 8B,"Decreased resting state activity of the dorsal attention network (DAN) was associated with attentional dysregulation of IGD in adolescents (r=0.4071, p=0.0017), and ECN increased functional connectivity with DAN.","In Internet Gaming Disorder, impulsivity (general) is correlated with the neural feature.",keep,2,revise,revise,0.182369,0,0.035702,0,0.010686,,0.013992,revise
s120,HV056,Llama 3.1 8B,"CPM successfully predicted PUSM scores and identified connectivity within and between multiple large-scale neural networks predictive of PUSM severity, which could be categorized into two key systems: (i) a cognitive control and self-regulation system consisting of the default mode, frontoparietal, and medial frontal networks, and (ii) a perceptual-motor integration system consisting of the visual area 1 and sensorimotor networks.",impulsivity (general) is associated with the neural feature.,keep,2,drop,drop,0.222620,0,0.025777,0,0.008039,,0.001978,revise
s120,HV057,Qwen 2.5 7B,Failures in cortical control of fronto-striatal neural circuits may underpin impulsive and compulsive acts.,motor impulsivity is associated with functional connectivity.,revise,1,keep,revise,0.222629,0,0.127711,0,0.380677,,0.024612,revise
s120,HV058,Qwen 2.5 7B,Higher motor impulsiveness was associated with a larger proactive control effect in the inferior parietal lobule and a smaller reactive control effect in the right dorsolateral prefrontal cortex (DLPFC) and anterior cingulate contex.,nonplanning impulsivity is correlated with higher functional connectivity in the frontoparietal/control network.,revise,1,keep,revise,0.201757,0,0.027338,0,0.002846,,0.697754,keep
s120,HV059,Qwen 2.5 7B,"Higher impulsivity on the Balloon Analogue Risk Task (BART) was associated with inverse resting-state connectivity between the left cognitive control and subgenual anterior cingulate extended reward networks for cocaine users, while the opposite was found for controls.","In cocaine users, impulsivity (general) is associated with lower functional connectivity.",keep,2,keep,keep,0.730730,1,0.381427,0,0.400845,,0.957031,keep
s120,HV060,Qwen 2.5 7B,"Moreover, ADHD children showed the redistribution of regional nodes and connectivity involving the default-mode, attention, and sensorimotor systems.","In ADHD, impulsivity (general) is correlated with the neural feature.",drop,0,revise,revise,0.164466,0,0.028565,0,0.010891,,0.002321,revise
s120,HV061,Llama 3.1 8B,"Reactive aggressive men compared to controls showed higher global efficiency in the left habenula, the left pulvinar in the thalamus, the left dorso-lateral prefrontal cortex, and the right temporal pole, as well as a trend for decreased clustering in DMN nodes.","In intermittent-explosive disorder (IED), impulsivity (general) is associated with higher functional connectivity in the default mode network.",revise,1,revise,revise,0.033082,0,0.032978,0,0.010442,,0.004105,revise
s120,HV062,Mistral 7B,"In the HD group, higher impulsivity scores and significantly enhanced iAFC network activity were found, especially in bilateral thalamus, right insula, and inferior frontal gyrus.","In abstinent heroin addicts, impulsivity (general) is associated with higher functional connectivity.",keep,2,keep,keep,0.148004,0,0.032761,0,0.009133,,0.001786,revise
s120,HV063,Llama 3.1 8B,Both groups displayed increased brain activity in the parietal lobe (a component of the attention network) over the years.,"In Internet Gaming Disorder, impulsivity (general) is associated with the neural feature.",drop,0,drop,drop,0.029309,0,0.059168,0,0.003574,,0.001726,revise
s120,HV064,Llama 3.1 8B,Elevated impulsivity correlates with an increased number of errors during target trials and a higher incidence of false alarms during catch trials.,"In adolescent, impulsivity (general) is correlated with higher functional connectivity in the salience network.",keep,2,revise,drop,0.008577,0,0.017628,0,0.002895,,0.000410,revise
s120,HV065,Qwen 2.5 7B,"This approach is supported by converging multimodal evidence, including lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships.",impulsivity (general) is associated with functional connectivity.,drop,0,drop,drop,0.022975,0,0.044373,0,0.008787,,0.000692,revise
s120,HV066,Mistral 7B,"Motor conflicts, but not attentional conflicts, elicited increases in midfrontal theta power during conflict resolution.",motor impulsivity is associated with higher functional connectivity.,keep,2,revise,drop,0.010986,0,0.044204,0,0.024762,,0.002241,revise
s120,HV067,Mistral 7B,"Patients exhibited greater scores (impaired impulse control) on BIS-11 subscales (attention, motor, self-control) and impairment of these impulsive subtypes was associated with increases in β and δ oscillations.","In prescription opioid use disorder, impulsivity (general) is associated with higher EEG connectivity.",keep,2,keep,keep,0.106664,0,0.033188,0,0.056422,,0.005947,revise
s120,HV068,Mistral 7B,"Girls showed greater within-network connectivity in two motor networks with more alcohol consumption, and these effects were mediated by sensation-seeking only in girls.",motor impulsivity is associated with functional connectivity.,keep,2,revise,drop,0.201735,0,0.620766,1,0.280916,,0.011391,revise
s120,HV069,Llama 3.1 8B,Our findings demonstrate that BMI can be predicted using a functional connectome-based model.,"In overweight and obesity, impulsivity (general) is associated with functional connectivity.",drop,0,revise,drop,0.020331,0,0.014062,0,0.002545,,0.000734,revise
s120,HV070,Llama 3.1 8B,"Compared to FH-, FH + adolescents showed significantly greater functional connectivity between posterior regions of the Default Mode Network (DMN) and the Fronto-Parietal Network (FPN).","In substance use disorder, impulsivity (general) is associated with higher functional connectivity in the default mode network.",revise,1,revise,drop,0.004070,0,0.051084,0,0.023532,,0.000970,revise
s120,HV071,Qwen 2.5 7B,"Risk phenotypes primarily implicated frontal-parietal networks corresponding with executive function, impulsivity, externalizing behaviors, and social-emotional intelligence.","In alcohol use disorder, impulsivity (general) is associated with functional connectivity.",revise,1,revise,revise,0.164471,0,0.433491,0,0.057066,,0.001135,revise
s120,HV072,Qwen 2.5 7B,"MJ smokers also had significantly higher BIS total and motor subscale scores relative to NS, which were positively correlated with left frontal FA values.","In chronic marijuana smokers, impulsivity (general) is associated with higher structural connectivity.",keep,2,keep,keep,0.348433,0,0.055640,0,0.003159,,0.043427,revise
s120,HV073,Qwen 2.5 7B,Decreased connectivity of the DMN sub-network with the cinguloopercular network following MPH administration was associated with elevated impulsivity and non-planning impulsiveness.,nonplanning impulsivity is associated with higher functional connectivity in the default mode network.,keep,2,keep,keep,0.067536,0,0.040961,0,0.011920,,0.000894,drop
s120,HV074,Llama 3.1 8B,There was a negative correlation between FA values in the genu and body of CC and impulsivity.,"In borderline personality disorder, impulsivity (general) is correlated with lower structural connectivity.",keep,2,keep,keep,0.042083,0,0.040387,0,0.015358,,0.001602,revise
s120,HV075,Llama 3.1 8B,"We found increased fc between left inferior frontal gyrus and right planum temporale and polare, right and left insula, right Supplementary Motor Cortex (SMA), right parietal operculum, and also between left supramarginal gyrus and right planum polare, and between left orbitofrontal cortex and left insula when compared CSBD and HC.","In Compulsive Sexual Behavior Disorder (CSBD), impulsivity (general) is associated with higher functional connectivity.",revise,1,revise,revise,0.132932,0,0.173907,0,0.002047,,0.002462,revise
s120,HV076,Llama 3.1 8B,"Our analysis revealed abnormal FC patterns that are state-dependent and state-shared in CUD patients. This study observed hyperconnectivity within the default mode network (DMN) and between DMN and other networks, which varied depending on the state. Furthermore, after adjustment for multiple comparisons, we found significant correlations between these altered dynamic FCs and clinical measures of impulsivity and borderline personality disorder.","In cocaine use disorder, impulsivity (general) is correlated with higher dynamic connectivity in the default mode network.",keep,2,keep,keep,0.678888,1,0.061651,0,0.087837,,0.984863,keep
s120,HV077,Mistral 7B,"Rs-fMRI revealed increased functional connectivity in the precuneus cortex, left postcentral gyrus, and right superior frontal gyrus in the dorsal attention network (DAN) in the IGD group in contrast to HC group.",impulsivity (general) is associated with higher functional connectivity.,revise,1,revise,revise,0.106663,0,0.017854,0,0.007840,,0.000976,revise
s120,HV078,Mistral 7B,The VBM analysis showed that impulsivity appears to be reliant on a network of cortical (medial prefrontal cortex and dorsolateral prefrontal cortex) and subcortical (ventral striatum) structures.,impulsivity (general) is correlated with structural connectivity.,revise,1,revise,revise,0.797884,1,0.953519,1,0.409464,,0.886230,keep
s120,HV079,Llama 3.1 8B,"These findings provide initial evidence of aberrant functioning in the neurocircuitry of inhibitory control, involving the thalamus, in CPTSD.","In complex posttraumatic stress disorder, impulsivity (general) is associated with the neural feature.",keep,2,revise,revise,0.407137,0,0.024312,0,0.009329,,0.023544,revise
s120,HV080,Qwen 2.5 7B,"In an exploratory subset (8 post-COVID, 12 controls), 50% of post-COVID children had abnormally low Timeliness and 25% low Impulsivity MOXO-d-CPT z-scores, whereas no controls were abnormal.","In severe COVID-19, impulsivity (general) is correlated with functional connectivity.",revise,1,revise,drop,0.003593,0,0.022287,0,0.001312,,0.000288,revise
s120,HV081,Llama 3.1 8B,The caudate volume and DLPFC-caudate RSFC was correlated with the impaired cognitive control (more incongruent errors in Stroop task) in IGD.,"In internet gaming disorder, impulsivity (general) is correlated with higher functional connectivity.",keep,2,keep,keep,0.075845,0,0.027963,0,0.004423,,0.002634,drop
s120,HV082,Llama 3.1 8B,"However, there were significant group differences in the overlapping community features of eFC1. Furthermore, in Con-PIGD, loss aversion was positively correlated with the edge community proﬁle similarity of the edge2 between left IFG and right hippocampus at right caudate. This relationship was suppressed by response consistency3 in PIGD. In addition, reduced loss aversion was negatively correlated with the promoted bottom-to-up neuromodulation from the right hippocampus to the left IFG in PIGD.","In internet gaming disorder, impulsivity (general) is correlated with lower functional connectivity.",keep,2,revise,drop,0.010986,0,0.034970,0,0.004716,,0.002001,revise
s120,HV083,Qwen 2.5 7B,"Covarying for impulsivity, as determined by the Barratt Impulsiveness Scale, rendered all previously noted voxel-level group differences non-significant.","In borderline personality disorder, impulsivity (general) is correlated with the neural feature.",drop,0,revise,drop,0.060078,0,0.033896,0,0.008671,,0.000640,revise
s120,HV084,Qwen 2.5 7B,,"In narcolepsy type 1, impulsivity (general) is associated with the neural feature.",keep,2,drop,drop,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s120,HV085,Qwen 2.5 7B,"We found that EDNOS subjects had significantly higher scores on the BIS 11, EDE-Q and OCI-R scales.","In adolescent females with eating disorder not otherwise specified (EDNOS), impulsivity (general) is associated with the neural feature.",drop,0,revise,drop,0.017985,0,0.044606,0,0.009269,,0.001546,revise
s120,HV086,Qwen 2.5 7B,"Right NAcc 11C-MADAM binding potential correlated with attentional impulsivity in individuals with gambling disorder (r = -0.73, p = 0.005).","In gambling disorder, attentional impulsivity is correlated with lower functional connectivity.",keep,2,keep,keep,0.348483,0,0.029016,0,0.002830,,0.022247,revise
s120,HV087,Qwen 2.5 7B,The Meta-Thinking Educational Program had effect on performance of ADHD children and suppressed brain regions related to DMN.,"In ADHD, attentional impulsivity is suppressed lower BOLD variability in the default mode network.",revise,1,revise,revise,0.164471,0,0.028107,0,0.115346,,0.002184,revise
s120,HV088,Mistral 7B,"Neurobiologic studies suggest that the circuitry involving frontal cortical-basal ganglia connections may be structurally or functionally different in individuals with ADHD, although the specificity of these findings has not been researched thoroughly.",attentional impulsivity is associated with functional connectivity.,drop,0,revise,drop,0.320678,0,0.169802,0,0.340095,,0.045532,revise
s120,HV089,Llama 3.1 8B,"In conclusion, heavy smokers had more impulsivity had lower levels of CSF glutamate and higher BDI scores. CSF glutamate levels negatively correlated with BDI scores in heavy smokers.","In heavy smokers, impulsivity (general) is correlated with the neural feature.",keep,2,revise,drop,0.407110,0,0.095888,0,0.124807,,0.969727,keep
s120,HV090,Mistral 7B,The ADHD brains exhibit more increased activities than normal controls in bilateral occipital lobes and left front lobe.,"In ADHD, attentional impulsivity is associated with higher BOLD variability.",revise,1,revise,revise,0.025955,0,0.032409,0,0.027800,,0.001524,revise
s120,HV091,Qwen 2.5 7B,"Moreover, the RSFC results showed that bistable right inferior parietal lobule (RIPL) connectivity with the RHPC and RCere were all inversely associated with trait anxiety.","In trait anxiety, impulsivity (general) is inversely associated with lower functional connectivity.",keep,2,revise,drop,0.053396,0,0.050178,0,0.010057,,0.001705,drop
s120,HV092,Mistral 7B,The conversion of nerve impulses into muscle contraction is initiated by binding of acetylcholine to its nicotinic receptor (nAChR) at the postsynapse.,the phenotype is associated with the neural feature.,drop,0,drop,drop,0.268863,0,0.080466,0,0.017705,,0.039124,revise
