extractor,record_id,pmid,fault_type,expected,track_a_pass,schema_valid,citation_valid,sentence_present,sentence_anchored
Llama 3.1 8B,3,39315326,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,3,39315326,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,3,39315326,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,3,39315326,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,3,39315326,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,3,39315326,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,4,38991286,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,4,38991286,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,4,38991286,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,4,38991286,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,4,38991286,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,4,38991286,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,4,38991286,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,4,38991286,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,4,38991286,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,4,38991286,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,4,38991286,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,4,38991286,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,4,38991286,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,4,38991286,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,5,29454934,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,5,29454934,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,5,29454934,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,5,29454934,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,5,29454934,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,5,29454934,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,5,29454934,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,5,29454934,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,5,29454934,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,5,29454934,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,5,29454934,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,5,29454934,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,5,29454934,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,6,38002468,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,6,38002468,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,6,38002468,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,6,38002468,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,6,38002468,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,6,38002468,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,6,38002468,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,6,38002468,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,6,38002468,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,6,38002468,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,6,38002468,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,6,38002468,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,7,39469891,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,7,39469891,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,7,39469891,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,7,39469891,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,7,39469891,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,7,39469891,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,7,39469891,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,7,39469891,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,7,39469891,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,7,39469891,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,7,39469891,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,7,39469891,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,8,37579016,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,8,37579016,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,8,37579016,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,8,37579016,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,8,37579016,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,8,37579016,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,8,37579016,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,8,37579016,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,8,37579016,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,8,37579016,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,8,37579016,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,8,37579016,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,8,37579016,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,9,39313561,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,9,39313561,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,9,39313561,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,9,39313561,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,9,39313561,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,9,39313561,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,9,39313561,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,9,39313561,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,9,39313561,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,9,39313561,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,9,39313561,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,9,39313561,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,9,39313561,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,9,39313561,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,10,32670033,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,10,32670033,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,10,32670033,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,10,32670033,number_changed,reject,False,True,True,True,False
Llama 3.1 8B,10,32670033,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,10,32670033,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,10,32670033,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,10,32670033,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,10,32670033,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,10,32670033,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,10,32670033,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,10,32670033,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,10,32670033,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,10,32670033,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,10,32670033,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,11,22645253,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,11,22645253,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,11,22645253,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,11,22645253,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,11,22645253,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,11,22645253,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,11,22645253,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,11,22645253,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,11,22645253,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,11,22645253,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,11,22645253,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,11,22645253,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,12,23555827,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,12,23555827,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,12,23555827,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,12,23555827,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,12,23555827,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,12,23555827,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,12,23555827,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,12,23555827,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,12,23555827,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,12,23555827,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,12,23555827,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,12,23555827,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,12,23555827,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,13,39577688,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,13,39577688,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,13,39577688,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,13,39577688,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,13,39577688,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,13,39577688,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,13,39577688,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,13,39577688,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,13,39577688,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,13,39577688,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,13,39577688,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,13,39577688,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,13,39577688,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,14,30178423,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,14,30178423,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,14,30178423,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,14,30178423,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,14,30178423,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,14,30178423,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,14,30178423,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,14,30178423,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,14,30178423,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,14,30178423,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,14,30178423,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,14,30178423,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,14,30178423,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,15,26040546,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,15,26040546,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,15,26040546,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,15,26040546,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,15,26040546,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,15,26040546,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,15,26040546,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,15,26040546,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,15,26040546,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,15,26040546,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,15,26040546,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,15,26040546,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,15,26040546,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,15,26040546,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,16,33519558,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,16,33519558,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,16,33519558,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,16,33519558,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,16,33519558,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,16,33519558,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,16,33519558,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,16,33519558,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,16,33519558,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,16,33519558,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,16,33519558,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,16,33519558,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,16,33519558,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,17,31264888,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,17,31264888,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,17,31264888,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,17,31264888,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,17,31264888,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,17,31264888,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,17,31264888,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,17,31264888,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,17,31264888,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,17,31264888,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,17,31264888,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,17,31264888,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,17,31264888,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,18,33528803,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,18,33528803,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,18,33528803,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,18,33528803,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,18,33528803,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,18,33528803,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,18,33528803,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,18,33528803,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,18,33528803,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,19,32651411,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,19,32651411,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,19,32651411,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,19,32651411,number_changed,reject,False,True,True,True,False
Llama 3.1 8B,19,32651411,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,19,32651411,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,19,32651411,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,19,32651411,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,19,32651411,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,19,32651411,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,19,32651411,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,19,32651411,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,19,32651411,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,19,32651411,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,19,32651411,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,20,35385563,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,20,35385563,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,20,35385563,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,20,35385563,number_changed,reject,False,True,True,True,False
Llama 3.1 8B,20,35385563,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,20,35385563,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,20,35385563,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,20,35385563,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,20,35385563,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,20,35385563,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,20,35385563,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,20,35385563,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,20,35385563,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,20,35385563,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,20,35385563,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,21,34012386,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,21,34012386,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,21,34012386,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,21,34012386,number_changed,reject,False,True,True,True,False
Llama 3.1 8B,21,34012386,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,21,34012386,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,21,34012386,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,21,34012386,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,21,34012386,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,21,34012386,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,21,34012386,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,21,34012386,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,21,34012386,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,21,34012386,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,21,34012386,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,22,38914808,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,22,38914808,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,22,38914808,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,22,38914808,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,22,38914808,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,22,38914808,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,22,38914808,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,22,38914808,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,22,38914808,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,22,38914808,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,22,38914808,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,22,38914808,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,23,37086305,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,23,37086305,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,23,37086305,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,23,37086305,number_changed,reject,False,True,True,True,False
Llama 3.1 8B,23,37086305,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,23,37086305,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,23,37086305,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,23,37086305,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,23,37086305,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,23,37086305,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,23,37086305,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,23,37086305,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,23,37086305,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,23,37086305,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,24,29101492,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,24,29101492,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,24,29101492,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,24,29101492,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,24,29101492,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,24,29101492,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,24,29101492,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,24,29101492,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,24,29101492,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,24,29101492,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,24,29101492,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,24,29101492,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,24,29101492,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,25,26364127,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,25,26364127,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,25,26364127,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,25,26364127,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,25,26364127,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,25,26364127,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,25,26364127,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,25,26364127,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,25,26364127,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,25,26364127,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,25,26364127,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,25,26364127,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,25,26364127,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,26,33158664,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,26,33158664,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,26,33158664,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,26,33158664,number_changed,reject,False,True,True,True,False
Llama 3.1 8B,26,33158664,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,26,33158664,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,26,33158664,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,26,33158664,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,26,33158664,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,26,33158664,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,26,33158664,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,26,33158664,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,26,33158664,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,26,33158664,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,27,28185093,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,27,28185093,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,27,28185093,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,27,28185093,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,27,28185093,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,27,28185093,schema_missing_field,reject,False,False,True,True,True
