pmid,title,response,mentions_pmid,has_anchored_sentence,unparseable_as_schema,error
29454934,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,"This study (PMID: 29454934) investigated the time scale properties of functional connectivity in the brain during rest and task states using fMRI data from 68 subjects. The researchers employed a novel measure, detrended partial cross-correlation analysis (DPCCA), to examine correlations between brain regions at different time scales. 

The results showed that the time scales of within-network connectivity in the default mode network (DMN) and task networks were modulated in opposite directions across rest and task states. Specifically, the time scale increased during rest compared to task in the DMN, while it decreased in task networks.

Notably, the study found a significant correlation between the within-network connectivity time scale of the pre-supplementary motor area (a region critical for proactive inhibitory control) and impulsivity. The results showed that individuals with higher impulsivity (as measured by the Barratt impulsivity scale) had shorter within-network connectivity time scales in this region, which was also associated with longer stop signal reaction times. 

These findings suggest that the time scale properties of brain networks may vary across mental states and provide evidence for the role of low-frequency fluctuations of BOLD signals in behavioral control, particularly in relation to impulsivity.",True,False,True,
40630648,Identifying a Biological Signature of Trauma-Related Neurodegeneration Following Repeated Traumatic Brain Injuries Compared with Healthy Controls.,"This study investigated the relationship between repeated traumatic brain injuries (TBIs) and neurodegeneration, comparing participants with a history of TBIs to healthy controls. The study found that despite a higher symptom burden, participants with TBIs did not exhibit significant differences in core diagnostic biomarkers for Alzheimer's disease (AD) compared to controls. However, volumetrics in critical brain regions, particularly the amygdala, were associated with several symptom domains in the TBI group.

Notably, the study found that impulsivity, as measured by the Barratt Impulsivity Scale (BIS), was associated with amygdala normative percentile and/or amygdala asymmetry index in the TBI group. This suggests that impulsivity may be linked to changes in the amygdala, a region critical for emotional processing and regulation.

The study's findings have implications for the development of early biomarkers for chronic symptom burden in individuals with a history of TBIs. While PET scans may not be sensitive enough to detect neuropathology in this population, volumetrics in critical brain regions, such as the amygdala, may provide a more viable early indicator of chronic symptom burden.

Overall, this study highlights the complex relationship between TBIs, neurodegeneration, and symptom burden, and underscores the need for further",False,False,True,
14572528,Response inhibition and impulsivity: an fMRI study.,"This 2003 fMRI study (PMID: 14572528) investigated the neural correlates of response inhibition in 19 normal subjects performing a Go/NoGo task. The study found that response inhibition was most prominent in the right lateral orbitofrontal cortex, with additional activation in the superior temporal gyrus, medial orbitofrontal cortex, cingulate gyrus, and inferior parietal lobule, predominantly on the right side.

The study also explored the relationship between impulsivity and neural response during response inhibition. Results showed that subjects with greater impulsivity scores and those who made more errors had greater activation of paralimbic areas, while less impulsive individuals and those with fewer errors activated higher order association areas. Notably, the study found a strong association between posterior orbital activation and Eysenck's impulsivity score, suggesting that greater engagement of the right orbitofrontal cortex is needed to maintain behavioral inhibition in impulsive individuals.

Interestingly, the study found that lower IQ was a more significant predictor of errors of commission during the task than impulsivity scores. The study's findings suggest that neuroimaging of brain activity during response inhibition tasks may be useful in understanding the functional neuroanatomy and associated neurochemistry of response inhibition, and may also inform the development",True,False,True,
33426970,Add-on repetitive transcranial magnetic stimulation in patients with opioid use disorder undergoing methadone maintenance therapy.,"This study examined the effects of repetitive transcranial magnetic stimulation (rTMS) on individuals with opioid use disorder (OUD) undergoing methadone maintenance therapy (MMT). The results suggest that rTMS may have a beneficial effect on impulsivity, as measured by the Barratt Impulsiveness Scale-11 (BIS-11), particularly in the attentional subscale. The active rTMS group showed significant improvements in BIS-11 attentional subscales compared to the sham group (P = 0.04). Additionally, the active rTMS group had lower commission T-scores (C-TS) on the Continuous Performance Tests (CPTs), indicating improved attention (P = 0.02). These findings suggest that rTMS may be a useful adjunctive treatment for reducing impulsivity and improving attention in individuals with OUD. 

The study also found that rTMS had a significant effect on depressive symptoms, as measured by the Hamilton Depression Rating Scale (HDRS), with the active rTMS group showing significant improvements compared to the sham group (P = 0.003). However, rTMS did not appear to have a significant effect on craving or heroin use behavior. Overall, the results of this study suggest that rT",False,False,True,
41098388,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,"This evidence summary focuses on the relationship between impulsivity and neuroimaging, specifically resting-state functional magnetic resonance imaging (rs-fMRI), in individuals with opioid use disorder.

Research has shown that individuals with opioid addiction exhibit significant disruptions in functional connectivity within key brain networks, including the default mode network (DMN) and salience network (SN) (PMID: 41098388). These networks are involved in cognitive functions such as decision-making and impulse control. The DMN is responsible for introspection and self-reflection, while the SN is involved in detecting and responding to salient stimuli.

The study found that individuals with opioid addiction had altered functional connectivity within these networks, which may contribute to impulsivity and other cognitive deficits. The DMN and SN are critical for regulating impulse control, and disruptions in these networks may lead to impulsive behaviors.

The use of rs-fMRI has provided valuable insights into the neural mechanisms underlying opioid addiction and impulsivity. This non-invasive imaging technique allows researchers to examine functional connectivity in the brain while participants are at rest, providing a unique window into the neural networks involved in addiction and impulsivity.

Overall, the findings of this study highlight the importance of standardizing research practices and conducting longitudinal randomized studies to better understand the effects of opioid addiction on brain function and",True,False,True,
24834038,Brain functional connectivity changes in children that differ in impulsivity temperamental trait.,"This study (PMID: 24834038) investigated the relationship between impulsivity and brain functional connectivity in typically developing children. The researchers used magnetic resonance imaging (MRI) to measure brain activity at rest and related it to impulsivity scores obtained from parents' questionnaires. 

Key findings include two default mode network (DMN) clusters, located at the posterior cingulate cortex and the right angular gyrus, which showed a negative correlation with impulsivity scores. The study also found that the impulsivity trait modulated the pattern of functional connectivity between the DMN and other brain networks, particularly reducing the anti-phasic relation between the DMN and action-related networks in high impulsive children.

These results suggest that impulsivity, as a personality trait, has a modulatory influence on the functional connectivity of resting-state brain networks in children. This study bridges the gap between developmental approaches and behavioral neuroscience by linking questionnaire-based data with brain structure and function. The findings provide evidence that impulsivity is associated with altered brain connectivity patterns, which may contribute to the development of behavioral problems in children.",True,False,True,
28189592,Dissociable frontostriatal white matter connectivity underlies reward and motor impulsivity.,"A recent neuroimaging study (28189592) investigated the relationship between frontostriatal white matter connectivity and impulsivity in healthy individuals. The study used diffusion imaging data and probabilistic tractography to examine the association between white matter tracts and reward and motor impulsivity measures.

Key findings suggest that individual differences in white matter connectivity between the ventral striatum and prefrontal cortex regions (ventromedial and dorsolateral) are associated with reward impulsivity, as measured by delay discounting. In contrast, connectivity between the dorsal striatum and supplementary motor area is linked to motor impulsivity.

These results indicate that different types of impulsivity may be driven by distinct frontostriatal neural circuitry, supporting the idea of dissociable neural mechanisms underlying various forms of impulsive behavior. The study's findings also highlight the importance of structural connectivity in explaining behavioral variation, suggesting that white matter tracts play a critical role in modulating impulsive tendencies.",True,False,True,
31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,"This longitudinal magnetic resonance imaging (MRI) study investigated the neural correlates of internet gaming disorder (IGD) in young males. The study found that individuals with IGD exhibited altered functional connectivity (FC) in the dorsal striatum, a brain region involved in reward processing and impulse control. Specifically, they showed decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC), suggesting a weakening of prefrontal control. In contrast, they exhibited increased FC between the right dorsal putamen and right middle occipital gyrus (MOG), indicating strengthening of the sensorimotor network.

These findings suggest that IGD may be associated with changes in the neural circuits underlying impulsivity and reward processing. The study's results also showed a significant correlation between changes in dorsal putamen-MOG FC and gaming time per day, indicating that the neural changes observed may be related to the severity of IGD.

The study's use of longitudinal MRI assessments allowed for the examination of changes in brain structure and function over time, providing valuable insights into the neural mechanisms underlying IGD. The findings have implications for the development of novel treatments for IGD, which may target the altered neural circuits involved in impulsivity and reward processing.",False,False,True,
28860514,Delay discounting is associated with the fractional amplitude of low-frequency fluctuations and resting-state functional connectivity in late adolescence.,"This study investigated the neural correlates of delay discounting (DD) in late adolescence using resting-state functional magnetic resonance imaging (RS-fMRI). The results showed that higher DD was associated with increased fractional amplitude of low-frequency fluctuations (fALFF) in the dorsal anterior cingulate cortex (dACC), a region involved in conflict monitoring and strategy adaptation. Additionally, DD was positively correlated with resting-state functional connectivity (RSFC) between the dACC and the left dorsolateral prefrontal cortex (DLPFC), a critical functional circuit in the cognitive control network.

These findings suggest that impulsivity, as measured by DD, is linked to altered neural activity and connectivity in regions involved in executive function and self-regulation. The study's results provide new insights into the neural basis of DD in adolescents and highlight the importance of considering individual differences in impulsivity when examining the neural correlates of decision-making.

The study's findings have implications for our understanding of the neural mechanisms underlying impulsivity and decision-making in adolescents. The results suggest that impulsivity may be associated with altered neural activity and connectivity in regions involved in executive function and self-regulation, and that these effects may persist even after adjusting for general intelligence and trait impulsivity. Further research is needed to replicate and extend these findings, and to explore",False,False,True,
34993375,Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants.,"This study (PMID: 34993375) investigated the association between brain networks and COVID-19 risk in a large cohort of 3662 participants from the UK Biobank Resource. Using functional magnetic resonance imaging (fMRI) scans, the researchers identified six brain network fingerprints associated with COVID-19 positive status. The findings suggest that individuals with reduced connectivity in top-down attention and executive networks, such as the central executive and ventral salience networks, are at increased risk of COVID-19 infections. Conversely, increased internal connectivity within introspective and instinctive networks, such as the default mode, ventral salience, subcortical, and sensorimotor networks, was also linked to higher infection rates.

Notably, the study's results imply a potential link between brain network organization and impulsivity. The identified risk networks, characterized by reduced top-down control and increased internal connectivity, may be relevant to impulsivity and impulse control deficits. This is because top-down attention and executive networks are typically involved in regulating impulsive behaviors, whereas introspective and instinctive networks are often associated with automatic and impulsive processing. Therefore, the study's findings may have implications for the treatment of illnesses characterized by impulsivity, such as attention-deficit/hyperactivity disorder (ADHD).",True,False,True,
37561637,Abnormal frontostriatal connectivity and serotonin function in gambling disorder: A preliminary exploratory study.,"A recent study (PMID: 37561637) investigated the neurobiological mechanisms underlying gambling disorder, focusing on frontostriatal connectivity and neurotransmitter systems. The study found that individuals with gambling disorder exhibited abnormal frontostriatal connectivity, specifically a loss of functional connectivity between the right nucleus accumbens (NAcc) and the right dorsolateral prefrontal cortex (DLPFC). 

Notably, the study also found that serotonergic function, as measured by 11C-MADAM binding, was significantly altered in individuals with gambling disorder. Specifically, right NAcc 11C-MADAM binding potential correlated with attentional impulsivity in individuals with gambling disorder, suggesting a link between serotonergic function and impulsivity in this population.

These findings contribute to our understanding of the neurobiological mechanisms underlying gambling disorder and may have implications for the development of treatments targeting this condition. The study's results highlight the importance of frontostriatal connectivity and serotonergic function in the pathophysiology of gambling disorder, and suggest that impulsivity may be a key symptom that is closely tied to these neural mechanisms.",True,False,True,
22901705,Alterations in regional homogeneity of resting-state brain activity in internet gaming addicts.,"This study (PMID: 22901705) investigated the brain functions of internet gaming addicts (IGA) using resting-state functional magnetic resonance imaging (fMRI). The results showed that IGA subjects had altered regional homogeneity (ReHo) in various brain regions compared to healthy controls. Specifically, IGA subjects exhibited increased ReHo in brain regions associated with sensory-motor coordination, such as the brainstem, inferior parietal lobule, left posterior cerebellum, and left middle frontal gyrus. Conversely, they showed decreased ReHo in regions related to visual and auditory functions, including the temporal, occipital, and parietal lobes.

These findings suggest that long-term online gaming may lead to changes in brain activity patterns, particularly in regions involved in sensory-motor processing and regulation. The increased ReHo in sensory-motor coordination regions may indicate enhanced brain synchronization, potentially contributing to the addictive behavior. In contrast, the decreased ReHo in visual and auditory regions may reflect reduced excitability or decreased sensitivity to external stimuli, which could also contribute to the development of IGA.

Overall, this study provides evidence that impulsivity and neuroimaging are linked, as the altered brain activity patterns in IGA subjects may be related to the impulsive behavior associated with internet gaming",True,False,True,
41281564,Associations between structural injury and task-based corticomuscular connectivity after stroke.,"This study investigated the relationship between structural injury and task-based corticomuscular connectivity after stroke (PMID: 41281564). The researchers used electroencephalography (EEG) and electromyography (EMG) recordings during a grip task to assess corticomuscular coherence (CMC) in individuals with early subacute stroke. 

The study found that in individuals with mild-moderate corticospinal tract (CST) injury, greater injury was associated with higher CMC between specific cortical regions and muscles. Conversely, in individuals with higher CST integrity, CST integrity was positively related to CMC between other cortical regions and muscles. These findings suggest that post-stroke structural injury modulates task-based corticomuscular connectivity and highlight the complexity of structure-function relationships in stroke.

The study's results have implications for understanding the neural mechanisms underlying post-stroke recovery and may inform targeted rehabilitation strategies to optimize recovery. The findings also underscore the importance of considering individual differences in CST injury and integrity when investigating structure-function relationships in stroke.

The study's use of task-based functional connectivity measurements, which reflect synchronous activity between cortex and muscle, provides additional insight into the neural mechanisms underlying post-stroke recovery. The identification of specific cortical regions and muscles involved in adaptive and/or compensatory neuro",True,False,True,
38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,"A recent study (PMID: 38002468) investigated the neural correlates of impulsivity in individuals with chronic heroin use disorder (HUD) using resting-state functional magnetic resonance imaging (rs-fMRI). The study found that patients with HUD exhibited higher levels of trait impulsivity, particularly motor and nonplanning impulsivity, compared to healthy controls. 

The researchers used the insula as a seed point to examine the functional connectivity (FC) between the insula and the whole brain. They discovered that changes in FC between the right insula and certain brain regions, including the lateral occipital cortex and the right angular gyrus, were positively correlated with total trait impulsivity scores and specific impulsivity subtypes. Conversely, changes in FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were negatively correlated with trait impulsivity.

These findings suggest that the insula may play a critical role in impulsivity and could serve as a potential biomarker for identifying trait impulsivity in patients with HUD. The study's results contribute to our understanding of the neural mechanisms underlying impulsivity in addiction and highlight the importance of examining the intrinsic factor structure of impulsivity in HUD.",True,False,True,
15309395,Negative correlation between right prefrontal activity during response inhibition and impulsiveness: a fMRI study.,"A study published in 2004 (PMID: 15309395) investigated the relationship between impulsivity and brain activity during a Go/No-Go task using functional magnetic resonance imaging (fMRI). The study found that individuals with higher motor impulsiveness showed reduced activity in the right dorsolateral prefrontal cortex (RDLPFC) during response inhibition. This suggests that the RDLPFC may play a key role in regulating impulsivity, with reduced activity in this region potentially contributing to impulsive behavior. The findings support the idea that neuroimaging can be used to identify individual differences in impulsivity and may have implications for understanding the neural mechanisms underlying impulsive behavior.",True,False,True,
34461353,Impulsivity is related to overhasty risk learning in attention-deficit/hyperactivity disorder: A computational psychiatric approach.,"A recent study (PMID: 34461353) investigated the relationship between impulsivity and risk-taking behavior in individuals with attention-deficit/hyperactivity disorder (ADHD). The researchers used a computational modeling approach and functional magnetic resonance imaging (fMRI) data to examine how impulsivity influences the cognitive process of risk learning. 

The study found that impulsivity, as measured by the Barratt Impulsiveness Scale (BIS), was significantly correlated with overhasty learning in ADHD patients. This suggests that individuals with higher impulsivity scores tend to update their beliefs more quickly during risk learning, leading to enhanced risk-taking behavior. 

Furthermore, the researchers created a connectome-based predictive model (CPM) using fMRI data to predict the degree of risk-learning bias. The model identified negatively correlated edges in the brain network, particularly in the frontal lobe, including the orbitofrontal area, as predictive of overhasty learning. 

These findings suggest that impulsivity in ADHD patients is associated with overhasty updating of beliefs during risk learning, and that weak functional connectivity to the frontal lobe, particularly the orbitofrontal area, may be a key factor in this process. The study's results provide new insights into the neural mechanisms underlying impulsivity and risk-taking behavior in",True,False,True,
28783574,Go/No-Go task performance predicts differences in compulsivity but not in impulsivity personality traits.,"A recent study (28783574) investigated the relationship between performance on the Go/No-Go task, a measure of response inhibition, and personality traits related to impulsivity and compulsivity. The study found that individuals who performed poorly on the task, as indicated by high false alarms, exhibited higher levels of compulsivity, as measured by the Maudsley Obsessional Compulsive Questionnaire (MOCI). Specifically, they displayed a high-risk strategy of responding and scored higher on the MOCI Total and Checking subscales. However, no significant relationship was found between task performance and impulsivity, as measured by the Barratt Impulsiveness Scale (BIS-11). These findings suggest that the Go/No-Go task may be more closely related to compulsivity than impulsivity, highlighting the need for further research to clarify the distinction between these two personality traits and to improve the convergence of clinical scales and behavioral measures.",True,False,True,
37673288,Resting-state functional magnetic resonance imaging alterations in borderline personality disorder: A systematic review.,"This systematic review of 15 resting-state functional magnetic resonance imaging (rs-fMRI) studies in borderline personality disorder (BPD) individuals found evidence of altered brain connectivity patterns. Specifically, aberrant resting-state functional connectivity was observed within and between the default mode network (DMN), salience network (SN), and central executive network (CEN) in individuals with BPD compared to healthy controls. 

Impulsivity, a key symptom of BPD, was not directly investigated in this review, but the identified brain regions, including the bilateral amygdala, anterior and posterior cingulate cortex, hippocampus, and prefrontal cortex, are involved in emotion regulation and impulse control. The findings suggest that these brain regions may be disrupted in individuals with BPD, contributing to the development of impulsivity and other clinical symptoms.

The review highlights the need for future studies to explore the neural correlates of BPD using multimodal methodologies and longitudinal designs. This could provide a better understanding of the complex relationships between brain function, impulsivity, and other symptoms of BPD.",False,False,True,
