record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
11,36747838,Individual Differences in Delay Discounting are Associated with Dorsal Prefrontal Cortex Connectivity in Youth.,2023,bioRxiv : the preprint server for biology,attentional impulsivity resting-state fMRI,default mode network,functional connectivity,impulsivity (general),youth,association,higher,greater functional connectivity,unclear,,"Delay discounting was associated with greater functional connectivity between the dorsal prefrontal cortex and other parts of the default mode network, and reduced connectivity with regions in the dorsal and ventral attention networks.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a specific association between impulsivity and functional connectivity in the default mode network.",
12,39284401,"Transcranial Magnetic Stimulation-Induced Plasticity Improving Cognitive Control in Obsessive-Compulsive Disorder, Part II: Task-Based Neural Predictors of Treatment Response.",2025,Biological psychiatry,attentional impulsivity functional connectivity,,unknown,unknown,,,unclear,,unclear,,,no,evidence_strength not a number,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,cognitive control,cognitive control,improving,The sentence clearly supports the claim by stating that transcranial magnetic stimulation-induced plasticity improves cognitive control in obsessive-compulsive disorder.,
13,35277392,Prefrontal Cortical Connectivity Mediates Locus Coeruleus Noradrenergic Regulation of Inhibitory Control in Older Adults.,2022,The Journal of neuroscience : the official journal of the Society for Neuroscience,motor impulsivity functional connectivity,prefrontal cortical,functional connectivity,unknown,healthy adults,mediates,higher,noradrenergic regulation,unclear,significant,"We confirmed a significant role of prefrontal connectivity in mediating the effect of individual differences in the locus coeruleus on behavior, where this effect was moderated by age, over and above adjustment for the mean effects of age.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,inhibitory control,functional connectivity,higher,"The sentence partially supports the claim, but the phenotype and feature need to be corrected. The relationship is supported, but the direction is not explicitly stated. The directness is unclear, but the sentence does not name both phenotype and feature.",
1,29454934,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,default mode network,unknown,impulsivity (general),resting-state fMRI,correlated inversely,lower,low frequency fluctuations of BOLD signals,direct,supportive,"In regions of interest analysis, the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral,lower,"The sentence clearly supports the extracted claim by stating a direct inverse correlation between the within-network connectivity time scale of the pre-supplementary motor area and impulsivity, as well as stop signal reaction time.",
2,40630648,Identifying a Biological Signature of Trauma-Related Neurodegeneration Following Repeated Traumatic Brain Injuries Compared with Healthy Controls.,2025,Neurotrauma reports,Barratt Impulsiveness Scale fMRI,amygdala,structural connectivity,unknown,trauma-related neurodegeneration,associated,higher,cortical volumetrics,unclear,statistically significant,"Volumetrics in critical brain regions were associated with several symptom domains in the TBI group, indicating that cortical volumetrics (especially in the amygdala) may be a more viable early biomarker of chronic symptom burden in this population than PET scans.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,chronic symptom burden,structural,,"The sentence partially supports the claim, but the phenotype and feature type need to be corrected. The phenotype is not 'unknown' but rather 'chronic symptom burden'. The feature type is not 'structural connectivity' but rather 'structural'. The direction is supported as 'higher' is implied by 'more viable early biomarker'.",
3,14572528,Response inhibition and impulsivity: an fMRI study.,2003,Neuropsychologia,Barratt Impulsiveness Scale fMRI,orbitofrontal cortex,unknown,impulsivity (general),normal subjects,association,higher,neural response,direct,strong,Neural response during response inhibition was most prominent in the right lateral orbitofrontal cortex.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,no,,,,"The sentence does not mention impulsivity or any other phenotype, and does not mention a feature or a relationship.",
4,33426970,Add-on repetitive transcranial magnetic stimulation in patients with opioid use disorder undergoing methadone maintenance therapy.,2021,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale neuroimaging,dorsolateral prefrontal cortex,unknown,impulsivity (general),opioid use disorder,treatment,higher,repetitive transcranial magnetic stimulation,unclear,significant,"However, HDRS scores, BIS-11 attentional subscales, and CPTs commission T-scores (C-TS) were significantly lower in the active rTMS group (P = .003, 0.04, and 0.02, respectively) than in the sham group.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,no,,,,"The sentence does not mention impulsivity, treatment, or higher impulsivity, so it does not support the extracted claim.",
5,41098388,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,2025,The European physical journal. Special topics,impulsivity resting-state fMRI functional connectivity,"default mode network (DMN), salience network (SN), executive control network (ECN)",functional connectivity,impulsivity (general),opioid use disorder,disruptions,lower,opioid addiction,unclear,preliminary,Our preliminary rs-fMRI findings reveal significant disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks involved in cognitive functions such as decision-making and impulse control.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning disruptions in functional connectivity in individuals with opioid addiction, specifically within DMN and SN networks involved in cognitive functions such as decision-making and impulse control, which aligns with the phenotype of impulsivity and the feature type of functional connectivity.",
6,24834038,Brain functional connectivity changes in children that differ in impulsivity temperamental trait.,2014,Frontiers in behavioral neuroscience,impulsivity resting-state fMRI functional connectivity,default mode network (DMN),functional connectivity,impulsivity (general),typically developing children,negatively correlated,lower,modulatory influence,direct,moderate,We found two DMN clusters located at the posterior cingulate cortex and the right angular gyrus which were negatively correlated with impulsivity scores.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,negatively correlated,,
7,28189592,Dissociable frontostriatal white matter connectivity underlies reward and motor impulsivity.,2017,NeuroImage,impulsivity fMRI functional connectivity,frontostriatal,structural connectivity,impulsivity (general),healthy populations,association,higher,structural connectivity,direct,strong,"We found a double dissociation such that individual differences in white matter connectivity between the ventral striatum and the ventromedial prefrontal cortex and dorsolateral prefrontal cortex was associated with reward impulsivity, as measured by delay discounting, whereas connectivity between dorsal striatum and supplementary motor area was associated with motor impulsivity, but not vice versa.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (reward),structural connectivity,higher,"The sentence clearly supports the association between impulsivity and structural connectivity, and the direction of higher connectivity is also supported. The corrected phenotype is reward impulsivity, which is a subtype of the general impulsivity phenotype.",
8,31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,impulsivity fMRI functional connectivity,dorsal striatum,functional connectivity,unknown,longitudinal follow-up,decreased,unclear,uncontrolled gaming,unclear,significant,Subjects with IGD had decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,no,evidence_strength not a number,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,Internet gaming disorder,functional connectivity,decreased,,
9,28860514,Delay discounting is associated with the fractional amplitude of low-frequency fluctuations and resting-state functional connectivity in late adolescence.,2017,Scientific reports,trait impulsivity resting-state fMRI,dorsal anterior cingulate cortex (dACC) and the left dorsolateral prefrontal cortex (DLPFC),BOLD variability,impulsivity (general),late adolescence,association,higher,neural underpinnings,direct,strong,"At the regional level, we found an association between higher DD and greater fALFF in the dorsal anterior cingulate cortex (dACC), which is involved in conflict monitoring and strategy adaptation.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence clearly supports the association between higher impulsivity and greater fALFF in the dACC, which is involved in conflict monitoring and strategy adaptation. The sentence directly names the phenotype (impulsivity), feature type (BOLD variability), relationship (association), direction (higher), and brain system (dACC).",
10,34993375,Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants.,2021,"Chronic stress (Thousand Oaks, Calif.)",trait impulsivity functional connectivity,default mode network,functional connectivity,unknown,general population,associated with,higher,reduced connectivity,direct,strong,"COVID-19 positive status was associated with 1) reduced connectivity between the central executive and ventral salience, as well as between the dorsal salience and default mode networks;",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,COVID-19 positive status,functional connectivity,reduced,,
11,37561637,Abnormal frontostriatal connectivity and serotonin function in gambling disorder: A preliminary exploratory study.,2023,Journal of behavioral addictions,attentional impulsivity resting-state fMRI,frontostriatal,functional connectivity,unknown,resting-state fMRI,associated with,unclear,serotonin function,direct,significant,Individuals with gambling disorder showed loss of functional connectivity between the right nucleus accumbens (NAcc) and a region in the right dorsolateral prefrontal cortex (DLPFC) (PFWE <0.05).,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,gambling disorder,functional connectivity,decreased,"The sentence clearly states that individuals with gambling disorder showed a loss of functional connectivity, which implies a decrease in functional connectivity. The corrected phenotype is 'gambling disorder', the corrected feature type is 'functional connectivity', and the corrected direction is 'decreased'.",
12,22901705,Alterations in regional homogeneity of resting-state brain activity in internet gaming addicts.,2012,Behavioral and brain functions : BBF,motor impulsivity resting-state fMRI,sensory-motor coordination,BOLD variability,unknown,resting-state fMRI,enhanced,higher,long-time online game playing,unclear,study results,"IGA subjects show enhanced ReHo in brainstem, inferior parietal lobule, left posterior cerebellum, and left middle frontal gyrus.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,,
13,41281564,Associations between structural injury and task-based corticomuscular connectivity after stroke.,2025,Frontiers in neurology,motor impulsivity functional connectivity,cortico-cortical and cortico-muscular,unknown,unknown,early subacute stroke,positive correlation,higher,neuroplastic-like mechanisms,unclear,significant,"However, in the mild-moderate CST injury subgroup (n = 11), greater injury correlated with higher coherence between electrodes overlying the supplementary motor area and affected extensor digitorum (high beta: ρ = 0.83, p = 0.001).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,unknown,unknown,higher,The sentence clearly supports the claim by stating a positive correlation between greater injury and higher coherence between electrodes overlying the supplementary motor area and affected extensor digitorum.,
1,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,insula,functional connectivity,impulsivity (general),Chronic Heroin Use Disorder,predict,higher,functional connectivity,unclear,significant,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity,",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a positive correlation between insula connectivity abnormalities and impulsivity scores, which aligns with the predicted relationship of higher impulsivity.",
2,15309395,Negative correlation between right prefrontal activity during response inhibition and impulsiveness: a fMRI study.,2004,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale fMRI,prefrontal cortex,unknown,impulsivity (general),healthy volunteers,correlation,lower,response inhibition,unclear,,A negative correlation was observed between the motor impulsiveness of BIS-11 and No-Go-related activation in the right dorsolateral prefrontal cortex (RDLPFC).,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,lower,"The sentence clearly supports the extracted claim, mentioning impulsiveness as the phenotype, a feature associated with brain activity in the prefrontal cortex, a correlation relationship, a lower direction, and a direct association between impulsiveness and brain activity during response inhibition.",
3,34461353,Impulsivity is related to overhasty risk learning in attention-deficit/hyperactivity disorder: A computational psychiatric approach.,2021,Journal of psychiatric research,Barratt Impulsiveness Scale fMRI,frontal lobe,unknown,unknown,attention-deficit/hyperactivity disorder (ADHD),associated with,higher,overhasty updating of beliefs during risk learning,unclear,significant correlation,"The degree of overhasty learning in ADHD patients was significantly correlated with the BIS score (r = 0.424, p = 0.009).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,impulsivity,overhasty risk learning,,"The sentence partially supports the claim but needs revision or is indirect because it does not directly state the relationship between impulsivity and overhasty risk learning. However, it does support the association between impulsivity and overhasty risk learning in ADHD patients.",
4,28783574,Go/No-Go task performance predicts differences in compulsivity but not in impulsivity personality traits.,2017,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,inhibitory control,unknown,unknown,healthy participants,predicts,higher,Go/No-Go task performance,direct,supporting,"Results showed that participants with high false alarms (H-FA) displayed a high-risk strategy of responding, and higher scores in the MOCI Total and MOCI Checking subscale compared to participants with low false alarms (L-FA).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,no,,,,"The sentence does not support the claim because it does not mention the phenotype or feature related to the Go/No-Go task performance, which is the main subject of the claim.",
5,37673288,Resting-state functional magnetic resonance imaging alterations in borderline personality disorder: A systematic review.,2023,Journal of affective disorders,impulsivity resting-state fMRI functional connectivity,"default mode network (DMN), salience network (SN), central executive network (CEN)",functional connectivity,unknown,healthy controls,aberrant,unclear,rs-fMRI studies,unclear,systematic review,"Overall, aberrant resting-state functional connectivity (rs-FC) within and between default mode network (DMN), salience network (SN), and central executive network (CEN) were observed in BPD compared to healthy controls, as well as selective functional impairments in bilateral amygdala, anterior and posterior cingulate cortex, hippocampus, and prefrontal cortex.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,borderline personality disorder (BPD),functional connectivity,in BPD compared to healthy controls,"The sentence clearly supports the claim with specific details about the phenotype, feature, relationship, and direction/directness.",
6,37887440,"Neurophysiological, Neuroimaging, and Neuropsychological Predictors of Human Alcoholism and Risk.",2023,"Behavioral sciences (Basel, Switzerland)",impulsivity resting-state fMRI functional connectivity,reward network,functional connectivity,unknown,resting-state fMRI,prediction,higher,functional connectivity of reward network,direct,moderate,"Differentiating Individuals with and without Alcohol Use Disorder Using Resting-State fMRI Functional Connectivity of Reward Network, Neuropsychological Performance, and Impulsivity Measures",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,alcohol use disorder,functional connectivity of reward network,between individuals with and without alcohol use disorder,"The sentence does not directly state the phenotype, feature, or direction, but it can be inferred. The phenotype is 'alcohol use disorder', the feature is 'functional connectivity of reward network', and the direction is 'between individuals with and without alcohol use disorder'. The relationship is 'prediction' and the directness is 'direct'.",
7,38468374,Functional connectivity alterations in individuals with gaming disorder assessed by functional magnetic resonance imaging: a systematic review.,2025,Journal of addictive diseases,impulsivity fMRI functional connectivity,"prefrontal cortex, fronto-parietal regions, frontal gyrus, insula lobe, cingulate cortex and striatum",functional connectivity,unknown,fMRI scans,significant increases or decreases,higher,uncontrolled use of technologies,unclear,significant,The main findings reveal changes such as significant increases or decreases in functional connectivity in certain regions of the brain.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,no,yes,yes,no,no,no,unknown,functional connectivity,null,"The sentence partially supports the claim but needs revision or is indirect. The phenotype is unknown, and the direction is not specified.",
8,32987241,Intrinsic functional connectivity of the default mode and cognitive control networks relate to change in behavioral performance over two years.,2020,Cortex; a journal devoted to the study of the nervous system and behavior,impulsivity fMRI functional connectivity,cognitive control network (CCN) and default mode network (DMN),functional connectivity,unknown,healthy individuals,associated with,lower,connectivity between posterior parietal CCN and DMN nodes,unclear,null,"Additionally, decreased connectivity between posterior parietal CCN and DMN nodes and decreased connectivity between left and right dorsolateral prefrontal nodes was associated with increased cognitive performance.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,cognitive performance,functional connectivity,lower,,
9,41098856,The CB1 receptor: linking impulsivity and substance use disorder.,2025,Frontiers in neuroscience,trait impulsivity functional connectivity,hippocampus,functional connectivity,impulsivity (general),substance use disorder,modulates,higher,CB1R signaling,unclear,high,The hippocampus and cerebellum contribute to the modulation of impulsive behavior through their connectivity with prefrontal and limbic circuits.,no,evidence_strength not a number,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),functional connectivity,higher,"The sentence partially supports the claim, but the feature type and direction are not explicitly mentioned. The corrected fields are based on the extracted claim.",
10,27896939,"A multimodal study of impulsivity and body weight: Integrating behavioral, cognitive, and neuroimaging approaches.",2017,"Obesity (Silver Spring, Md.)",trait impulsivity functional connectivity,cognitive control regions,unknown,unknown,individuals with overweight and obesity,positive correlation,higher,functional connectivity between the right inferior frontal gyrus and right middle frontal gyrus,direct,positive correlation,"Further, there was a positive association between BMI and functional connectivity between the right inferior frontal gyrus and right middle frontal gyrus during successful response inhibition.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,BMI,functional connectivity between the right inferior frontal gyrus and right middle frontal gyrus,positive correlation,,
11,28174127,Altered functional connectivity in default mode network in Internet gaming disorder: Influence of childhood ADHD.,2017,Progress in neuro-psychopharmacology & biological psychiatry,attentional impulsivity resting-state fMRI,default mode network,functional connectivity,unknown,childhood ADHD,influence,higher,altered neural networks for executive control,unclear,positive correlation,"IGD subjects with childhood ADHD showed expanded FC between the PCC and cerebellum (crus II), a region involved in executive control. The strength of connectivity between the PCC and cerebellum (crus II) was positively correlated with self-reporting scales reflecting impulsiveness.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,Internet gaming disorder,functional connectivity,higher,"The sentence clearly supports the claim by stating a specific phenotype (Internet gaming disorder), feature type (functional connectivity), relationship (influence), direction (higher), and directness (clearly mentioned).",
12,25925985,Impaired corticostriatal connectivity in impulse control disorders in Parkinson disease.,2015,Neurology,motor impulsivity resting-state fMRI,corticostriatal,functional connectivity,impulsivity (general),Parkinson disease,association,unclear,functional disconnection,direct,strong,"The presence of an ICD in patients with PD was associated with functional disconnection between the left anterior putamen and both the left inferior temporal gyrus and the left anterior cingulate gyrus, as well as a trend toward a functional disconnection between several motor and associative striatal regions and limbic, associative, and motor cortical regions.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,association,The sentence clearly supports the association between impulsivity (general) and functional connectivity in the corticostriatal system in Parkinson disease.,
