source,source_id,query,title,year,journal,brain_system,feature_type,phenotype,diagnostic_context,relationship,direction,mechanism,directness,evidence_strength,supporting_sentence,citation_id,extraction_model,extraction_confidence
pubmed,22645253,Barratt Impulsiveness Scale resting-state fMRI,Impulsivity and the modular organization of resting-state neural networks.,2013,"Cerebral cortex (New York, N.Y. : 1991)",unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,indirect,0.8,These analyses revealed remarkable differences in network organization across the impulsivity spectrum.,22645253,vllm:llama-3.1-8b-instruct,medium
pubmed,23555827,Barratt Impulsiveness Scale resting-state fMRI,Altered default network resting-state functional connectivity in adolescents with Internet gaming addiction.,2013,PloS one,default mode network,functional connectivity,impulsivity (general),Internet gaming addiction,associated_with,higher,,direct,0.8,"Compared with the control group, subjects with IGA exhibited increased functional connectivity in the bilateral cerebellum posterior lobe and middle temporal gyrus.",23555827,vllm:llama-3.1-8b-instruct,high
pubmed,39577688,Barratt Impulsiveness Scale resting-state fMRI,Resting-state voxel-wise dynamic effective connectivity predicts risky decision-making in patients with bipolar disorder type I.,2025,Neuroscience,unknown,dynamic connectivity,impulsivity (general),bipolar disorder type I,predicts,lower,,direct,0.8,"The dEC-based linear regression-CPM model exhibited significant predictive ability for the adjusted pump scores in BD-I, while no significant predictive power was observed in HC.",39577688,vllm:llama-3.1-8b-instruct,high
pubmed,30178423,Barratt Impulsiveness Scale resting-state fMRI,Sex differences in resting-state cerebral activity alterations in internet gaming disorder.,2019,Brain imaging and behavior,unknown,BOLD variability,impulsivity (general),internet gaming disorder,associated_with,lower,unknown,direct,0.8,"IGDm also demonstrated lower connectivity between the orbital part of the left SFG and the posterior cingulate cortex (PCC), the right angular gyrus, and the right dorsolateral prefrontal cortex than HCm.",30178423,vllm:llama-3.1-8b-instruct,medium
pubmed,26040546,Barratt Impulsiveness Scale resting-state fMRI,Model-free functional connectivity and impulsivity correlates of alcohol dependence: a resting-state study.,2017,Addiction biology,unknown,functional connectivity,impulsivity (general),alcohol dependence,correlates_with,higher,unknown,direct,0.8,"AD exhibited increased within-network FC in salience (SN), default mode (DMN), orbitofrontal cortex (OFCN), left executive control (LECN) and amygdala-striatum (ASN) networks.",26040546,vllm:llama-3.1-8b-instruct,high
pubmed,33519558,Barratt Impulsiveness Scale resting-state fMRI,Impulsivity and Response Inhibition Related Brain Networks in Adolescents With Internet Gaming Disorder: A Preliminary Study Utilizing Resting-State fMRI.,2020,Frontiers in psychiatry,unknown,functional connectivity,impulsivity (general),Internet Gaming Disorder,associated_with,higher,pre-frontal-striatal circuits,direct,0.8,"We found significant differences in impulsivity between the IGD group and RGU group, with members of the IGD group exhibiting higher impulsivity.",33519558,vllm:llama-3.1-8b-instruct,high
pubmed,31264888,Barratt Impulsiveness Scale resting-state fMRI,Striatal functional connectivity in chronic ketamine users: a pilot study.,2020,The American journal of drug and alcohol abuse,unknown,functional connectivity,impulsivity (general),chronic ketamine users,associated_with,higher,altered striatal connectivity,direct,0.8,"Compared to controls, ketamine users showed higher connectivity between caudate and dorsal anterior cingulate cortex and between pallidum and bilateral cerebellum.",31264888,vllm:llama-3.1-8b-instruct,high
pubmed,33528803,Barratt Impulsiveness Scale resting-state fMRI,Impulsivity in heroin-dependent individuals: structural and functional abnormalities within frontostriatal circuits.,2021,Brain imaging and behavior,unknown,structural connectivity,impulsivity (general),heroin dependence,associated_with,higher,,direct,0.8,Higher motor impulsivity was observed in HDI.,33528803,vllm:llama-3.1-8b-instruct,high
pubmed,32651411,Barratt Impulsiveness Scale resting-state fMRI,Increased large-scale inter-network connectivity in relation to impulsivity in Parkinson's disease.,2020,Scientific reports,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,higher,increased connectivity,direct,0.9,FC between the right frontoparietal network (FPN) and medial visual network (MVN) was significantly higher in PD-HI patients than PD-LI patients (false discovery rate [FDR]-adjusted p = 0.0315).,32651411,vllm:llama-3.1-8b-instruct,high
pubmed,35385563,Barratt Impulsiveness Scale resting-state fMRI,A single-arm open-label pilot study of brief mindfulness meditation to control impulsivity in Parkinson's disease.,2022,PloS one,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,lower,mindfulness meditation,direct,0.8,"After the intervention, the BIS-11 score was decreased from 59.5 [55.6, 63.3] (mean [95% confidence interval]) to 55.2 [50.3, 60.1] (ΔBIS-11: -4.2, [-7.5, -0.9]).",35385563,vllm:llama-3.1-8b-instruct,high
pubmed,34012386,Barratt Impulsiveness Scale resting-state fMRI,Association of Disinhibited Eating and Trait of Impulsivity With Insula and Amygdala Responses to Palatable Liquid Consumption.,2021,Frontiers in systems neuroscience,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"The resting-state fMRI experiment showed that increased disinhibited eating was positively correlated with strengthened intrinsic functional connectivity between the insula and the amygdala, adjusting for sex (estimates of the beta coefficients = 0.146, standard error = 0.068, p = 0.040).",34012386,vllm:llama-3.1-8b-instruct,high
pubmed,38914808,Barratt Impulsiveness Scale resting-state fMRI,Association between sleep problems and impulsivity mediated through regional homogeneity abnormalities in male methamphetamine abstainers.,2024,Brain imaging and behavior,unknown,BOLD variability,impulsivity (general),methamphetamine abstainers,correlates_with,unclear,mediated,indirect,0.8,Results unveiled correlations between different dimensions of impulsivity and ReHo values in specific brain regions.,38914808,vllm:llama-3.1-8b-instruct,high
pubmed,37086305,Barratt Impulsiveness Scale resting-state fMRI,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,unknown,unknown,impulsivity (general),borderline personality disorder,correlates_with,lower,,indirect,0.8,"Reduced functional connectivity was found in BPD between amygdala and frontal pole, precuneus and temporal pole. This functional connectivity alterations correlated with Anger Rumination Scale (p = .009; r = - 0.491) and Barratt Impulsiveness Scale (p = 0.020; r = - 0.447).",37086305,vllm:llama-3.1-8b-instruct,high
pubmed,29101492,Barratt Impulsiveness Scale resting-state fMRI,Intrinsic Network Connectivity Patterns Underlying Specific Dimensions of Impulsiveness in Healthy Young Adults.,2018,Brain topography,unknown,unknown,impulsivity (general),unknown,associated_with,unclear,,background,0.8,"We first identified eight networks for which we had a-priori hypotheses. These networks included basal ganglia, cortical motor, cingulate and lateral prefrontal systems.",29101492,vllm:llama-3.1-8b-instruct,medium
pubmed,26364127,Barratt Impulsiveness Scale resting-state fMRI,Neurobiological underpinnings of sensation seeking trait in heroin abusers.,2015,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,reward system,structural connectivity,impulsivity (general),heroin abusers,associated_with,lower,dysregulation in brain circuits,direct,0.8,The key finding is a negative relationship between high sensation seeking tendency and midbrain structural volume in the heroin users.,26364127,vllm:llama-3.1-8b-instruct,high
pubmed,33158664,Barratt Impulsiveness Scale resting-state fMRI,Delta resting-state functional connectivity in the cognitive control network as a prognostic factor for maintaining abstinence: An eLORETA preliminary study.,2021,Drug and alcohol dependence,unknown,functional connectivity,impulsivity (general),alcohol dependence,predicts,higher,increased delta resting-state functional connectivity,direct,0.8,Regression analysis showed that the increased left frontoparietal delta connectivity in the early period of abstinence significantly predicted maintaining abstinence over the ensuing 12 months.,33158664,vllm:llama-3.1-8b-instruct,high
pubmed,28185093,Barratt Impulsiveness Scale resting-state fMRI,Altered spontaneous brain activity in adolescent boys with pure conduct disorder revealed by regional homogeneity analysis.,2017,European child & adolescent psychiatry,unknown,BOLD variability,impulsivity (general),conduct disorder,associated_with,higher,abnormal intrinsic brain activity,direct,0.8,BIS scores in adolescents with CD may reflect severity of abnormal neuronal synchronization in the insula.,28185093,vllm:llama-3.1-8b-instruct,high
pubmed,25944613,Barratt Impulsiveness Scale resting-state fMRI,Nature of functional links in valuation networks differentiates impulsive behaviors between abstinent heroin-dependent subjects and nondrug-using subjects.,2015,NeuroImage,unknown,functional connectivity,impulsivity (general),heroin-dependent subjects,associated_with,higher,mutual reinforcement,indirect,0.8,"However, in abstinent heroin-dependent subjects, the link is imbalanced, with stronger β-network connectivity and weaker δ-network connectivity.",25944613,vllm:llama-3.1-8b-instruct,high
pubmed,23937918,Barratt Impulsiveness Scale resting-state fMRI,Voxel-level comparison of arterial spin-labeled perfusion magnetic resonance imaging in adolescents with internet gaming addiction.,2013,Behavioral and brain functions : BBF,unknown,unknown,impulsivity (general),internet gaming addiction,correlates_with,unclear,,background,0.5,There were no significant correlations between mean CBF values in all clusters that survived AlphaSim correction and CIAS or BIS-11 scores or hours of Internet use per week.,23937918,vllm:llama-3.1-8b-instruct,low
pubmed,24971323,Barratt Impulsiveness Scale resting-state fMRI,A functional polymorphism of the MAOA gene modulates spontaneous brain activity in pons.,2014,BioMed research international,unknown,BOLD variability,impulsivity (general),healthy male adolescents,correlates_with,lower,lower spontaneous brain activity in the pons,direct,0.8,"Compared with the MAOA-H group, the MAOA-L group showed significantly lower ALFFs in the pons.",24971323,vllm:llama-3.1-8b-instruct,high
pubmed,26830141,Barratt Impulsiveness Scale resting-state fMRI,Midbrain functional connectivity and ventral striatal dopamine D2-type receptors: link to impulsivity in methamphetamine users.,2016,Molecular psychiatry,unknown,functional connectivity,impulsivity (general),methamphetamine dependence,correlates_with,lower,ventral striatal D2-type receptor signaling,direct,0.8,"Methamphetamine-dependent users exhibited a positive relationship of midbrain RSFC to the left ventral striatum with cognitive impulsivity, whereas a negative relationship was observed in healthy controls.",26830141,vllm:llama-3.1-8b-instruct,high
pubmed,24200212,Barratt Impulsiveness Scale resting-state fMRI,Striatal-insula circuits in cocaine addiction: implications for impulsivity and relapse risk.,2013,The American journal of drug and alcohol abuse,unknown,functional connectivity,impulsivity (general),cocaine addiction,associated_with,higher,dysregulated striatal functioning and executive control deficits,indirect,0.8,"Impulsivity (BIS-11a) was higher in cocaine-addicted participants, an effect that was partially mediated by reduced putamen-posterior insula connectivity in this group.",24200212,vllm:llama-3.1-8b-instruct,low
pubmed,32093319,Barratt Impulsiveness Scale resting-state fMRI,"Random Forest Classification of Alcohol Use Disorder Using fMRI Functional Connectivity, Neuropsychological Functioning, and Impulsivity Measures.",2020,Brain sciences,default mode network,functional connectivity,impulsivity (general),alcohol use disorder,associated_with,higher,,direct,0.8,Individuals with AUD also showed poorer memory performance and increased impulsivity compared to CTL individuals.,32093319,vllm:llama-3.1-8b-instruct,high
pubmed,27688124,Barratt Impulsiveness Scale resting-state fMRI,Association between abnormal default mode network activity and suicidality in depressed adolescents.,2016,BMC psychiatry,default mode network,functional connectivity,impulsivity (general),depressed adolescents,associated_with,higher,,direct,0.8,"Compared with the healthy controls, all of the evaluated depressed patients showed increased functional connectivity in select DMN regions.",27688124,vllm:llama-3.1-8b-instruct,high
pubmed,28602816,Barratt Impulsiveness Scale resting-state fMRI,Neurobiological correlates of impulsivity in healthy adults: Lower prefrontal gray matter volume and spontaneous eye-blink rate but greater resting-state functional connectivity in basal ganglia-thalamo-cortical circuitry.,2017,NeuroImage,unknown,functional connectivity,impulsivity (general),healthy adults,associated_with,higher,neurobiological,indirect,0.8,"Overall, we found that less gray matter in medial orbitofrontal cortex and paracingulate gyrus, greater resting-state functional connectivity between nodes of the basal ganglia-thalamo-cortical network, and lower spontaneous eye-blink rate were associated with greater impulsivity.",28602816,vllm:llama-3.1-8b-instruct,high
pubmed,20851718,Barratt Impulsiveness Scale resting-state fMRI,Identification of hyperactive intrinsic amygdala network connectivity associated with impulsivity in abstinent heroin addicts.,2011,Behavioural brain research,unknown,functional connectivity,impulsivity (general),abstinent heroin addicts,associated_with,higher,altered iAFC network connectivity,direct,0.9,"In the HD group, higher impulsivity scores and significantly enhanced iAFC network activity were found, especially in bilateral thalamus, right insula, and inferior frontal gyrus.",20851718,vllm:llama-3.1-8b-instruct,high
pubmed,39756804,Barratt Impulsiveness Scale resting-state fMRI,Altered Functional Connectivity of Prefrontal Cortex-Related Circuitry and Trait Impulsivity in Patients With Bipolar Disorder and History of Suicide Attempts.,2025,Acta psychiatrica Scandinavica,unknown,functional connectivity,impulsivity (general),bipolar disorder,associated_with,higher,,direct,0.8,BDSA exhibited reduced FC between the PFC and sensorimotor (postcentral and precentral gyri) and thalamic regions compared to BDNS.,39756804,vllm:llama-3.1-8b-instruct,high
pubmed,29988765,Barratt Impulsiveness Scale resting-state fMRI,Abnormal degree centrality in chronic users of codeine-containing cough syrups: A resting-state functional magnetic resonance imaging study.,2018,NeuroImage. Clinical,unknown,functional connectivity,impulsivity (general),CCS-dependence,correlates_with,unclear,abnormal intrinsic dysconnectivity pattern of whole-brain functional networks,indirect,0.8,Significant correlations were established between average DC value in the left inferior parietal lobule and attentional impulsivity scores and the age at first CCS use.,29988765,vllm:llama-3.1-8b-instruct,medium
pubmed,41207270,Barratt Impulsiveness Scale resting-state fMRI,Sex-specific alterations in brain network topology in methamphetamine use disorder: A graph theory-based fMRI study.,2025,Drug and alcohol dependence,unknown,unknown,impulsivity (general),methamphetamine use disorder,associated_with,higher,,indirect,0.8,Female patients with MUD demonstrated higher global network measures and showed more extensive nodal metric differences compared to males.,41207270,vllm:llama-3.1-8b-instruct,medium
pubmed,24223847,Barratt Impulsiveness Scale resting-state fMRI,Reduced regional homogeneity in bilateral frontostriatal system relates to higher impulsivity behavior in codeine-containing cough syrups dependent individuals.,2013,PloS one,unknown,BOLD variability,impulsivity (general),codeine-containing cough syrups dependent individuals,correlates_with,higher,,direct,0.8,"There were negative correlations between mean ReHo in the bilateral medial OFC, left dorsal striatum and duration of CCS use, BIS.11 total scores, and the subscale of attentional impulsivity in CCS-dependent individuals.",24223847,vllm:llama-3.1-8b-instruct,high
pubmed,26908392,Barratt Impulsiveness Scale resting-state fMRI,Association of ventral striatum monoamine oxidase-A binding and functional connectivity in antisocial personality disorder with high impulsivity: A positron emission tomography and functional magnetic resonance imaging study.,2016,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,unknown,functional connectivity,impulsivity (general),antisocial personality disorder,associated_with,unclear,unknown,indirect,0.5,"Results revealed functional coupling of the VSs with bilateral dorsomedial prefrontal cortex (DMPFC) that was correlated with VS MAO-A VT (r=0.47, p=0.04), and functional coupling of the VSi with right hippocampus that was anti-correlated with VS MAO-A VT (r=-0.55, p=0.01).",26908392,vllm:llama-3.1-8b-instruct,medium
pubmed,25008351,Barratt Impulsiveness Scale resting-state fMRI,Altered intrinsic hippocmapus declarative memory network and its association with impulsivity in abstinent heroin dependent subjects.,2014,Behavioural brain research,unknown,functional connectivity,impulsivity (general),drug addiction,associated_with,unclear,declarative memory underlying impulsive behavior,indirect,0.8,"Our results demonstrated that HD group showed enhanced coherence between hippocampus which represents declarative memory system and non-declarative reward-guided learning memory system, and also showed attenuated intrinsic functional link between hippocampus and top-down control system, compared to the CN group.",25008351,vllm:llama-3.1-8b-instruct,high
pubmed,25496980,Barratt Impulsiveness Scale resting-state fMRI,Abnormal regional homogeneity in young adult suicide attempters with no diagnosable psychiatric disorder: a resting state functional magnetic imaging study.,2015,Psychiatry research,unknown,BOLD variability,impulsivity (general),suicide attempters,associated_with,higher,altered local functional connectivity,indirect,0.8,The SA group had significantly higher total Barratt Impulsiveness Scale scores compared with the HC group.,25496980,vllm:llama-3.1-8b-instruct,high
pubmed,41104323,Barratt Impulsiveness Scale resting-state fMRI,Effect of Precision-based HD-tDCS Over Conventional HD-tDCS in Young-onset Mania: Protocol for an Active Comparison fMRI and TMS Study.,2026,Indian journal of psychological medicine,unknown,unknown,impulsivity (general),young-onset mania,unknown,unclear,,background,0.0,"By correlating perturbation-induced changes in cortical inhibition paradigms and functional connectivity of cerebral circuits, we aim to introduce a more objective measure of therapeutic efficacy and response, as opposed to relying solely on subjective clinical scales.",41104323,vllm:llama-3.1-8b-instruct,low
pubmed,35040662,Barratt Impulsiveness Scale fMRI,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,unknown,structural connectivity,impulsivity (general),healthy individuals,correlates_with,unclear,white matter microstructural integrity,indirect,0.8,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",35040662,vllm:llama-3.1-8b-instruct,medium
pubmed,37137256,Barratt Impulsiveness Scale fMRI,Transdiagnostic brain correlates of self-reported trait impulsivity: A dimensional structure-symptom investigation.,2023,NeuroImage. Clinical,unknown,unknown,impulsivity (general),"healthy controls, psychiatric patients",associated_with,unclear,,background,0.8,"Volume of the left opercular part of the inferior frontal gyrus (IFG) was negatively related to global impulsivity across the entire sample and specifically to motor impulsivity in the subsample of HCs, OUD and BPD patients.",37137256,vllm:llama-3.1-8b-instruct,high
pubmed,37004979,Barratt Impulsiveness Scale fMRI,Chronic cannabis use alters dACC-striatal glutamatergic balance.,2023,"Pharmacology, biochemistry, and behavior",unknown,dynamic connectivity,impulsivity (general),cannabis use disorder,correlates_with,unclear,glutamate imbalance,indirect,0.8,These data provide preliminary evidence that chronic cannabis use may lead to a dACC-striatal glutamate imbalance in conjunction with poor impulse control.,37004979,vllm:llama-3.1-8b-instruct,medium
pubmed,37556131,Barratt Impulsiveness Scale fMRI,Alcohol Cue Processing in Co-Occurring Bipolar Disorder and Alcohol Use Disorder.,2023,JAMA psychiatry,unknown,unknown,impulsivity (general),Bipolar Disorder and Alcohol Use Disorder,associated_with,unclear,reward dysfunction,indirect,0.5,These hypoactivations were associated with increased impulsivity and obsessive-compulsive alcohol craving exclusively among individuals with BD + AUD.,37556131,vllm:llama-3.1-8b-instruct,low
pubmed,34175744,Barratt Impulsiveness Scale fMRI,Brain morphometry in adults with gambling disorder.,2021,Journal of psychiatric research,unknown,unknown,impulsivity (general),Gambling Disorder,correlates_with,unclear,,background,0.5,There were positive correlations between surface area of occipital regions and depressive symptoms.,34175744,vllm:llama-3.1-8b-instruct,medium
pubmed,40630648,Barratt Impulsiveness Scale fMRI,Identifying a Biological Signature of Trauma-Related Neurodegeneration Following Repeated Traumatic Brain Injuries Compared with Healthy Controls.,2025,Neurotrauma reports,unknown,unknown,impulsivity (general),trauma-related neurodegeneration,unknown,unclear,,background,0.0,"Volumetrics in critical brain regions were associated with several symptom domains in the TBI group, indicating that cortical volumetrics (especially in the amygdala) may be a more viable early biomarker of chronic symptom burden in this population than PET scans.",40630648,vllm:llama-3.1-8b-instruct,low
pubmed,37080490,Barratt Impulsiveness Scale fMRI,Brain structural abnormalities and trait impulsivity in suicidal and non-suicidal patients with bipolar disorder.,2023,Journal of affective disorders,unknown,unknown,impulsivity (general),bipolar disorder,associated_with,higher,,indirect,0.8,"BD patients with SA history scored higher in BIS total score and subscores in attention, motor, cognitive complexity and cognitive instability than those without SA history and controls (all p < 0.01).",37080490,vllm:llama-3.1-8b-instruct,medium
pubmed,15309395,Barratt Impulsiveness Scale fMRI,Negative correlation between right prefrontal activity during response inhibition and impulsiveness: a fMRI study.,2004,European archives of psychiatry and clinical neuroscience,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.8,A negative correlation was observed between the motor impulsiveness of BIS-11 and No-Go-related activation in the right dorsolateral prefrontal cortex (RDLPFC).,15309395,vllm:llama-3.1-8b-instruct,high
pubmed,33360853,Barratt Impulsiveness Scale fMRI,Novel circuit biomarker of impulsivity and craving in male heroin-dependent individuals.,2021,Drug and alcohol dependence,unknown,structural connectivity,impulsivity (general),heroin-dependent individuals,associated_with,lower,,direct,0.9,"HDIs showed significantly weaker tract strength of the left striatum-medial orbitofrontal cortex (mOFC) and significantly higher BIS total, attention, motor, and non-planning scores than controls.",33360853,vllm:llama-3.1-8b-instruct,high
pubmed,38627081,Barratt Impulsiveness Scale fMRI,Neural Correlates of Trait Impulsivity among Adult Healthy Individuals.,2024,Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology,unknown,unknown,impulsivity (general),healthy individuals,associated_with,unclear,correlation,background,0.8,Our study showed that trait impulsivity might be associated with the lateral OC and IFG in healthy individuals.,38627081,vllm:llama-3.1-8b-instruct,medium
pubmed,35181384,Barratt Impulsiveness Scale fMRI,"Rethinking ""aggression"" and impulsivity in bipolar disorder: Risk, clinical and brain circuitry features.",2022,Journal of affective disorders,unknown,unknown,impulsivity (general),bipolar disorder,associated_with,unclear,,background,0.8,"BGA and BIS total scores were both elevated and associated with childhood maltreatment (CM), particularly emotional CM, depression, substance use disorders (SUDs) and suicide attempts (SAs).",35181384,vllm:llama-3.1-8b-instruct,medium
pubmed,35247193,Barratt Impulsiveness Scale fMRI,Cerebellar Grey Matter Volumes in Reactive Aggression and Impulsivity in Healthy Volunteers.,2023,"Cerebellum (London, England)",unknown,structural connectivity,impulsivity (general),healthy volunteers,associated_with,higher,correlation,direct,0.8,Results showed that impulsivity was positively associated with grey matter volumes of the cerebellar vermis and inversely correlated with grey matter volumes of the right posterior lobule.,35247193,vllm:llama-3.1-8b-instruct,high
pubmed,26911382,Barratt Impulsiveness Scale fMRI,Impulsivity in abstinent alcohol and polydrug dependence: a multidimensional approach.,2016,Psychopharmacology,unknown,unknown,impulsivity (general),abstinent alcohol and polydrug dependence,associated_with,higher,,indirect,0.8,"AbDs scored significantly higher than controls on self-report measures, but alcohol and polydrug dependent groups did not differ significantly from each other.",26911382,vllm:llama-3.1-8b-instruct,medium
pubmed,21827861,Barratt Impulsiveness Scale fMRI,Cortical thickness correlates with impulsiveness in healthy adults.,2012,NeuroImage,unknown,structural connectivity,impulsivity (general),unknown,correlates_with,lower,,direct,0.8,"We observed a significant negative correlation between left middle frontal gyrus (MFG) CT and the attention BIS score (FDR p<.05), motor, nonplanning and total BIS score (each p<0.001 uncorrected).",21827861,vllm:llama-3.1-8b-instruct,high
pubmed,29751017,Barratt Impulsiveness Scale fMRI,Differential contributions of cortical thickness and surface area to trait impulsivity in healthy young adults.,2018,Behavioural brain research,unknown,unknown,impulsivity (general),unknown,associated_with,lower,,direct,0.8,"Higher BIS-11 total scores were negatively associated with cortical thickness variations in the left lingual gyrus, left superior temporal gyrus, right cuneus, and right superior parietal gyrus (p < 0.05 cluster-wise probability [CWP] corrected).",29751017,vllm:llama-3.1-8b-instruct,high
pubmed,37952300,Barratt Impulsiveness Scale fMRI,Positive schizotypy and Motor Impulsivity correlate with response aberrations in ventral attention network during inhibitory control.,2023,Cortex; a journal devoted to the study of the nervous system and behavior,ventral attention network,functional connectivity,impulsivity (general),schizophrenia spectrum and personality disorders,correlates_with,higher,,direct,0.8,"Positive schizotypy, motor, and antisocial-schizotypal impulsivity correlate with some common but mostly distinct neural activation patterns during response inhibition in areas within or associated with the ventral attention network.",37952300,vllm:llama-3.1-8b-instruct,high
